Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Cribraria vulgaris,Schrad.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Cribrariidia,Cribrariales,,,Cribrariaceae,,,Cribraria,vulgaris,NA,NA,NA,,,NA,new 2021,observed,,,,,NA,2021-10-23,Pam Janszen,iNat:iNat:101241795,NA,382043,PRO,accepted,382043,Cribraria vulgaris,Cribraria vulgaris,Cribraria vulgaris
Dictydiaethalium plumbeum,(Schumach.) Rostaf.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Dianemataceae,,,Dictydiaethalium,plumbeum,NA,NA,NA,cosmopolitan,unlisted,NA,new 2019,observed,2019-05-01,Pam Janszen,PJ private collection,Galiano #8,NA,2019-05-04,Pam Janszen,iNat:iNat:24652691,NA,324282,PRO,accepted,324282,Dictydiaethalium plumbeum,Dictydiaethalium plumbeum,Dictydiaethalium plumbeum
Lycogala epidendrum,(L.) Fr.,NA,wolf's milk,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Reticulariales,,,Reticulariaceae,,,Lycogala,epidendrum,NA,NA,NA,cosmopolitan,unlisted,NA,confirmed,observed,2012-03-11,Kent Brothers,VMS,,NA,2019-07-19,Kevin Toomer,iNat:iNat:29123769,NA,47680,PRO,accepted,47680,Lycogala epidendrum,Lycogala epidendrum,Lycogala epidendrum
Reticularia lycoperdon,Bull.,NA,False Puffball,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Reticulariales,,,Reticulariaceae,,,Reticularia,lycoperdon,NA,NA,NA,,,NA,new 2021,observed,,,,,NA,2021-06-05,Caitlin Robinson,iNat:iNat:81817997,NA,145366,PRO,accepted,145366,Reticularia lycoperdon,Reticularia lycoperdon,Reticularia lycoperdon
Tubifera ferruginosa,(Batsch) J.F. Gmel.,NA,red raspberry slime,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Reticulariales,,,Reticulariaceae,,,Tubifera,ferruginosa,NA,NA,NA,cosmopolitan,unlisted,NA,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,NA,2021-10-23,Pam Janszen,iNat:iNat:101733901,NA,126522,PRO,accepted,126522,Tubifera ferruginosa,Tubifera ferruginosa,Tubifera ferruginosa
Didymium bahiense,Gottsb.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Didymiaceae,,,Didymium,bahiense,NA,NA,NA,,,NA,new 2022,observed,,,,,NA,2022-03-05,Andrew Simon,iNat:iNat:108007864,NA,382180,PRO,accepted,382180,Didymium bahiense,Didymium bahiense,Didymium bahiense
Didymium difforme,(Pers.) Gray,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Didymiaceae,,,Didymium,difforme,NA,NA,NA,,,NA,new 2022,observed,,,,,NA,2022-03-05,Andrew Simon,iNat:iNat:108007865,NA,382181,PRO,accepted,382181,Didymium difforme,Didymium difforme,Didymium difforme
Didymium squamulosum,(Alb. & Schwein.) Fr. & Palmquist,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Didymiaceae,,,Didymium,squamulosum,NA,NA,NA,,,NA,new 2022,observed,,,,,NA,2022-03-06,Pam Janszen,iNat:iNat:111226291,NA,327928,PRO,accepted,327928,Didymium squamulosum,Didymium squamulosum,Didymium squamulosum
Badhamia foliicola,Lister,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Badhamia,foliicola,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-01,Pam Janszen,PJ private collection,Galiano #4,NA,2017-05-27,Pam Janszen,iNat:iNat:33635443,NA,381369,PRO,accepted,381369,Badhamia foliicola,Badhamia foliicola,Badhamia foliicola
Badhamia utricularis,(Bull.) Berk,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Badhamia,utricularis,NA,NA,NA,cosmopolitan,unlisted,NA,new 2018,observed,,,,,NA,2018-01-14,Kevin Toomer,iNat:iNat:9475067,NA,56264,PRO,accepted,56264,Badhamia utricularis,Badhamia utricularis,Badhamia utricularis
