lichen.genera,life.habit,reference.taxa,in.cephalodia,photobiont.domain,photobiont.kingdom,photobiont.phylum,photobiont.class,photobiont.order,photobionts,reference,note
Abrothallus,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Absconditella,lichenized,Strigula smaragdula,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Cephaleuros sp.,Jiang et al. (2020),
Acarospora,lichenized,Acarospora bullata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia incrustata,Beck (2002),
Acarospora,lichenized,Acarospora conafii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola clade,Jung et al. (2019),
Acarospora,lichenized,Acarospora rugulosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii ssp. jamesii,Beck (1999),
Acarospora,lichenized,Acarospora rugulosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Acarospora,lichenized,Acarospora sinopica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia angustilobata,Beck (2002),
Acarospora,lichenized,Acarospora sinopica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii ssp. angustilobata,Beck (1999),
Acarospora,lichenized,Acarospora sinopica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Acarospora,lichenized,Acarospora sinopica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia solaris,Voytsekhovich & Beck (2016),
Acarospora,lichenized,Acarospora smaragdula,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Acolium,lichenized,,,,,,,,,,
Acrocordia,lichenized,Acrocordia gemmata,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Actinogyra,lichenized,,,,,,,,,,
Adelolecia,lichenized,,,,,,,,,,
Agonimia,lichenized,Agonimia koreana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Agonimia,lichenized,Agonimia opuntiella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Agonimia,lichenized,Agonimia repleta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Agonimia,lichenized,Agonimia tristicula,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Agrestia,lichenized,,,,,,,,,,
Agyrium,non-lichenized,,,,,,,,,,
Ahtiana,lichenized,,,,,,,,,,
Alectoria,lichenized,,,,,,,,,,
Allantoparmelia,lichenized,,,,,,,,,,
Allocetraria,lichenized,,,,,,,,,,
Alyxoria,lichenized,,,,,,,,,,
Amandinea,lichenized,,,,,,,,,,
Ameliella,lichenized,,,,,,,,,,
Amygdalaria,lichenized,Amygdalaria spp.,cephalodia,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales ,Gloeocapsa sp.,Numerous LM reports summarized by Tschermak-Woess (1988a). Friedl & Büdel (2008); Brodo et al. (2001). id: LM,
Anaptychia,lichenized,Anaptychia ciliaris,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola,Helms et al. (2001); Dahlkild et al. (2001).,
Anaptychia,lichenized,Anaptychia ciliaris,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia decolorans,Dal Grande et al. (2014a),
Anaptychia,lichenized,Anaptychia setifera,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia decolorans,Voytsekhovich & Beck (2016),
Anisomeridium,lichenized,,,,,,,,,,
Anomalobaria,lichenized,,,,,,,,,,
Anzina,lichenized,Anzina [Varicellaria] carneonivea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris phycobiontica,Tschermak-Woess (1980a); Škaloud et al. (2015).,
Arctomia,lichenized,,,,,,,,,,
Arctoparmelia,lichenized,,,,,,,,,,
Arthonia,lichenized,Arthonia cinnabarina,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Arthonia,lichenized,Arthonia radiata,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Arthophacopsis,lichenized,,,,,,,,,,
Arthopyrenia,lichenized,,,,,,,,,,
Arthothelium,lichenized,Arthothelium ruanum,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Arthrorhaphis,lichenized,,,,,,,,,,
Asahinea,lichenized,,,,,,,,,,
Aspicilia,lichenized,Aspicilia cinerea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia solaris,Voytsekhovich & Beck (2016),
Aspicilia,lichenized,Aspicilia desertorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia cretacea,Voytsekhovich & Beck (2016),
Aspicilia,lichenized,Aspicilia sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris subsphaerica,"Watanabe et al. (1997). Maritime lichens. id: LM, culture. (=Chlorella reisiglii Watanabe; Darienko et al. 2016)",
Aspicilia,lichenized,Aspicilia sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia higginsiae,Watanabe et al. (1997). Maritime lichens. id: LM,
Aspilidea,lichenized,,,,,,,,,,
Athallia,lichenized,,,,,,,,,,
Bacidia,lichenized,,,,,,,,,,
Bacidina,lichenized,Bacidina [Woessia] fusarioides,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Watanabeales,Chloroidium viscosum,Tschermak-Woess (1988b); Darienko et al. (2018).,
Bactrospora,lichenized,,,,,,,,,,
Baeomyces,lichenized,Baeomyces rufus,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris bilobata,Trembley et al. (2002b),
Bellemerea,lichenized,Bellemerea alpina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Bellemerea,lichenized,Bellemerea cinereorufescens,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Bellemerea,lichenized,Bellemerea diamartha,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii ssp. jamesii,Beck (1999),
Bellemerea,lichenized,Bellemerea subsorediza,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Bellemerella,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Belonia,lichenized,,,,,,,,,,
Biatora,lichenized,Biatora sp. (Ramalinaceae),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis clade 2,Dal Grande et al. (2014b). Dictyochloropsis. clade 2 = Symbiochloris; Škaloud et al. (2016).,
Biatorella,lichenized,,,,,,,,,,
Biatoridium,lichenized,,,,,,,,,,
Biatoropsis,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bilimbia,lichenized,,,,,,,,,,
Biotora,lichenized,,,,,,,,,,
Blastenia,lichenized,,,,,,,,,,
Blennothallia,lichenized,,,,,,,,,,
Botryolepraria,lichenized,Botryolepraria lesdainii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Coccobotrys sp. (?),"Canals et al. (1997). id: LM, culture.",
Brigantiaea,lichenized,Brigantiaea ferrugine,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Symbiochloris sp.,Škaloud et al. (2016). All known photobionts previously included in Dictyochloropsis s. lat.,
Brigantiaea,lichenized,Brigantiaea ferruginea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis clade 2,Dal Grande et al. (2014b). Dictyochloropsis. clade 2 = Symbiochloris; Škaloud et al. (2016).,
Brigantiaea,lichenized,Brigantiaea leucoxantha (Brigantiaeaceae,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Symbiochloris sp.,Škaloud et al. (2016). All known photobionts previously included in Dictyochloropsis s. lat.,
Brigantiaea,lichenized,Brigantiaea leucoxantha (Brigantiaeaceae),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis clade 2,Dal Grande et al. (2014b). Dictyochloropsis. clade 2 = Symbiochloris; Škaloud et al. (2016).,
Brodoa,lichenized,,,,,,,,,,
Bryobilimbia,lichenized,,,,,,,,,,
Bryocaulon,lichenized,,,,,,,,,,
Bryonora,lichenized,,,,,,,,,,
Bryoplaca,lichenized,,,,,,,,,,
Bryoria,lichenized,Bryoria americana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria bicolor,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
