scientificName,genus,specificEpithet,subspecies,variety
Abrothallus bertianus,Abrothallus,bertianus,,
Abrothallus parmeliarum,Abrothallus,parmeliarum,,
Abrothallus welwitschii,Abrothallus,welwitschii,,
Abrothallus welwitzschii,Abrothallus,welwitzschii,,
Absconditella amabilis,Absconditella,amabilis,,
Absconditella delutula,Absconditella,delutula,,
Absconditella lignicola,Absconditella,lignicola,,
Acarospora badiofusca,Acarospora,badiofusca,,
Acarospora bullata,Acarospora,bullata,,
Acarospora chlorophana,Acarospora,chlorophana,,
Acarospora fuscata,Acarospora,fuscata,,
Acarospora glaucocarpa,Acarospora,glaucocarpa,,
Acarospora impressula,Acarospora,impressula,,
Acarospora moenium,Acarospora,moenium,,
Acarospora nodulosa,Acarospora,nodulosa,,
Acarospora schleicheri,Acarospora,schleicheri,,
Acarospora sinopica,Acarospora,sinopica,,
Acarospora stapfiana,Acarospora,stapfiana,,
Acarospora terricola,Acarospora,terricola,,
Acarospora veronensis,Acarospora,veronensis,,
Acolium inquinans,Acolium,inquinans,,
Acolium karelicum,Acolium,karelicum,,
Acrocordia cavata,Acrocordia,cavata,,
Actinogyra polyrrhiza,Actinogyra,polyrrhiza,,
Adelolecia kolaensis,Adelolecia,kolaensis,,
Adelolecia pilati,Adelolecia,pilati,,
Agonimia tristicula,Agonimia,tristicula,,
Agrestia hispida,Agrestia,hispida,,
Agyrium rufum,Agyrium,rufum,,
Ahtiana pallidula,Ahtiana,pallidula,,
Ahtiana sphaerosporella,Ahtiana,sphaerosporella,,
Alectoria capillaris,Alectoria,capillaris,,
Alectoria fuscescens,Alectoria,fuscescens,,
Alectoria imshaugii,Alectoria,imshaugii,,
Alectoria jubata,Alectoria,jubata,,
Alectoria jubata var. implexa,Alectoria,jubata,,implexa
Alectoria lata,Alectoria,lata,,
Alectoria nigricans,Alectoria,nigricans,,
Alectoria ochroleuca,Alectoria,ochroleuca,,
Alectoria oregana,Alectoria,oregana,,
Alectoria sarmentosa,Alectoria,sarmentosa,,
Alectoria sarmentosa subsp. sarmentosa,Alectoria,sarmentosa,sarmentosa,
Alectoria sarmentosa subsp. vexillifera,Alectoria,sarmentosa,vexillifera,
Alectoria sarmetosa,Alectoria,sarmetosa,,
Alectoria tenuis,Alectoria,tenuis,,
Alectoria vancouverensis,Alectoria,vancouverensis,,
Alectoria vexillifera,Alectoria,vexillifera,,
Allantoparmelia almquistii,Allantoparmelia,almquistii,,
Allantoparmelia alpicola,Allantoparmelia,alpicola,,
Allantoparmelia vancouverensis,Allantoparmelia,vancouverensis,,
Allocetraria madreporiformis,Allocetraria,madreporiformis,,
Alyxoria culmigena,Alyxoria,culmigena,,
Alyxoria varia,Alyxoria,varia,,
Amandinea cacuminum,Amandinea,cacuminum,,
Amandinea coniops,Amandinea,coniops,,
Amandinea punctata,Amandinea,punctata,,
Ameliella andreaeicola,Ameliella,andreaeicola,,
Amygdalaria consentiens,Amygdalaria,consentiens,,
Amygdalaria consentiens var. consentiens,Amygdalaria,consentiens,,consentiens
Amygdalaria consentiens var. japonica,Amygdalaria,consentiens,,japonica
Amygdalaria continua,Amygdalaria,continua,,
Amygdalaria haidensis,Amygdalaria,haidensis,,
Amygdalaria panaeola,Amygdalaria,panaeola,,
Amygdalaria pelobotrya,Amygdalaria,pelobotrya,,
Amygdalaria pelobotryon,Amygdalaria,pelobotryon,,
Amygdalaria subdissentiens,Amygdalaria,subdissentiens,,
Anaptychia crinalis,Anaptychia,crinalis,,
Anaptychia elbursiana,Anaptychia,elbursiana,,
Anaptychia setifera,Anaptychia,setifera,,
Anaptychia ulotrichoides,Anaptychia,ulotrichoides,,
Anaptychia ulotricoides,Anaptychia,ulotricoides,,
Anisomeridium biforme,Anisomeridium,biforme,,
Anomalobaria anomala,Anomalobaria,anomala,,
Anomalobaria anthraspis,Anomalobaria,anthraspis,,
Anzina carneonivea,Anzina,carneonivea,,
Anzina carneonivea var. tetraspora,Anzina,carneonivea,,tetraspora
Arctomia delicatula,Arctomia,delicatula,,
Arctoparmelia centrifuga,Arctoparmelia,centrifuga,,
Arctoparmelia incurva,Arctoparmelia,incurva,,
Arctoparmelia separata,Arctoparmelia,separata,,
Arctoparmelia subcentifuga,Arctoparmelia,subcentifuga,,
Arctoparmelia subcentrifuga,Arctoparmelia,subcentrifuga,,
Arthonia apatetica,Arthonia,apatetica,,
Arthonia arthocioides,Arthonia,arthocioides,,
Arthonia arthonioides,Arthonia,arthonioides,,
Arthonia didyma,Arthonia,didyma,,
Arthonia diffusa,Arthonia,diffusa,,
