"report_group","classification_rank","classification_value"
"AMPHIBIANS","order","Anura"
"AMPHIBIANS","order","Caudata"
"BIRDS","family","Accipitridae"
"BIRDS","family","Aegithalidae"
"BIRDS","family","Alaudidae"
"BIRDS","family","Alcedinidae"
"BIRDS","family","Alcidae"
"BIRDS","family","Anatidae"
"BIRDS","family","Apodidae"
"BIRDS","family","Ardeidae"
"BIRDS","family","Bombycillidae"
"BIRDS","family","Calcariidae"
"BIRDS","family","Caprimulgidae"
"BIRDS","family","Cardinalidae"
"BIRDS","family","Cathartidae"
"BIRDS","family","Certhiidae"
"BIRDS","family","Charadriidae"
"BIRDS","family","Cinclidae"
"BIRDS","family","Columbidae"
"BIRDS","family","Corvidae"
"BIRDS","family","Cuculidae"
"BIRDS","family","Falconidae"
"BIRDS","family","Fringillidae"
"BIRDS","family","Gaviidae"
"BIRDS","family","Gruidae"
"BIRDS","family","Haematopodidae"
"BIRDS","family","Hirundinidae"
"BIRDS","family","Hydrobatidae"
"BIRDS","family","Icteridae"
"BIRDS","family","Icteriidae"
"BIRDS","family","Laniidae"
"BIRDS","family","Laridae"
"BIRDS","family","Mimidae"
"BIRDS","family","Motacillidae"
"BIRDS","family","Odontophoridae"
"BIRDS","family","Pandionidae"
"BIRDS","family","Paridae"
"BIRDS","family","Parulidae"
"BIRDS","family","Passerellidae"
"BIRDS","family","Passeridae"
"BIRDS","family","Pelecanidae"
"BIRDS","family","Phalacrocoracidae"
"BIRDS","family","Phasianidae"
"BIRDS","family","Picidae"
"BIRDS","family","Podicipedidae"
"BIRDS","family","Polioptilidae"
"BIRDS","family","Procellariidae"
"BIRDS","family","Rallidae"
"BIRDS","family","Recurvirostridae"
"BIRDS","family","Regulidae"
"BIRDS","family","Scolopacidae"
"BIRDS","family","Sittidae"
"BIRDS","family","Stercorariidae"
"BIRDS","family","Strigidae"
"BIRDS","family","Sturnidae"
"BIRDS","family","Threskiornithidae"
"BIRDS","family","Trochilidae"
"BIRDS","family","Troglodytidae"
"BIRDS","family","Turdidae"
"BIRDS","family","Tyrannidae"
"BIRDS","family","Tytonidae"
