scientificName,eventDate,recordedBy,datasetName
Diadumene lineata,1859-01-01,Alexander Agassiz,"McMurrich, J. P. (1921, January). 37. Note on the Systematic Position and Distribution of the Actinian Sagartia luciœ. In Proceedings of the Zoological Society of London (Vol. 91, No. 4, pp. 729-739). Oxford, UK: Blackwell Publishing Ltd."
Aglantha digitale,1861-01-01,Alexander Agassiz,"Agassiz, A. (1861). Notes on the described species of Holconoti, found on the western coast of North America. Press of Geo. C. Rand & Avery."
