"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Adder's-tongue (Ophioglossales)","Ophioglossales","Remaining historical report","Sceptridium multifidum","Harvey Janszen",NA,"1979-06-08",NA,NA,"78990","https://www.inaturalist.org/observations/78990"
"Asparagus & orchids (Asparagales)","Asparagales","Confirmed record","Goodyera oblongifolia","Kent Brothers","Michael Butler",NA,"2014-06-24",NA,"39450092","https://www.inaturalist.org/observations/39450092"
"Beech & oak (Fagales)","Fagales","Confirmed record","Quercus garryana var. garryana","Angela Wood","T. Abe Lloyd","1975-05-31","2011-12-22",NA,"38191914","https://www.inaturalist.org/observations/38191914"
"Bittersweet (Celastrales)","Celastrales","Confirmed record","Paxistima myrsinites","Harvey Janszen","Andrew Simon","2001-08-26","2015-02-15",NA,"2561669","https://www.inaturalist.org/observations/2561669"
"Borage (Boraginales)","Boraginales","Remaining historical report","Phacelia tanacetifolia","Gerald B. Straley",NA,"1987-07-08",NA,NA,"58185","https://www.inaturalist.org/observations/58185"
"Borage (Boraginales)","Boraginales","Confirmed record","Myosotis scorpioides","Angela Wood","Kristian Sigvardsen","1975-06-12","2021-06-04",NA,"81637533","https://www.inaturalist.org/observations/81637533"
"Buttercups (Ranunculales)","Ranunculales","Remaining historical report","Fumaria officinalis","Terry Taylor",NA,"2012-04-21",NA,NA,"53785","https://www.inaturalist.org/observations/53785"
"Buttercups (Ranunculales)","Ranunculales","Confirmed record","Ranunculus sardous","Harvey Janszen","Andrew Simon","1982-06-05","2016-05-13",NA,"3319983","https://www.inaturalist.org/observations/3319983"
"Carrot & ginseng (Apiales)","Apiales","Remaining historical report","Sanicula bipinnatifida","Hans Roemer",NA,"1993-04-26",NA,NA,"56840","https://www.inaturalist.org/observations/56840"
"Carrot & ginseng (Apiales)","Apiales","Confirmed record","Osmorhiza berteroi","William J. Crins","Andrew Simon","1986-08-16","2016-05-03",NA,"3093492","https://www.inaturalist.org/observations/3093492"
"Clubmoss (Lycopodiales)","Lycopodiales","Remaining historical report","Lycopodium clavatum","Harvey Janszen",NA,"2001-08-26",NA,NA,"77914","https://www.inaturalist.org/observations/77914"
"Coontails (Ceratophyllales)","Ceratophyllales","Confirmed record","Ceratophyllum echinatum","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","1996-05-01","2019-05-04",NA,"24653208","https://www.inaturalist.org/observations/24653208"
"Dogwoods (Cornales)","Cornales","Confirmed record","Philadelphus lewisii","Harvey Janszen","Adam Huggins","2001-08-26","2016-07-15",NA,"3684435","https://www.inaturalist.org/observations/3684435"
"Floating ferns (Salviniales)","Salviniales","New record","Azolla sp.",NA,"Emma Menchions",NA,"2025-05-29",2025,"285524909","https://www.inaturalist.org/observations/285524909"
"Gentians (Gentianales)","Gentianales","Remaining historical report","Apocynum androsaemifolium","Harvey Janszen",NA,"1984-06-02",NA,NA,"47359","https://www.inaturalist.org/observations/47359"
"Gentians (Gentianales)","Gentianales","Confirmed record","Vinca major","Harvey Janszen","Andrew Simon","2001-08-26","2015-03-04",NA,"2566461","https://www.inaturalist.org/observations/2566461"
"Geraniums (Geraniales)","Geraniales","Remaining historical report","Geranium bicknellii","Harvey Janszen",NA,"2001-08-26",NA,NA,"77251","https://www.inaturalist.org/observations/77251"
"Geraniums (Geraniales)","Geraniales","Confirmed record","Geranium robertianum","Harvey Janszen","Karolle Wall","2001-08-26","2009-07-29",NA,"97178765","https://www.inaturalist.org/observations/97178765"
"Grasses (Poales)","Poales","Remaining historical report","Luzula parviflora","Terry Taylor",NA,"2012-04-21",NA,NA,"77897","https://www.inaturalist.org/observations/77897"
"Grasses (Poales)","Poales","Confirmed record","Festuca bromoides","Harvey Janszen","Andrew Simon","2001-08-26","2022-06-17",NA,"122258299","https://www.inaturalist.org/observations/122258299"
"Grasses (Poales)","Poales","New record","Calamagrostis canadensis",NA,"Andrew Simon",NA,"2024-08-12",2024,"235463302","https://www.inaturalist.org/observations/235463302"
"Heath & blueberries (Ericales)","Ericales","Remaining historical report","Lysimachia arvensis","Harvey Janszen",NA,"2001-08-26",NA,NA,"791928","https://www.inaturalist.org/observations/791928"
"Heath & blueberries (Ericales)","Ericales","Confirmed record","Arctostaphylos uva-ursi","Harvey Janszen","Adam Huggins","2001-08-26","2016-08-14",NA,"3889075","https://www.inaturalist.org/observations/3889075"
"Heath & blueberries (Ericales)","Ericales","New record","Lysimachia nummularia",NA,"Andrew Simon",NA,"2025-05-29",2025,"285513561","https://www.inaturalist.org/observations/285513561"
"Holly (Aquifoliales)","Aquifoliales","Confirmed record","Ilex aquifolium","Harvey Janszen","Andrew Simon","2001-08-26","2015-02-22",NA,"2566288","https://www.inaturalist.org/observations/2566288"
"Honeysuckles (Dipsacales)","Dipsacales","Remaining historical report","Plectritis macrocera","Harvey Janszen",NA,"2001-08-26",NA,NA,"57287","https://www.inaturalist.org/observations/57287"
"Honeysuckles (Dipsacales)","Dipsacales","Confirmed record","Symphoricarpos mollis","Harvey Janszen","Andrew Simon","2001-08-26","2017-05-29",NA,"6434805","https://www.inaturalist.org/observations/6434805"
"Horsetails (Equisetales)","Equisetales","Confirmed record","Equisetum telmateia ssp. braunii","Harvey Janszen","Andrew Simon","1980-04-11","2015-02-22",NA,"2566305","https://www.inaturalist.org/observations/2566305"
"Legumes (Fabales)","Fabales","Remaining historical report","Trifolium wormskioldii","Harvey Janszen",NA,"2001-08-26",NA,NA,"71146","https://www.inaturalist.org/observations/71146"
"Legumes (Fabales)","Fabales","Confirmed record","Trifolium pratense","Harvey Janszen","Lauren Magner","2001-08-26","2015-05-31",NA,"2663792","https://www.inaturalist.org/observations/2663792"
"Legumes (Fabales)","Fabales","New record","Trifolium fragiferum",NA,"aanderson72",NA,"2025-05-16",2025,"281623731","https://www.inaturalist.org/observations/281623731"
"Lilies (Liliales)","Liliales","Confirmed record","Fritillaria affinis","Harvey Janszen","Shera Street","2001-08-26","2009-05-03",NA,"2635125","https://www.inaturalist.org/observations/2635125"
"Mallows (Malvales)","Malvales","Remaining historical report","Alcea rosea","Harvey Janszen",NA,"2001-08-26",NA,NA,"62205","https://www.inaturalist.org/observations/62205"
