Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Order_std,Taxon_std,Reporting_raw_std,Reporting_simple_std,Collector_std,Observer_std,Historical_date_std,First_observed_std,iNat_URL_raw_std,iNat_ID_raw_std,Collection_std,Accession_std,new_year_std,status_std,historical_year,observed_year,Order_label
Amaranthus powellii,S. Watson,,Powell's amaranth,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Amaranthaceae,Amaranthoideae,,Amaranthus,powellii,,,,exotic,unlisted,,confirmed,observed,1975-06-20,Harvey Janszen,RBCM,V113852,1949562824,2016-07-31,Andrew Simon,iNat:3786981,,75398,VAS,NA,confirmed,Caryophyllales,Amaranthus powellii,confirmed,confirmed,Harvey Janszen,Andrew Simon,1975-06-20,2016-07-31,iNat:3786981,75398,RBCM,V113852,NA,confirmed,1975,2016,Pink & cactus (Caryophyllales)
Idahoa scapigera,(Hook.) A. Nelson & J.F. Macbr.,,scalepod,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Subularieae,Idahoa,scapigera,,,,native,S4,,confirmed,observed,2016-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island 2016 (unpublished technical report),,NA,2013-03-22,Ryan Batten,iNat:9142671,,77486,VAS,NA,confirmed,Brassicales,Idahoa scapigera,confirmed,confirmed,Matt Fairbarns,Ryan Batten,2016-07-08,2013-03-22,iNat:9142671,77486,Vascular Plant Survey of a Rock Bluff System on Galiano Island 2016 (unpublished technical report),NA,NA,confirmed,2016,2013,Mustard (Brassicales)
Taraxacum officinale agg.,,,common dandelion,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,officinale,,,,exotic,unlisted,,confirmed,observed,2016-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,NA,2017-04-11,Andrew Simon,iNat:5651774,"Taraxacum as a genus is highly overlooked (C.R.Björk); a great diversity of Taraxacum spp. have yet to be reported for the project; PNW botanists are happy to adopt European microspecies when there are few of them (e.g. R. armeniacus: a microspecies consisting of a single clone). But there are too many species of Taraxacum in BC for this to be applied without very hard work and pain. But again there are real problems with using T. officinale and T. erythrospermum in the FPNW sense as they lump things which have different evolutionary origins. Best practice would be to use sections as broad level taxa or “species"" as these can be recognized quite easily with a bit of training (for instance Galiano has Taraxacum sect. Hamatum as its commonest dandelion group). We are not there yet... Pro tem., I suggest using ""T. officinale agg."", and ""T. erythrospermum agg."" (without authorities - they are not biologically species). There is a long road before BC botanists will accept a more biologically meaningful treatment of Taraxacum diversity. This does not much matter for the introductions (and there are no natives on Galiano), but is an absolute tragedy for the natives where a fantastic richness of endemic alpine species languish under the completely ridiculous name “T. ceratophorum”. (T. ceratophorum is an asian species that looks nothing like anything in BC!).",47602,VAS,NA,confirmed,Asterales,Taraxacum officinale agg.,confirmed,confirmed,Matt Fairbarns,Andrew Simon,2016-07-08,2017-04-11,iNat:5651774,47602,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),NA,NA,confirmed,2016,2017,Sunflowers (Asterales)
Pseudognaphalium stramineum,(Kunth) Anderb.,,cotton-batting cudweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Asteroideae,Gnaphalieae,Pseudognaphalium,stramineum,,,,native,SU,,confirmed,observed,2016-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,NA,2021-07-04,Andrew Simon,iNat:85701684,,53089,VAS,NA,confirmed,Asterales,Pseudognaphalium stramineum,confirmed,confirmed,Matt Fairbarns,Andrew Simon,2016-07-08,2021-07-04,iNat:85701684,53089,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),NA,NA,confirmed,2016,2021,Sunflowers (Asterales)
Sanicula graveolens,Poepp. ex DC.,,Sierra sanicle,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Apiales,,NA,Apiaceae,Saniculoideae,Saniculeae,Sanicula,graveolens,,,,native,S4S5,,reported,unobserved,2016-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,NA,NA,NA,,Hmmm… Perhaps cold-ish mountaintops (on top of Bodega Ridge)? Reported for Mount Sutil,78979,VAS,NA,reported,Apiales,Sanicula graveolens,reported,reported,Matt Fairbarns,NA,2016-07-08,NA,NA,78979,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),NA,NA,reported,2016,NA,Carrot & ginseng (Apiales)
Lathyrus sylvestris,L.,,narrow-leaved everlasting peavine,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Fabeae,Lathyrus,sylvestris,,,,exotic,unlisted,,reported,unobserved,2016-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,NA,NA,NA,,,82740,VAS,NA,reported,Fabales,Lathyrus sylvestris,reported,reported,Matt Fairbarns,NA,2016-07-08,NA,NA,82740,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),NA,NA,reported,2016,NA,Legumes (Fabales)
Rhamphospermum arvense,(L.) Andrz. ex Besser,,corn mustard,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Brassiceae,Rhamphospermum,arvense,,,,exotic,unlisted,,reported,unobserved,1928-01-07,J. Travis,RBCM,V020104,1949469423,NA,NA,,reported as Sinapis arvensis,1451052,VAS,NA,reported,Brassicales,Rhamphospermum arvense,reported,reported,J. Travis,NA,1928-01-07,NA,NA,1451052,RBCM,V020104,NA,reported,1928,NA,Mustard (Brassicales)
Turritis glabra,L.,,tower mustard,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Turritideae,Turritis,glabra,,,,native,S5,,confirmed,observed,1930-04-13,William Newcombe,RBCM,V025781,1949475348,2017-04-30,Andrew Simon,iNat:6047552,,79460,VAS,NA,confirmed,Brassicales,Turritis glabra,confirmed,confirmed,William Newcombe,Andrew Simon,1930-04-13,2017-04-30,iNat:6047552,79460,RBCM,V025781,NA,confirmed,1930,2017,Mustard (Brassicales)
Arabis eschscholtziana,Andrz.,,Eschscholtz's rockcress,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Arabideae,Arabis,eschscholtziana,,,,native,S5,,confirmed,observed,1930-04-14,William Newcombe,RBCM,V025791,1949475366,2016-04-23,Andrew Simon,iNat:3028222,,75494,VAS,NA,confirmed,Brassicales,Arabis eschscholtziana,confirmed,confirmed,William Newcombe,Andrew Simon,1930-04-14,2016-04-23,iNat:3028222,75494,RBCM,V025791,NA,confirmed,1930,2016,Mustard (Brassicales)
Lepidium ramosissimum,A. Nelson,,branched pepper-grass,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,ramosissimum,,,,exotic,unlisted,,reported,unobserved,1934-07-05,William Newcombe,RBCM,V078508,1949527425,NA,NA,,,77674,VAS,NA,reported,Brassicales,Lepidium ramosissimum,reported,reported,William Newcombe,NA,1934-07-05,NA,NA,77674,RBCM,V078508,NA,reported,1934,NA,Mustard (Brassicales)
