from,to,person_name,person_class,edge_class,weight,entry_year
Andy Lamb,Beringraja rhina,Andy Lamb,historical,reported,1,2010
Andy Lamb,Bispira pacifica,Andy Lamb,historical,reported,1,1973
Andy Lamb,Boltenia villosa,Andy Lamb,historical,confirmed,1,1986
Andy Lamb,Bopyroides hippolytes,Andy Lamb,historical,reported,1,2010
Andy Lamb,Boreoberthella chacei,Andy Lamb,historical,confirmed,1,2005
Andy Lamb,Botrylloides violaceus,Andy Lamb,historical,confirmed,1,2007
Andy Lamb,Bougainvillia sp.,Andy Lamb,historical,reported,1,2008
Andy Lamb,Bowerbankia sp.,Andy Lamb,historical,reported,1,2006
Andy Lamb,Brachyistius frenatus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Brosmophycis marginata,Andy Lamb,historical,reported,1,2010
Andy Lamb,Bugulina californica,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Cadlina luteomarginata,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Cadlina modesta,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Cancer productus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Caprella alaskana,Andy Lamb,historical,reported,1,2008
Andy Lamb,Caryophyllia (Caryophyllia) alaskensis,Andy Lamb,historical,reported,1,2009
Andy Lamb,Caulibugula californica,Andy Lamb,historical,reported,1,2007
Andy Lamb,Chaetopterus variopedatus complex,Andy Lamb,historical,reported,1,2006
Andy Lamb,Chelyosoma productum,Andy Lamb,historical,reported,1,1969
Andy Lamb,Chirolophis decoratus,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Chirolophis nugator,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Chitonotus pugetensis,Andy Lamb,historical,reported,1,1985
Andy Lamb,Chone aurantiaca,Andy Lamb,historical,confirmed,1,1999
Andy Lamb,Chthamalus dalli,Andy Lamb,historical,confirmed,1,2008
Andy Lamb,Ciliatocardium ciliatum,Andy Lamb,historical,reported,1,2008
Andy Lamb,Ciona savignyi,Andy Lamb,historical,reported,1,1985
Andy Lamb,Citharichthys stigmaeus,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Clathria (Microciona) pennata,Andy Lamb,historical,reported,1,1971
Andy Lamb,Clathrina sp.,Andy Lamb,historical,reported,1,2017
Andy Lamb,Cliona californiana,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Clupea pallasii,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Cnemidocarpa finmarkiensis,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Corella inflata,Andy Lamb,historical,confirmed,1,1999
Andy Lamb,Coryphella longicaudata,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Coryphella trophina,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Craniella villosa,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Crassadoma gigantea,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Crepidula cf nummaria,Andy Lamb,historical,reported,1,1994
Andy Lamb,Cribrinopsis fernaldi,Andy Lamb,historical,reported,1,1971
Andy Lamb,Cribrinopsis rubens,Andy Lamb,historical,reported,1,2006
Andy Lamb,Crisia sp.,Andy Lamb,historical,reported,1,1985
Andy Lamb,Cryptobranchia concentrica,Andy Lamb,historical,reported,1,2007
Andy Lamb,Cryptochiton stelleri,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Cryptolithodes sitchensis,Andy Lamb,historical,reported,1,1999
Andy Lamb,Cryptolithodes typicus,Andy Lamb,historical,reported,1,1985
Andy Lamb,Cryptonatica aleutica,Andy Lamb,historical,reported,1,2009
Andy Lamb,Cucumaria miniata,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Cucumaria pallida,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Cucumaria piperata,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Cyanea ferruginea,Andy Lamb,historical,confirmed,1,1999
Andy Lamb,Dendrobeania lichenoides,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Dendrobeania murrayana,Andy Lamb,historical,reported,1,1985
Andy Lamb,Dendronotus albus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Dendronotus iris,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Dendronotus rufus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Dermasterias imbricata,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Diaperoforma californica,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Diaphorodoris lirulatocauda,Andy Lamb,historical,confirmed,1,2008
Andy Lamb,Diaulula odonoghuei,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Didemnum carnulentum,Andy Lamb,historical,reported,1,1985
Andy Lamb,Didemnum vexillum,Andy Lamb,historical,reported,1,2013
Andy Lamb,Diodora aspera,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Diopatra ornata,Andy Lamb,historical,confirmed,1,1999
Andy Lamb,Dirona albolineata,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Dirona pellucida,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Distaplia occidentalis,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Dodecaceria pacifica,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Doris montereyensis,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Doris odhneri,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Ectopleura crocea,Andy Lamb,historical,reported,1,1993
Andy Lamb,Ectopleura marina,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Elassochirus gilli,Andy Lamb,historical,reported,1,1985
Andy Lamb,Elassochirus tenuimanus,Andy Lamb,historical,reported,1,1993
Andy Lamb,Emplectonema viride,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Enophrys bison,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Entodesma navicula,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Epiactis prolifera,Andy Lamb,historical,reported,1,1973
Andy Lamb,Epitonium indianorum,Andy Lamb,historical,reported,1,2008
Andy Lamb,Epizoanthus scotinus,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Eualus butleri,Andy Lamb,historical,reported,1,2016
Andy Lamb,Eubranchus rupium,Andy Lamb,historical,reported,1,2012
Andy Lamb,Eudistoma molle,Andy Lamb,historical,reported,1,1994
Andy Lamb,Eudistoma purpuropunctatum,Andy Lamb,historical,reported,1,2008
Andy Lamb,Eudistylia vancouveri,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Eumetopias jubatus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Euphausia sp.,Andy Lamb,historical,reported,1,1973
Andy Lamb,Evasterias troschelii,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Gadus chalcogrammus,Andy Lamb,historical,reported,1,1973
Andy Lamb,Gari californica,Andy Lamb,historical,reported,1,2005
Andy Lamb,Garveia annulata,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Geitodoris heathi,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Gobiesox maeandricus,Andy Lamb,historical,confirmed,1,1995
