year,n_edges,n_nodes,frame_file
1800,0,0,outputs/marine_animals/network_animation/frames/marine_animals_network_1800.png
1810,0,0,outputs/marine_animals/network_animation/frames/marine_animals_network_1810.png
1820,0,0,outputs/marine_animals/network_animation/frames/marine_animals_network_1820.png
1830,0,0,outputs/marine_animals/network_animation/frames/marine_animals_network_1830.png
1840,0,0,outputs/marine_animals/network_animation/frames/marine_animals_network_1840.png
1850,0,0,outputs/marine_animals/network_animation/frames/marine_animals_network_1850.png
1860,1,2,outputs/marine_animals/network_animation/frames/marine_animals_network_1860.png
1870,2,3,outputs/marine_animals/network_animation/frames/marine_animals_network_1870.png
1880,2,3,outputs/marine_animals/network_animation/frames/marine_animals_network_1880.png
1890,2,3,outputs/marine_animals/network_animation/frames/marine_animals_network_1890.png
1900,3,5,outputs/marine_animals/network_animation/frames/marine_animals_network_1900.png
1910,3,5,outputs/marine_animals/network_animation/frames/marine_animals_network_1910.png
1920,3,5,outputs/marine_animals/network_animation/frames/marine_animals_network_1920.png
1930,4,7,outputs/marine_animals/network_animation/frames/marine_animals_network_1930.png
1940,5,9,outputs/marine_animals/network_animation/frames/marine_animals_network_1940.png
1950,6,11,outputs/marine_animals/network_animation/frames/marine_animals_network_1950.png
1960,33,43,outputs/marine_animals/network_animation/frames/marine_animals_network_1960.png
1970,116,130,outputs/marine_animals/network_animation/frames/marine_animals_network_1970.png
1980,187,206,outputs/marine_animals/network_animation/frames/marine_animals_network_1980.png
1990,287,311,outputs/marine_animals/network_animation/frames/marine_animals_network_1990.png
2000,409,437,outputs/marine_animals/network_animation/frames/marine_animals_network_2000.png
2010,598,576,outputs/marine_animals/network_animation/frames/marine_animals_network_2010.png
2011,609,583,outputs/marine_animals/network_animation/frames/marine_animals_network_2011.png
2012,612,585,outputs/marine_animals/network_animation/frames/marine_animals_network_2012.png
2013,657,599,outputs/marine_animals/network_animation/frames/marine_animals_network_2013.png
2014,667,599,outputs/marine_animals/network_animation/frames/marine_animals_network_2014.png
2015,695,609,outputs/marine_animals/network_animation/frames/marine_animals_network_2015.png
2016,748,638,outputs/marine_animals/network_animation/frames/marine_animals_network_2016.png
2017,779,656,outputs/marine_animals/network_animation/frames/marine_animals_network_2017.png
2018,802,667,outputs/marine_animals/network_animation/frames/marine_animals_network_2018.png
2019,841,691,outputs/marine_animals/network_animation/frames/marine_animals_network_2019.png
2020,853,699,outputs/marine_animals/network_animation/frames/marine_animals_network_2020.png
2021,875,708,outputs/marine_animals/network_animation/frames/marine_animals_network_2021.png
2022,890,720,outputs/marine_animals/network_animation/frames/marine_animals_network_2022.png
2023,926,735,outputs/marine_animals/network_animation/frames/marine_animals_network_2023.png
2024,935,746,outputs/marine_animals/network_animation/frames/marine_animals_network_2024.png
2025,941,754,outputs/marine_animals/network_animation/frames/marine_animals_network_2025.png
2026,941,754,outputs/marine_animals/network_animation/frames/marine_animals_network_2026.png
