Taxon,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,PERIOD,Richness
Sinapis arvensis,reported,unobserved,1928-01-07,J. Travis,1930,3
Draba nemorosa,reported,unobserved,1930-04-13,W. A. Newcombe,1930,3
Turritis glabra,confirmed,observed,1930-04-13,William Newcombe,1930,3
Arabis eschscholtziana,confirmed,observed,1930-04-14,William Newcombe,1930,3
Lepidium ramosissimum,reported,unobserved,1934-07-05,William Newcombe,1940,4
Allium acuminatum,confirmed,observed,1958-05-18,W. M. Bird,1960,5
Aphyllon purpureum,confirmed,observed,1961-05-08,J. A. Calder,1970,13
Arctostaphylos columbiana,confirmed,observed,1961-05-08,J. A. Calder,1970,13
Camassia leichtlinii ssp. suksdorfii,confirmed,observed,1961-05-08,J. A. Calder,1970,13
Pentagramma triangularis ssp. triangularis,confirmed,observed,1961-05-08,J. A. Calder,1970,13
Polypodium glycyrrhiza,confirmed,observed,1961-05-08,J. A. Calder,1970,13
Carex leporina,reported,unobserved,1966-08-24,B. Turner,1970,13
Symphyotrichum subspicatum,confirmed,observed,1966-08-25,Bruce Bennett,1970,13
Claytonia sibirica,confirmed,observed,1972-05-02,B. Schwartz,1980,137
Cerastium arvense ssp. strictum,confirmed,observed,1972-05-02,B. Stephens,1980,137
Cardamine nuttallii,confirmed,observed,1972-05-02,R. Biggs,1980,137
Calypso bulbosa var. occidentalis,confirmed,observed,1974-04-21,Wilfred B. Schofield,1980,137
Claytonia rubra ssp. rubra,reported,unobserved,1974-04-21,Wilfred B. Schofield,1980,137
Crocidium multicaule,confirmed,observed,1974-04-21,Wilfred B. Schofield,1980,137
Lithophragma parviflorum,confirmed,observed,1974-04-21,Wilfred B. Schofield,1980,137
Montia fontana,confirmed,observed,1974-04-21,Wilfred B. Schofield,1980,137
Neottia cordata,confirmed,observed,1974-04-21,Wilfred B. Schofield,1980,137
Ribes lobbii,confirmed,observed,1974-04-21,Wilfred B. Schofield,1980,137
Argentina anserina,confirmed,observed,1974-07-14,S. Keene,1980,137
Bromus hordeaceus,confirmed,observed,1974-07-14,S. Keene,1980,137
Bromus sterilis,confirmed,observed,1974-07-14,S. Keene,1980,137
Arctium minus,confirmed,observed,1975-01-01,Harvey Janszen,1980,137
Cardamine pensylvanica,confirmed,observed,1975-05-07,Harvey Janszen,1980,137
Fragaria chiloensis,reported,unobserved,1975-05-07,Harvey Janszen,1980,137
Bromus tectorum,confirmed,observed,1975-05-07,Leon Pavlick,1980,137
Cardamine oligosperma,confirmed,observed,1975-05-10,Angela Wood,1980,137
Erythranthe sookensis,confirmed,observed,1975-05-12,Angela Wood,1980,137
Erythranthe cf guttata,confirmed,observed,1975-05-13,Angela Wood,1980,137
Moehringia macrophylla,confirmed,observed,1975-05-13,Angela Wood,1980,137
Myosotis sylvatica,confirmed,observed,1975-05-14,Angela Wood,1980,137
Sisymbrium officinale,confirmed,observed,1975-05-14,Angela Wood,1980,137
Ulex europaeus,confirmed,observed,1975-05-14,Angela Wood,1980,137
Hyacinthoides × massartiana,confirmed,observed,1975-05-16,Angela Wood,1980,137
Myosotis laxa,confirmed,observed,1975-05-25,Angela Wood,1980,137
Stellaria borealis ssp. sitchana,confirmed,observed,1975-05-25,Angela Wood,1980,137
Aira caryophyllea,confirmed,observed,1975-05-31,Angela Wood,1980,137
Bromus carinatus var. carinatus,confirmed,observed,1975-05-31,Angela Wood,1980,137
Elymus glaucus ssp. glaucus,confirmed,observed,1975-05-31,Angela Wood,1980,137
Festuca rubra ssp. pruinosa,confirmed,observed,1975-05-31,Angela Wood,1980,137
Poa howellii,reported,unobserved,1975-05-31,Angela Wood,1980,137
