scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup,report_detail
Acarospora fuscata,(Schrader) Arnold,brown cobblestone lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Acarosporomycetidae,NA,Acarosporales,NA,NA,NA,Acarosporaceae,NA,NA,Acarospora,fuscata,NA,NA,NA,accepted,182542,Acarospora fuscata,Acarospora fuscata,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Acarospora fuscata,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Acarospora fuscata,Acarospora fuscata,LICHENS,LICHENS,NA
Alectoria imshaugii,Brodo & D. Hawksw.,Spiny Witch's Hair,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Alectoria,imshaugii,NA,NA,NA,accepted,179862,Alectoria imshaugii,Alectoria imshaugii,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Alectoria imshaugii,spiny witch's hair,S3?,Apr 2019,Blue,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alectoria imshaugii,Alectoria imshaugii,LICHENS,LICHENS,NA
Alectoria sarmentosa ssp. sarmentosa,(Ach.) Ach.,Common Witch's Hair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Alectoria,sarmentosa,NA,sarmentosa,NA,accepted,126624,Alectoria sarmentosa sarmentosa,Alectoria sarmentosa,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Alectoria sarmentosa,familiar witch's hair,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_4_GENUS_SPECIES_STRING,genus_species,genus_species,Alectoria sarmentosa,Alectoria sarmentosa,LICHENS,LICHENS,NA
Alectoria vancouverensis,(Gyelnik) Gyelnik ex Brodo & D. Hawksw,Vancouver Witch's Hair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Alectoria,vancouverensis,NA,NA,NA,accepted,205455,Alectoria vancouverensis,Alectoria vancouverensis,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Alectoria vancouverensis,Vancouver witch's hair,S4,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alectoria vancouverensis,Alectoria vancouverensis,LICHENS,LICHENS,NA
Amandinea punctata,(Hoffm.) Coppins & Scheid.,Tiny Button Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Caliciales,NA,NA,NA,Caliciaceae,NA,NA,Amandinea,punctata,NA,NA,NA,accepted,155082,Amandinea punctata,Amandinea punctata,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Amandinea punctata,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Amandinea punctata,Amandinea punctata,LICHENS,LICHENS,NA
Arctoparmelia centrifuga,(L.) Hale,Concentric Ring Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Arctoparmelia,centrifuga,NA,NA,NA,accepted,175232,Arctoparmelia centrifuga,Arctoparmelia centrifuga,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Arctoparmelia centrifuga,rippled ring,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Arctoparmelia centrifuga,Arctoparmelia centrifuga,LICHENS,LICHENS,NA
Arthonia phaeobaea,(Nyl.) Zahlbr.,NA,Fungi,Ascomycota,Pezizomycotina,NA,Arthoniomycetes,NA,NA,Arthoniales,NA,NA,NA,Arthoniaceae,NA,NA,Arthonia,phaeobaea,NA,NA,NA,accepted,205488,Arthonia phaeobaea,Arthonia phaeobaea,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Arthonia phaeobaea,NA,SU,Feb 2020,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Arthonia phaeobaea,Arthonia phaeobaea,LICHENS,LICHENS,NA
Arthonia radiata,(Pers.) Ach.,Asterisk Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Arthoniomycetes,NA,NA,Arthoniales,NA,NA,NA,Arthoniaceae,NA,NA,Arthonia,radiata,NA,NA,NA,accepted,205492,Arthonia radiata,Arthonia radiata,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Arthonia radiata,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Arthonia radiata,Arthonia radiata,LICHENS,LICHENS,NA
Arthrorhaphis citrinella,(Ach.) Poelt,Golden Dot-Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,NA,NA,NA,NA,Arthrorhaphidaceae,NA,NA,Arthrorhaphis,citrinella,NA,NA,NA,accepted,205500,Arthrorhaphis citrinella,Arthrorhaphis citrinella,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Arthrorhaphis citrinella,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Arthrorhaphis citrinella,Arthrorhaphis citrinella,LICHENS,LICHENS,NA
Aspicilia cinerea,(L.) Körb.,cinder lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,Pertusariales,NA,NA,NA,Megasporaceae,NA,NA,Aspicilia,cinerea,NA,NA,NA,accepted,182439,Aspicilia cinerea,Aspicilia cinerea,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Aspicilia cinerea,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aspicilia cinerea,Aspicilia cinerea,LICHENS,LICHENS,NA
