scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup.x,report_detail.x,report_supergroup.y,report_detail.y,report_supergroup,report_detail
Hesperia colorado oregonia,W.H. Edwards,Oregon Branded Skipper,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperia,colorado,NA,Hesperia colorado oregonia,NA,accepted,236376,Hesperia colorado oregonia,Hesperia colorado oregonia,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Hesperia colorado,"Western Branded Skipper, oregonia subspecies",S2,Mar 2021,Red,Endangered,Nov 2013,1,Endangered,Feb 2023,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Hesperia colorado oregonia,Hesperia colorado oregonia,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Danaus plexippus,L.,Monarch,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Papilionoidea,Nymphalidae,Danainae,Danaini,Danaus,plexippus,NA,NA,NA,accepted,48662,Danaus plexippus,Danaus plexippus,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Danaus plexippus,Monarch,S1?B,Feb 2020,Red,Endangered,Nov 2016,1,Endangered,Dec 2023,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Danaus plexippus,Danaus plexippus,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Epitheca sp.,Burmeister,Baskettails,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Odonata,Anisoptera,NA,Libelluloidea,Corduliidae,NA,NA,Epitheca,NA,NA,NA,NA,accepted,88207,Epitheca,Epitheca,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Machimus sp.,Loew,Bladetails,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Asilinae,Machimini,Machimus,NA,NA,NA,NA,accepted,61617,Machimus,Machimus,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Bruchidius villosus,Fabricius,Broom Seed Beetle,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,Bruchini,Bruchidius,villosus,NA,NA,NA,accepted,386880,Bruchidius villosus,Bruchidius villosus,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Bruchidius villosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Larinus carlinae,Olivier,Canada Thistle Bud Weevil,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,Lixinae,Lixini,Larinus,carlinae,NA,NA,NA,accepted,768460,Larinus carlinae,Larinus carlinae,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Larinus carlinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Eupithecia miserulata,Grote,Common Eupithecia Moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Eupithecia,miserulata,NA,NA,NA,accepted,143734,Eupithecia miserulata,Eupithecia miserulata,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Eupithecia miserulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Lucilia sericata,Meigen,Common European Greenbottle Fly,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Diptera,Brachycera,Cyclorrhapha,Oestroidea,Calliphoridae,Luciliinae,Luciliini,Lucilia,sericata,NA,NA,NA,accepted,128824,Lucilia sericata,Lucilia sericata,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Lucilia sericata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Dioryctria sp.,Zeller,Conifer Coneworm Moths,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Pyraloidea,Pyralidae,Phycitinae,Phycitini,Dioryctria,NA,NA,NA,NA,accepted,49681,Dioryctria,Dioryctria,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Argia sp.,Rambur,Dancers,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Odonata,Zygoptera,NA,Coenagrionoidea,Coenagrionidae,NA,NA,Argia,NA,NA,NA,NA,accepted,47977,Argia,Argia,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Chrysops sp.,Meigen,Deer Flies,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Diptera,Brachycera,Orthorrhapha,NA,Tabanidae,Chrysopsinae,Chrysopsini,Chrysops,NA,NA,NA,NA,accepted,49703,Chrysops,Chrysops,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Eratigena duellica,C.L. Koch,Giant House Spider,Animalia,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Araneae,Araneomorphae,Entelegynae,NA,Agelenidae,Ageleninae,NA,Eratigena,duellica,NA,NA,NA,accepted,750907,Eratigena duellica,Eratigena duellica,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Eratigena duellica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Xysticus sp.,C.L. Koch,Ground Crab Spiders,Animalia,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,Thomisinae,Coriarachnini,Xysticus,NA,NA,NA,NA,accepted,61903,Xysticus,Xysticus,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Archips podana,Scopoli,Large Fruit-tree Tortrix,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Tortricoidea,Tortricidae,Tortricinae,Archipini,Archips,podana,NA,NA,NA,accepted,324798,Archips podana,Archips podana,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Archips podana,Large Fruit-tree Tortrix Moth,SNA,Mar 2020,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Archips podana,Archips podana,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Clemensia umbrata,Packard,Little Shaded Lichen Moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Clemensia,umbrata,NA,NA,NA,accepted,789688,Clemensia umbrata,Clemensia umbrata,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Clemensia umbrata,Little White Lichen,S5,Mar 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Clemensia umbrata,Clemensia umbrata,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Macaria lorquinaria,Guenée,Lorquin's Angle,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,lorquinaria,NA,NA,NA,accepted,947130,Macaria lorquinaria,Macaria lorquinaria,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Macaria lorquinaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Schizura ipomaeae,Doubleday,Morning-glory Prominent,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Noctuoidea,Notodontidae,Heterocampinae,Heterocampini,Schizura,ipomaeae,NA,NA,NA,accepted,204014,Schizura ipomaeae,Schizura ipomaeae,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Schizura ipomaeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Nomada sp.,Scopoli,Nomad Bees,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae,Nomadini,Nomada,NA,NA,NA,NA,accepted,53648,Nomada,Nomada,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Coccinella septempunctata,L.,Seven-spotted Lady Beetle,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septempunctata,NA,NA,NA,accepted,51702,Coccinella septempunctata,Coccinella septempunctata,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Coccinella septempunctata,Seven-spotted Lady Beetle,SNA,Mar 2023,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Coccinella septempunctata,Coccinella septempunctata,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Athysanus argentarius,Metcalf,Silver Leafhopper,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,Deltocephalinae,Athysanini,Athysanus,argentarius,NA,NA,NA,accepted,204626,Athysanus argentarius,Athysanus argentarius,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Athysanus argentarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Plateumaris sp.,Thomson,Spade reed beetles,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Donaciinae,NA,Plateumaris,NA,NA,NA,NA,accepted,212095,Plateumaris,Plateumaris,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Celastrina ladon,Cramer,Spring Azure,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,NA,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Celastrina,ladon,NA,NA,NA,accepted,58556,Celastrina ladon,Celastrina ladon,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,Celastrina ladon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Chrysopa sp.,Leach in Brewster,Stink Lacewings,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Neuroptera,Hemerobiiformia,NA,NA,Chrysopidae,Chrysopinae,Chrysopini,Chrysopa,NA,NA,NA,NA,accepted,52426,Chrysopa,Chrysopa,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Tetragnatha sp.,Latreille,Stretch Spiders,Animalia,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Araneae,Araneomorphae,Entelegynae,Araneoidea,Tetragnathidae,Tetragnathinae,NA,Tetragnatha,NA,NA,NA,NA,accepted,47550,Tetragnatha,Tetragnatha,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Pardosa sp.,C.L. Koch,Thin-legged Wolf Spiders,Animalia,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Pardosinae,NA,Pardosa,NA,NA,NA,NA,accepted,47415,Pardosa,Pardosa,NA,NA,Howe_Sound_terrestrial_arthropods_reviewed.csv,SRC_TERR_INVERTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRESTRIAL INVERTS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
