scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup,report_detail
Anaxyrus boreas,"(Baird and Girard, 1852)",Western Toad,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Bufonidae,NA,NA,Anaxyrus,boreas,NA,NA,NA,accepted,64970,Anaxyrus boreas,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,64970,Anaxyrus boreas,Western Toad,S4,Apr 2022,Yellow,Special Concern,Nov 2012,1,Special Concern,Jun 2018,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Anaxyrus boreas,Anaxyrus boreas,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Ascaphus truei,"(Stejneger, 1899)",Coastal Tailed Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ascaphidae,NA,NA,Ascaphus,truei,NA,NA,NA,accepted,24543,Ascaphus truei,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,24543,Ascaphus truei,Coastal Tailed Frog,S4,Jan 2022,Yellow,Special Concern,Nov 2011,1,Special Concern,Jun 2003,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ascaphus truei,Ascaphus truei,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Lithobates catesbeianus,"(Shaw, 1802)",American Bullfrog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Lithobates,catesbeianus,NA,NA,NA,accepted,65979,Lithobates catesbeianus,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,65979,Lithobates catesbeianus,American Bullfrog,SNA,Dec 2021,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Lithobates catesbeianus,Lithobates catesbeianus,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Lithobates clamitans,"(Latreille, 1801)",Green Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Lithobates,clamitans,NA,NA,NA,accepted,65982,Lithobates clamitans,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,65982,Lithobates clamitans,Green Frog,SNA,Dec 2021,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Lithobates clamitans,Lithobates clamitans,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Lithobates pipiens,"(Schreber, 1782)",Northern Leopard Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Lithobates,pipiens,NA,NA,NA,accepted,66003,Lithobates pipiens,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,66003,Lithobates pipiens,Northern Leopard Frog,S1,Dec 2021,Red,Endangered,Dec 2021,1,Endangered,Jun 2003,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Lithobates pipiens,Lithobates pipiens,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Lithobates sylvaticus,"(LeConte, 1825)",Wood Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Lithobates,sylvaticus,NA,NA,NA,accepted,66012,Lithobates sylvaticus,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,66012,Lithobates sylvaticus,Wood Frog,S5,Sep 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Lithobates sylvaticus,Lithobates sylvaticus,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Pseudacris maculata,"Agassiz, 1850",Boreal Chorus Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Hylidae,NA,NA,Pseudacris,maculata,NA,NA,NA,accepted,24255,Pseudacris maculata,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,24255,Pseudacris maculata,Boreal Chorus Frog,S5?,Sep 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pseudacris maculata,Pseudacris maculata,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Pseudacris regilla,"(Baird & Girard, 1852)",Pacific Treefrog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Hylidae,NA,NA,Pseudacris,regilla,NA,NA,NA,accepted,24259,Pseudacris regilla,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,24259,Pseudacris regilla,Pacific Treefrog,S5,Mar 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pseudacris regilla,Pseudacris regilla,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Rana aurora,"Baird and Girard, 1852",Northern Red-legged Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Rana,aurora,NA,NA,NA,accepted,25545,Rana aurora,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,25545,Rana aurora,Northern Red-legged Frog,S3,Mar 2022,Blue,Special Concern,May 2015,1,Special Concern,Jan 2005,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Rana aurora,Rana aurora,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
Rana luteiventris,"Thompson, 1913",Columbia Spotted Frog,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Rana,luteiventris,NA,NA,NA,accepted,25588,Rana luteiventris,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,25588,Rana luteiventris,Columbia Spotted Frog,S4S5,Mar 2022,Yellow,Not at Risk,May 2000,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Rana luteiventris,Rana luteiventris,AMPHIBIANS,TERRESTRIAL WILDLIFE,NA
