scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup.x,report_detail.x,report_supergroup.y,report_detail.y,report_supergroup,report_detail
Ardea ibis,NA,Western Cattle-Egret,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Pelecaniformes,NA,NA,NA,Ardeidae,Ardeinae,NA,Ardea,ibis,NA,NA,NA,unaccepted,411086,Ardea ibis,Ardea ibis,accidental,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Ardea ibis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Astur atricapillus,NA,Eurasian Goshawk,Animalia,Chordata,NA,NA,Aves,NA,NA,Falconiformes,NA,NA,NA,Falconidae,NA,NA,NA,NA,NA,NA,NA,unknown,1579016,NA,Astur atricapillus,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Astur atricapillus laingi,NA,Haida Gwaii Goshawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,NA,Accipitridae,Accipitrinae,NA,Astur,atricapillus,NA,Astur atricapillus laingi,NA,unaccepted,1583098,Astur atricapillus laingi,Astur atricapillus laingi,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Astur atricapillus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Astur cooperii,NA,Cooper's Hawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,NA,Accipitridae,Accipitrinae,NA,Astur,cooperii,NA,NA,NA,unaccepted,1579017,Astur cooperii,Astur cooperii,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Astur cooperii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Basilinna xantusii,NA,Xantus's Hummingbird,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Apodiformes,NA,NA,NA,Trochilidae,Trochilinae,Trochilini,Basilinna,xantusii,NA,NA,NA,unaccepted,1289673,Basilinna xantusii,Basilinna xantusii,accidental,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Basilinna xantusii,Xantus's Hummingbird,SNA,Mar 2015,Accidental,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Basilinna xantusii,Basilinna xantusii,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Canachites canadensis,NA,Spruce Grouse,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Galliformes,NA,NA,NA,Phasianidae,NA,NA,Canachites,canadensis,NA,NA,NA,unaccepted,1289698,Canachites canadensis,Canachites canadensis,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Canachites canadensis,Spruce Grouse,S5,Mar 2015,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Canachites canadensis,Canachites canadensis,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Corthylio calendula,NA,Ruby-crowned Kinglet,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,NA,Regulidae,NA,NA,Corthylio,calendula,NA,NA,NA,unaccepted,1289388,Corthylio calendula,Corthylio calendula,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Corthylio calendula,Ruby-crowned Kinglet,S5,Mar 2015,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Corthylio calendula,Corthylio calendula,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Corvus brachyrhynchos caurinus,NA,Northwestern Crow,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,NA,Corvidae,NA,NA,Corvus,brachyrhynchos,NA,Corvus brachyrhynchos caurinus,NA,unaccepted,1290036,Corvus brachyrhynchos caurinus,Corvus brachyrhynchos caurinus,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Corvus brachyrhynchos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Hesperiphona vespertina,NA,Evening Grosbeak,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,NA,Fringillidae,NA,NA,Hesperiphona,vespertina,NA,NA,NA,unaccepted,1650411,Hesperiphona vespertina,Hesperiphona vespertina,permanent,NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Hesperiphona vespertina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
Hydrobates furcatus,NA,Fork-tailed Storm-Petrel,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Procellariiformes,NA,NA,NA,Hydrobatidae,NA,NA,Hydrobates,furcatus,NA,NA,NA,unaccepted,1289624,Hydrobates furcatus,Hydrobates furcatus,winter (rare),NA,Howe_Sound_birds_reviewed.csv,SRC_BIRDS,NA,Hydrobates furcatus,Fork-tailed Storm-Petrel,S4B,Mar 2015,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Hydrobates furcatus,Hydrobates furcatus,BIRDS,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA,TERRESTRIAL WILDLIFE,NA
