scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup.x,report_detail.x,report_supergroup.y,report_detail.y,report_supergroup,report_detail
Ambystoma gracile,Baird,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Caudata,NA,NA,NA,Ambystomatidae,NA,NA,Ambystoma,gracile,NA,NA,NA,accepted,26747,Ambystoma gracile,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,26747,Ambystoma gracile,Northwestern Salamander,S4,Mar 2022,Yellow,Not at Risk,May 1999,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ambystoma gracile,Ambystoma gracile,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Ambystoma macrodactylum,Baird,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Caudata,NA,NA,NA,Ambystomatidae,NA,NA,Ambystoma,macrodactylum,NA,NA,NA,accepted,26754,Ambystoma macrodactylum,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,26754,Ambystoma macrodactylum,Long-toed Salamander,S5,Oct 2023,Yellow,Not at Risk,Apr 2006,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ambystoma macrodactylum,Ambystoma macrodactylum,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Anaxyrus boreas,Baird & Girard,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Bufonidae,NA,NA,Anaxyrus,boreas,NA,NA,NA,accepted,64970,Anaxyrus boreas,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,64970,Anaxyrus boreas,Western Toad,S4,Apr 2022,Yellow,Special Concern,Nov 2012,1,Special Concern,Jun 2018,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Anaxyrus boreas,Anaxyrus boreas,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Aneides vagrans,Wake & Jackman,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Caudata,NA,NA,NA,Plethodontidae,Plethodontinae,NA,Aneides,vagrans,NA,NA,NA,accepted,27423,Aneides vagrans,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,248672,Aneides vagrans,Wandering Salamander,S3,Mar 2022,Blue,Special Concern,May 2014,1,Special Concern,Feb 2018,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aneides vagrans,Aneides vagrans,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Ascaphus truei,Stejneger,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ascaphidae,NA,NA,Ascaphus,truei,NA,NA,NA,accepted,24543,Ascaphus truei,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,24543,Ascaphus truei,Coastal Tailed Frog,S4,Jan 2022,Yellow,Special Concern,Nov 2011,1,Special Concern,Jun 2003,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ascaphus truei,Ascaphus truei,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Dicamptodon tenebrosus,Baird & Girard,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Caudata,NA,NA,NA,Ambystomatidae,NA,NA,Dicamptodon,tenebrosus,NA,NA,NA,accepted,26822,Dicamptodon tenebrosus,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,26822,Dicamptodon tenebrosus,Coastal Giant Salamander,S2S3,Jan 2022,Blue,Threatened,May 2014,1,Threatened,Jun 2003,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Dicamptodon tenebrosus,Dicamptodon tenebrosus,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Ensatina eschscholtzii,Gray,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Caudata,NA,NA,NA,Plethodontidae,Plethodontinae,NA,Ensatina,eschscholtzii,NA,NA,NA,accepted,27250,Ensatina eschscholtzii,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,27250,Ensatina eschscholtzii,Ensatina,S5,Sep 2023,Yellow,Not at Risk,May 1999,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ensatina eschscholtzii,Ensatina eschscholtzii,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Lithobates clamitans,Latreille,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Lithobates,clamitans,NA,NA,NA,accepted,65982,Lithobates clamitans,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,65982,Lithobates clamitans,Green Frog,SNA,Dec 2021,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Lithobates clamitans,Lithobates clamitans,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Plethodon vehiculum,Cooper,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Caudata,NA,NA,NA,Plethodontidae,Plethodontinae,NA,Plethodon,vehiculum,NA,NA,NA,accepted,27194,Plethodon vehiculum,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,27194,Plethodon vehiculum,Western Red-backed Salamander,S4,Mar 2022,Yellow,Not at Risk,Nov 2001,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Plethodon vehiculum,Plethodon vehiculum,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Pseudacris maculata,Agassiz,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Hylidae,NA,NA,Pseudacris,maculata,NA,NA,NA,accepted,24255,Pseudacris maculata,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,24255,Pseudacris maculata,Boreal Chorus Frog,S5?,Sep 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pseudacris maculata,Pseudacris maculata,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Pseudacris regilla,Baird & Girard,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Hylidae,NA,NA,Pseudacris,regilla,NA,NA,NA,accepted,24259,Pseudacris regilla,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,24259,Pseudacris regilla,Pacific Treefrog,S5,Mar 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pseudacris regilla,Pseudacris regilla,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Rana aurora,Baird & Girard,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Rana,aurora,NA,NA,NA,accepted,25545,Rana aurora,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,25545,Rana aurora,Northern Red-legged Frog,S3,Mar 2022,Blue,Special Concern,May 2015,1,Special Concern,Jan 2005,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Rana aurora,Rana aurora,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Rana luteiventris,Thompson,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Rana,luteiventris,NA,NA,NA,accepted,25588,Rana luteiventris,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,25588,Rana luteiventris,Columbia Spotted Frog,S4S5,Mar 2022,Yellow,Not at Risk,May 2000,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Rana luteiventris,Rana luteiventris,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
Rana pretiosa,Baird & Girard,NA,Animalia,Chordata,Vertebrata,NA,Amphibia,NA,NA,Anura,NA,NA,NA,Ranidae,NA,NA,Rana,pretiosa,NA,NA,NA,accepted,25542,Rana pretiosa,NA,NA,NA,Howe_Sound_herptiles-assigned.csv,SRC_UNASSIGNED,25542,Rana pretiosa,Oregon Spotted Frog,S1,Jan 2022,Red,Endangered,May 2011,1,Endangered,Jun 2003,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Rana pretiosa,Rana pretiosa,UNASSIGNED,UNASSIGNED,NA,UNASSIGNED,NA,UNASSIGNED,NA
