scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup.x,report_detail.x,report_supergroup.y,report_detail.y,report_supergroup,report_detail
Marsupella condensata,(Ångstr.) Schiffn.,Compact Rustwort,Plantae,Marchantiophyta,NA,NA,Jungermanniopsida,Jungermanniidae,NA,Jungermanniales,Jungermanniineae,NA,NA,Gymnomitriaceae,NA,NA,Marsupella,condensata,NA,NA,NA,accepted,165171,Marsupella condensata,Marsupella condensata,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Marsupella condensata,NA,S3,Apr 2021,Blue,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Marsupella condensata,Marsupella condensata,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Calypogeia suecica,(Arnell & J. Perss.) K. Müller,Swedish Pouchwort,Plantae,Marchantiophyta,NA,NA,Jungermanniopsida,Jungermanniidae,NA,Jungermanniales,Jungermanniineae,NA,NA,Calypogeiaceae,NA,NA,Calypogeia,suecica,NA,NA,NA,accepted,159719,Calypogeia suecica,Calypogeia suecica,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Calypogeia suecica,NA,S4,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Calypogeia suecica,Calypogeia suecica,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Frullania californica,(Aust. ex Underw.) A. Evans ?,NA,Plantae,Marchantiophyta,NA,NA,Jungermanniopsida,Jungermanniidae,NA,Porellales,NA,NA,NA,Frullaniaceae,NA,NA,Frullania,californica,NA,NA,NA,accepted,56520,Frullania californica,Frullania californica,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Frullania californica,NA,S4,Apr 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Frullania californica,Frullania californica,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Ptilidium californicum,(Aust.) Underw.,Pacific Fuzzwort,Plantae,Marchantiophyta,NA,NA,Jungermanniopsida,Jungermanniidae,NA,Ptilidiales,NA,NA,NA,Ptilidiaceae,NA,NA,Ptilidium,californicum,NA,NA,NA,accepted,129002,Ptilidium californicum,Ptilidium californicum,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Ptilidium californicum,NA,S5,Apr 2023,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ptilidium californicum,Ptilidium californicum,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Dicranum pallidisetum,(Bail. in Holz.) Irel.,NA,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Dicranales,NA,NA,NA,Dicranaceae,NA,NA,Dicranum,pallidisetum,NA,NA,NA,accepted,161867,Dicranum pallidisetum,Dicranum pallidisetum,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Dicranum pallidisetum,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Dicranum pallidisetum,Dicranum pallidisetum,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Racomitrium aquaticum,(Brid. ex Schrad.) rbid.,Narrow-leaved Fringe-moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Grimmiales,NA,NA,NA,Grimmiaceae,NA,NA,Racomitrium,aquaticum,NA,NA,NA,accepted,167676,Racomitrium aquaticum,Racomitrium aquaticum,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Racomitrium aquaticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Sphagnum tenellum,(Brid.) Bory,Delicate Peatmoss,Plantae,Bryophyta,NA,NA,Sphagnopsida,NA,NA,Sphagnales,NA,NA,NA,Sphagnaceae,NA,NA,Sphagnum,tenellum,NA,NA,NA,accepted,132798,Sphagnum tenellum,Sphagnum tenellum,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Sphagnum tenellum,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Sphagnum tenellum,Sphagnum tenellum,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Dicranodontium denudatum,(Brid.) Britt.,Denuded Dicranodontium Moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Dicranales,NA,NA,NA,Leucobryaceae,NA,NA,Dicranodontium,denudatum,NA,NA,NA,accepted,161845,Dicranodontium denudatum,Dicranodontium denudatum,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Dicranodontium denudatum,NA,S4,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Dicranodontium denudatum,Dicranodontium denudatum,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Platydictya jungermannioides,(Brid.) H.A. Crum.,Spruce's Leskea,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,NA,Plagiotheciaceae,NA,NA,Platydictya,jungermannioides,NA,NA,NA,accepted,167038,Platydictya jungermannioides,Platydictya jungermannioides,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Platydictya jungermannioides,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Platydictya jungermannioides,Platydictya jungermannioides,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Nyholmiella obtusifolia,(Brid.) Holmen & Warncke,Blunt-leaved Bristle Moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Orthotrichales,NA,NA,NA,Orthotrichaceae,NA,NA,Nyholmiella,obtusifolia,NA,NA,NA,accepted,1123489,Nyholmiella obtusifolia,Nyholmiella obtusifolia,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Nyholmiella obtusifolia,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Nyholmiella obtusifolia,Nyholmiella obtusifolia,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Herzogiella seligeri,(Brid.) Iwats.,Silesian Feather-moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,NA,Plagiotheciaceae,NA,NA,Herzogiella,seligeri,NA,NA,NA,accepted,163696,Herzogiella seligeri,Herzogiella seligeri,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Herzogiella seligeri,NA,S3S4,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Herzogiella seligeri,Herzogiella seligeri,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Plagiothecium cavifolium,(Brid.) Iwats.,Round Silk-moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,NA,Plagiotheciaceae,NA,NA,Plagiothecium,cavifolium,NA,NA,NA,accepted,166992,Plagiothecium cavifolium,Plagiothecium cavifolium,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Plagiothecium cavifolium,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Plagiothecium cavifolium,Plagiothecium cavifolium,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Pseudotaxiphyllum elegans,(Brid.) Iwats.,Elegant Silk-moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,NA,Plagiotheciaceae,NA,NA,Pseudotaxiphyllum,elegans,NA,NA,NA,accepted,67917,Pseudotaxiphyllum elegans,Pseudotaxiphyllum elegans,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Pseudotaxiphyllum elegans,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pseudotaxiphyllum elegans,Pseudotaxiphyllum elegans,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Pogonatum contortum,(Brid.) Lesq.,contorted pogonatum moss,Plantae,Bryophyta,NA,NA,Polytrichopsida,NA,NA,Polytrichales,NA,NA,NA,Polytrichaceae,NA,NA,Pogonatum,contortum,NA,NA,NA,accepted,127042,Pogonatum contortum,Pogonatum contortum,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Pogonatum contortum,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pogonatum contortum,Pogonatum contortum,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Pleurozium schreberi,(Brid.) Mitt.,Red-stemmed Feather Moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,NA,Hylocomiaceae,NA,NA,Pleurozium,schreberi,NA,NA,NA,accepted,130677,Pleurozium schreberi,Pleurozium schreberi,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Pleurozium schreberi,red-stemmed feathermoss,S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Pleurozium schreberi,Pleurozium schreberi,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Schistidium rivulare,(Brid.) Podp.,Streamside Schistidium Moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Grimmiales,NA,NA,NA,Grimmiaceae,NA,NA,Schistidium,rivulare,NA,NA,NA,accepted,168584,Schistidium rivulare,Schistidium rivulare,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Schistidium rivulare,NA,S4S5,Apr 2024,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Schistidium rivulare,Schistidium rivulare,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
Sciuro-hypnum starkei,(Brid.) Schimp.,Starke's Ragged Moss,Plantae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,NA,Brachytheciaceae,NA,NA,Sciuro-hypnum,starkei,NA,NA,NA,accepted,1016061,Sciuro-hypnum starkei,Sciuro-hypnum starkei,NA,NA,Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv,SRC_NONVASC_PLANTS,NA,Sciuro-hypnum starkei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NON-VASCULAR PLANTS,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA,NON-VASCULAR PLANTS,NA
