scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup,report_detail
Abortiporus biennis,(Bull.) Singer,Blushing Rosette,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,NA,NA,Polyporales,NA,NA,NA,Podoscyphaceae,NA,NA,Abortiporus,biennis,NA,NA,NA,accepted,118041,Abortiporus biennis,Abortiporus biennis,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Abortiporus biennis,NA,SU,Mar 2021,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Abortiporus biennis,Abortiporus biennis,MACROFUNGI,MACROFUNGI,NA
Agaricus augustus,Fr.,The Prince,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Agaricineae,NA,NA,Agaricaceae,NA,Agariceae,Agaricus,augustus,NA,NA,NA,accepted,49547,Agaricus augustus,Agaricus augustus,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Agaricus augustus,NA,S5,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agaricus augustus,Agaricus augustus,MACROFUNGI,MACROFUNGI,NA
Agaricus hondensis,Murrill,Felt-ringed Agaricus,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Agaricineae,NA,NA,Agaricaceae,NA,Agariceae,Agaricus,hondensis,NA,NA,NA,accepted,118386,Agaricus hondensis,Agaricus hondensis,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Agaricus hondensis,NA,S5,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agaricus hondensis,Agaricus hondensis,MACROFUNGI,MACROFUNGI,NA
Agrocybe acericola,(Peck) Singer,NA,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Agaricineae,NA,NA,Hymenogastraceae,NA,NA,Agrocybe,acericola,NA,NA,NA,accepted,381183,Agrocybe acericola,Agrocybe acericola,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Agrocybe acericola,NA,SU,Mar 2021,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrocybe acericola,Agrocybe acericola,MACROFUNGI,MACROFUNGI,NA
Agrocybe pediades,(Fr.),Common Fieldcap,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Agaricineae,NA,NA,Hymenogastraceae,NA,NA,Agrocybe,pediades,NA,NA,NA,accepted,118393,Agrocybe pediades,Agrocybe pediades,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Agrocybe pediades,NA,SU,Mar 2021,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrocybe pediades,Agrocybe pediades,MACROFUNGI,MACROFUNGI,NA
Agrocybe praecox,(Pers.) Fayod,Spring Fieldcap,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Agaricineae,NA,NA,Hymenogastraceae,NA,NA,Agrocybe,praecox,NA,NA,NA,accepted,118391,Agrocybe praecox,Agrocybe praecox,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Agrocybe praecox,NA,S4,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrocybe praecox,Agrocybe praecox,MACROFUNGI,MACROFUNGI,NA
Aleuria aurantia,(Pers.) Fuckel,orange peel fungus,Fungi,Ascomycota,Pezizomycotina,NA,Pezizomycetes,NA,NA,Pezizales,NA,NA,NA,Pyronemataceae,NA,NA,Aleuria,aurantia,NA,NA,NA,accepted,48716,Aleuria aurantia,Aleuria aurantia,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Aleuria aurantia,NA,S3S4,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aleuria aurantia,Aleuria aurantia,MACROFUNGI,MACROFUNGI,NA
Aleurodiscus penicillatus,Burt,NA,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,NA,NA,Russulales,NA,NA,NA,Stereaceae,NA,NA,Aleurodiscus,penicillatus,NA,NA,NA,accepted,712203,Aleurodiscus penicillatus,Aleurodiscus penicillatus,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Aleurodiscus penicillatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACROFUNGI,MACROFUNGI,NA
Alloclavaria purpurea,(O.F. Müll.) Dentinger & D.J. McLaughlin,Purple Spindles,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,NA,NA,Hymenochaetales,NA,NA,NA,Rickenellaceae,NA,NA,Alloclavaria,purpurea,NA,NA,NA,accepted,154987,Alloclavaria purpurea,Alloclavaria purpurea,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Alloclavaria purpurea,NA,S3S4,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alloclavaria purpurea,Alloclavaria purpurea,MACROFUNGI,MACROFUNGI,NA
Alpova diplophloeus,(Zeller & C.W. Dodge) Trappe & A.H. Sm.,NA,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Boletales,Boletineae,NA,NA,Paxillaceae,NA,NA,Alpova,diplophloeus,NA,NA,NA,accepted,500138,Alpova diplophloeus,Alpova diplophloeus,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Alpova diplophloeus,NA,S3S5,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alpova diplophloeus,Alpova diplophloeus,MACROFUNGI,MACROFUNGI,NA
Amanita aprica,J. Lindgr. & Tulloss,Sunshine Amanita,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Pluteineae,NA,NA,Amanitaceae,NA,Amaniteae,Amanita,aprica,NA,NA,NA,accepted,496850,Amanita aprica,Amanita aprica,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Amanita aprica,NA,S5,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Amanita aprica,Amanita aprica,MACROFUNGI,MACROFUNGI,NA
Amanita augusta,Bojantchev & R.M. Davis,Western Yellow-veiled Amanita,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Pluteineae,NA,NA,Amanitaceae,NA,Amaniteae,Amanita,augusta,NA,NA,NA,accepted,348830,Amanita augusta,Amanita augusta,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Amanita augusta,NA,S2S3,Mar 2021,Blue,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Amanita augusta,Amanita augusta,MACROFUNGI,MACROFUNGI,NA
Amanita constricta,Thiers & Ammirati,Constricted Grisette,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Pluteineae,NA,NA,Amanitaceae,NA,Amaniteae,Amanita,constricta,NA,NA,NA,accepted,67355,Amanita constricta,Amanita constricta,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Amanita constricta,NA,S5,Mar 2021,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Amanita constricta,Amanita constricta,MACROFUNGI,MACROFUNGI,NA
Amanita junquillea,Quél.,jewelled amanita,Fungi,Basidiomycota,Agaricomycotina,NA,Agaricomycetes,Agaricomycetidae,NA,Agaricales,Pluteineae,NA,NA,Amanitaceae,NA,Amaniteae,Amanita,junquillea,NA,NA,NA,accepted,350046,Amanita junquillea,Amanita junquillea,NA,NA,Howe_Sound_fungi_reviewed.csv,SRC_MACROFUNGI,NA,Amanita junquillea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACROFUNGI,MACROFUNGI,NA
