"report_group","has_flag_column","n_all","n_unlisted_removed","n_unlisted","n_incorrect_locality_removed","check_all_equals_sum"
"AMPHIBIANS",TRUE,18,18,0,0,TRUE
"BIRDS",TRUE,337,335,1,1,TRUE
"LICHENS",TRUE,313,312,0,1,TRUE
"MACROFUNGI",TRUE,515,515,0,0,TRUE
"MARINE ALGAE",TRUE,111,111,0,0,TRUE
"MARINE ANIMALS",TRUE,809,807,1,1,TRUE
"NON-VASCULAR PLANTS",TRUE,521,486,33,2,TRUE
"REPTILES",TRUE,18,15,3,0,TRUE
"SLIME MOLDS",TRUE,18,18,0,0,TRUE
"TERRESTRIAL INVERTS",TRUE,1508,1507,1,0,TRUE
"TERRESTRIAL MAMMALS",TRUE,95,91,4,0,TRUE
"UNASSIGNED",TRUE,3,3,0,0,TRUE
"VASCULAR PLANTS",TRUE,1286,1191,91,4,TRUE
