"report_supergroup","report_group","report_detail","n"
"TERRESTRIAL WILDLIFE","BIRDS",NA,1
"MARINE LIFE","MARINE ANIMALS","MARINE ANIMALS",1
"NON-VASCULAR PLANTS","NON-VASCULAR PLANTS",NA,33
"TERRESTRIAL WILDLIFE","REPTILES",NA,3
"TERRESTRIAL WILDLIFE","TERRESTRIAL INVERTS",NA,1
"TERRESTRIAL WILDLIFE","TERRESTRIAL MAMMALS",NA,4
"VASCULAR PLANTS","VASCULAR PLANTS",NA,91
