"report_supergroup","report_group","report_detail","n"
"TERRESTRIAL WILDLIFE","AMPHIBIANS",NA,18
"TERRESTRIAL WILDLIFE","BIRDS",NA,337
"LICHENS","LICHENS",NA,313
"MACROFUNGI","MACROFUNGI",NA,515
"MARINE LIFE","MARINE ALGAE","MARINE ALGAE (UNSPLIT)",111
"MARINE LIFE","MARINE ANIMALS","MARINE ANIMALS",809
"NON-VASCULAR PLANTS","NON-VASCULAR PLANTS",NA,521
"TERRESTRIAL WILDLIFE","REPTILES",NA,18
"SLIME MOLDS","SLIME MOLDS",NA,18
"TERRESTRIAL WILDLIFE","TERRESTRIAL INVERTS",NA,1508
"TERRESTRIAL WILDLIFE","TERRESTRIAL MAMMALS",NA,95
"UNASSIGNED","UNASSIGNED",NA,3
"VASCULAR PLANTS","VASCULAR PLANTS",NA,1286
