"Taxon","ID","Curator.Decision","Curator.Notes"
"Accipitriformes","71261","DELETE","higher"
"Accipitrinae","1541538","DELETE","higher"
"Alcidae","71295","DELETE","higher"
"Anatidae","6912","DELETE","higher"
"Anseriformes","6888","DELETE","higher"
"Aves","3","DELETE","higher"
"Bucephala","6989","DELETE","genus"
"Corvus","7998","DELETE","genus"
"Empidonax","16597","DELETE","genus"
"Falco","4638","DELETE","genus"
"Fringillidae","9079","DELETE","higher"
"Galliformes","573","DELETE","higher"
"Gavia","4620","DELETE","genus"
"Haemorhous","199910","DELETE","genus"
"Hirundinidae","11853","DELETE","higher"
"Junco","10093","DELETE","genus"
"Laridae","4342","DELETE","higher"
"Larinae","447155","DELETE","higher"
"Larus","4343","DELETE","genus"
"Passerellidae","559248","DELETE","higher"
"Passeriformes","7251","DELETE","higher"
"Phalacrocoracidae","4262","DELETE","higher"
"Phasianidae","574","DELETE","higher"
"Picidae","17599","DELETE","higher"
"Picini","1653312","DELETE","higher"
"Scolopacidae","3835","DELETE","higher"
"Selasphorus","6358","DELETE","genus"
"Sphyrapicus","18459","DELETE","genus"
"Strix","19885","DELETE","genus"
"Suliformes","71268","DELETE","higher"
"Trochilidae","5562","DELETE","higher"
"Turdidae","15977","DELETE","higher"
"Tyrannidae","980017","DELETE","higher"
"Urile","1289334","DELETE","genus"
