"Taxon","Curator.Decision","Curator.Notes"
"Ardea herodias","SYNONYM","Syn. Ardea herodias fannini"
"Cathartes aura aura","SYNONYM","Syn. Cathartes aura aura"
"Colaptes auratus cafer","SYNONYM","Syn. Colaptes auratus cafer"
"Corvus brachyrhynchos","SYNONYM","Syn. Corvus brachyrhynchos caurinus"
"Corvus corax","SYNONYM","Syn. Corvus corax principalis"
"Haliaeetus leucocephalus","SYNONYM","Syn. Haliaeetus leucocephalus washingtoniensis"
"Larus glaucescens × occidentalis","SYNONYM","Syn. Larus glaucescens"
"Larus glaucoides","SYNONYM","Syn. Larus glaucoides thayeri"
"Leiothlypis celata lutescens","SYNONYM","Syn. Leiothlypis celata"
"Leuconotopicus villosus harrisi","SYNONYM","Syn. Leuconotopicus villosus"
"Pavo cristatus","DELETE","non-established"
"Setophaga coronata","DELETE","unresolved infrataxon"
