Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Canis familiaris,"Linnaeus, 1758",,domestic dog,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,familiaris,,,,exotic,unlisted,,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2016-04-02,Andrew Simon,iNat:2975427,,47144,MAM
Capra hircus,"Linnaeus, 1758",,domestic goat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Capra,hircus,,,,exotic,unlisted,,confirmed,observed,1958-05-02,V. Geist,UBC,M007306,,2017-06-01,Andrew Simon,iNat:6464455,,123070,MAM
Castor canadensis,"Kuhl, 1820",,beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,native,S5 (2015),,new 2014,observed,,,,,,2014-05-19,Andrew Simon,iNat:730608,,43794,MAM
Cervus canadensis roosevelti,"(Erxleben, 1777)","Merriam, 1897",Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,roosevelti,,native,S3S4 (2017),,new 2019,observed,,,,,,2019-06-14,Nancy Mcphee,iNat:32141514,,566550,MAM
Corynorhinus townsendii,,,Townsend’s big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,,,,native,S3S4,,new 2017,observed,,,,,,2017-08-31,Michael Keefer,iNat:7726134,,74205,MAM
Eptesicus fuscus,,,big brown myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,,,,native,S5,,new 2018,observed,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,2018-08-14,Andrew Simon,iNat:15845274,,40509,MAM
Equus caballus,,,horse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Perissodactyla,,,Equidae,,,Equus,caballus,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-05-06,Andrew Simon,iNat:3116825,,209233,MAM
Felis catus,"Linnaeus, 1758",,domestic cat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Felis,catus,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-04-27,Kathleen Buckley,iNat:5142224,,118552,MAM
Homo sapiens,,,human,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,Hominoidea,Hominidae,Homininae,,Homo,sapiens,,,,native,unlisted,,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2016-05-16,Kris Krüg,iNat:3434639,,43584,MAM
Lasionycteris noctivagans,,,silver-haired bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,,,,native,S4S5,,new 2018,observed,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,2021-05-10,Dave “Zeuss” Cochrane,iNat:78308044,,40629,MAM
Lasiurus cinereus,,,hoary bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,,,,native,S4S5 (2015),,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40523,MAM
Microtus pennsylvanicus,,,meadow vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,pennsylvanicus,,,,native,S5 (2015),,new 2020,observed,,,,,,2020-11-19,guym,iNat:65221933,,44311,MAM
Microtus townsendii,,,Townsend's vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,,,,native,S5? (2015),,new 2017,observed,,,,,,2017-03-23,Kate Emmings,iNat:5437804,,44298,MAM
Myotis californicus,,,California myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,,,,native,S4S5,,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40342,MAM
Myotis ciliolabrum,,,western small-footed myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,ciliolabrum,,,,native,S2S3 (2015),,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,68093,MAM
Myotis evotis,,,long-eared myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,,,,native,S5?,,new 2018,observed,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,2020-07-25,Jakob Fahr,iNat:54345065,,40354,MAM
Myotis lucifugus,,,little brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,,,,native,S4,1-E (SARA),new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40346,MAM
Myotis yumanensis,,,yuma myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,yumanensis,,,,native,S5,,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40325,MAM
Odocoileus hemionus columbianus,"Rafinesque, 1817","(Richardson, 1829)",Columbian black-tailed deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,Odocoileus,hemionus,,columbianus,,native,S5 (2015),,confirmed,observed,2012-05-12,,VMS,,,2009-07-26,Cameron Deckert,iNat:19139362,,42221,MAM
Ondatra zibethicus,,,muskrat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatrini,Ondatra,zibethicus,,,,native,S5 (2015),,new 2021,observed,,,,,,2021-09-05,sackum,iNat:93711983,,45763,MAM
Ovis aries,"Linnaeus, 1758",,domestic sheep,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Ovis,aries,,,,exotic,unlisted,,new 2015,observed,,,,,,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565720,,121578,MAM
Peromyscus sonoriensis,,,deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,sonoriensis,,,,native,S5 (2015),,reported,unobserved,1977-05-20,P. Thompson,UBC,M010851,,,,,"reported as Peromyscus maniculatus, an eastern species",1431239,MAM
Procyon lotor,"(Linnaeus, 1758)",,common racoon,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Procyonidae,,,Procyon,lotor,,,,native,S5 (2015),,new 2016,observed,,,,,,2016-04-17,Kris Krüg,iNat:3456645,,41663,MAM
Rattus rattus,,,black rat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,Rattus,rattus,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-10-15,Emma Davis,iNat:17981433,,44575,MAM
Sciurus carolinensis,,,eastern grey squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,carolinensis,,,,exotic,unlisted,,new 2020,observed,,,,,,2020-02-20,Andrew Loveridge,iNat:38951947,,46017,MAM
Sorex vagrans vagrans,"Rafinesque, 1817",,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,vagrans,,,,native,S5 (2015),,confirmed,observed,1982-07-13,I.F. Greenbaum et al.,CMN,45718,,2018-04-28,Christian Adler,iNat:11631234,,345876,MAM
Tadarida brasiliensis,,,Brasilian free-tailed bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Molossidae,Molossinae,,Tadarida,brasiliensis,,,,accidental,unlisted,,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,41301,MAM
