Taxon,Referred iNaturalist Name,Referred iNaturalist Id,Indexed iNaturalist Name,ID,Corrected.ID,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Abies grandis,Abies grandis,63690,Abies grandis,63690,63690,(Douglas ex D. Don) Lindl.,,grand fir,Plantae,Tracheophyta,,,Pinopsida,Pinidae,,Pinales,,,Pinaceae,,,Abies,grandis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-06-15,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/2586528,,63690,VAS,accepted,63690,Abies grandis,Abies grandis
Acer glabrum var. douglasii,Acer glabrum douglasii,181694,Acer glabrum douglasii,181694,181694,Torr.,(Hook.) Dippel,Douglas maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Acer,glabrum,,,douglasii,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-10,Adam Huggins,http://www.inaturalist.org/observations/3852586,,181694,VAS,accepted,181694,Acer glabrum douglasii,Acer glabrum douglasii
Acer macrophyllum,Acer macrophyllum,48227,Acer macrophyllum,48227,48227,Pursh,,bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Acer,macrophyllum,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566633,,48227,VAS,accepted,48227,Acer macrophyllum,Acer macrophyllum
Achillea millefolium complex,Achillea millefolium,1105043,Achillea millefolium,52821,1105043,,,yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Achillea,millefolium,,,,unlisted,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-19,Andrew Simon,http://www.inaturalist.org/observations/3493815,"nominate subspecies not yet observed on project; varieties historically recognized on Galiano Island include: A.m. borealis (239064), A.m. californica (239065), & A.m. lanulosa (239065); according to provincial authorities, our native yarrows are now lumped into A. borealis following Ramsey et al. (2008); A. millefolium is recognized as an exotic species in the BC Flora; David Giblin, gives this account for why A.millefolium is adopted in FPNW2: ""One of the problems that I have with the Achillea situation is that it takes us down the path of assigning different names to similar looking plants of different ploidy levels.That is not a functional system for field botanists because there are often no clear morphological markers among populations with different ploidy levels.This issue also applies to Campanula rotundifolia, another widespread species with everything from diploid to beyond octoploid populations.Perhaps had Justin provided a key to distinguish A. millefolium from A. borealis he would have had better success advancing his argument.I think that it is highly unlikely that no A. millefolium plants of Eurasian origin have been introduced into western North America.Without a key, it is safest to call everything A. millefolium.""",52821,VAS,accepted,1105043,Achillea millefolium,Achillea millefolium
Achlys triphylla,Achlys triphylla,75263,Achlys triphylla,75263,75263,DC.,,vanilla-leaf,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Berberidaceae,,,Achlys,triphylla,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-04-10,Felix Erhard,http://www.inaturalist.org/observations/2583396,,75263,VAS,accepted,75263,Achlys triphylla,Achlys triphylla
Acmispon americanus var. americanus,Acmispon americanus americanus,57053,Acmispon americanus,57049,57053,(Nutt.) Rydb.,,Spanish-clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,americanus,,,,native,S4,,reported,unobserved,1975-08-04,Angela Wood,RBCM,V097714,1949546719,,,,,57049,VAS,accepted,57053,Acmispon americanus americanus,Acmispon americanus
Acmispon denticulatus,Acmispon denticulatus,60194,Acmispon denticulatus,60194,60194,(Drew) Greene,,meadow birds-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,denticulatus,,,,native,S4S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,60194,VAS,accepted,60194,Acmispon denticulatus,Acmispon denticulatus
Acmispon parviflorus,Acmispon parviflorus,57048,Acmispon parviflorus,57048,57048,(Benth.) D.D. Sokoloff,,small-flowered birds-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,parviflorus,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617636,Reported as Lotus micranthus,57048,VAS,accepted,57048,Acmispon parviflorus,Acmispon parviflorus
Actaea rubra,Actaea rubra,49870,Actaea rubra,49870,49870,(Aiton) Willd.,,baneberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Actaea,rubra,,,,native,S5,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113804,,,,,"E. P. Morgan collected 1935 (see Addendum to Henry’s Flora); creek north side of Georgeson Bay Road; Active Pass Drive neighbourhood (confirmed by Harvey, date unknown);",49870,VAS,accepted,49870,Actaea rubra,Actaea rubra
Adenocaulon bicolor,Adenocaulon bicolor,56854,Adenocaulon bicolor,56854,56854,Hook.,,pathfinder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Mutisioideae,,Adenocaulon,bicolor,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3319316,,56854,VAS,accepted,56854,Adenocaulon bicolor,Adenocaulon bicolor
