year,n_edges,n_nodes,frame_file
1800,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1800.png
1810,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1810.png
1820,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1820.png
1830,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1830.png
1840,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1840.png
1850,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1850.png
1860,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1860.png
1870,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1870.png
1880,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1880.png
1890,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1890.png
1900,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1900.png
1910,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1910.png
1920,0,0,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1920.png
1930,1,2,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1930.png
1940,1,2,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1940.png
1950,1,2,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1950.png
1960,2,4,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1960.png
1970,8,11,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1970.png
1980,94,99,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1980.png
1990,246,258,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_1990.png
2000,302,317,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2000.png
2010,311,324,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2010.png
2011,311,324,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2011.png
2012,315,328,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2012.png
2013,316,329,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2013.png
2014,324,331,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2014.png
2015,341,345,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2015.png
2016,405,390,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2016.png
2017,511,472,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2017.png
2018,612,544,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2018.png
2019,720,645,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2019.png
2020,732,656,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2020.png
2021,765,683,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2021.png
2022,822,734,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2022.png
2023,934,851,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2023.png
2024,963,881,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2024.png
2025,975,894,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2025.png
2026,975,894,outputs/terrestrial_arthropods/network_animation/frames/terrestrial_arthropods_network_2026.png
