from,to,person_name,person_class,edge_class,weight,entry_year
C.-K. Chan,Amphorophora parviflori,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Aphis hederae,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Aphis holodisci,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Aulacorthum pterinigrum,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Aulacorthum solani,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Ericaphis fimbriata,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Ericaphis wakibae,C.-K. Chan,historical,reported,1,2006
C.-K. Chan,Hyadaphis foeniculi,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Illinoia crystleae,C.-K. Chan,historical,reported,1,2000
C.-K. Chan,Illinoia maxima,C.-K. Chan,historical,reported,1,2000
Chris G. Ratzlaff,Eumenes crucifera,Chris G. Ratzlaff,historical,confirmed,1,2019
Geoffrey G.E. Scudder,Abia americana,Geoffrey G.E. Scudder,historical,reported,1,1977
Geoffrey G.E. Scudder,Acantholomidea porosa,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Acantholyda maculiventris,Geoffrey G.E. Scudder,historical,reported,1,1974
Geoffrey G.E. Scudder,Acilius abbreviatus,Geoffrey G.E. Scudder,historical,reported,1,1987
Geoffrey G.E. Scudder,Aedes aloponotum,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Aedes campestris,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Aedes caspius dorsalis,Geoffrey G.E. Scudder,historical,reported,1,1990
Geoffrey G.E. Scudder,Aedes fitchii,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Aedes sierrensis,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Aedes togoi,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Aeshna umbrosa,Geoffrey G.E. Scudder,historical,confirmed,1,1975
Geoffrey G.E. Scudder,Agabus anthracinus,Geoffrey G.E. Scudder,historical,reported,1,1984
Geoffrey G.E. Scudder,Agonum limbatum,Geoffrey G.E. Scudder,historical,reported,1,1985
Geoffrey G.E. Scudder,Agulla assimilis,Geoffrey G.E. Scudder,historical,confirmed,1,1989
Geoffrey G.E. Scudder,Agulla herbsti,Geoffrey G.E. Scudder,historical,reported,1,1974
Geoffrey G.E. Scudder,Alydus calcaratus,Geoffrey G.E. Scudder,historical,confirmed,1,1970
Geoffrey G.E. Scudder,Alydus eurinus,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Amblysellus grex,Geoffrey G.E. Scudder,historical,reported,1,1986
Geoffrey G.E. Scudder,Anacaena lutescens,Geoffrey G.E. Scudder,historical,reported,1,1972
Geoffrey G.E. Scudder,Andrena angustella,Geoffrey G.E. Scudder,historical,reported,1,1984
Geoffrey G.E. Scudder,Andrena chlorura,Geoffrey G.E. Scudder,historical,reported,1,1982
Geoffrey G.E. Scudder,Andrena frigida,Geoffrey G.E. Scudder,historical,confirmed,1,1981
Geoffrey G.E. Scudder,Andrena prunorum,Geoffrey G.E. Scudder,historical,confirmed,1,1981
Geoffrey G.E. Scudder,Anisepyris occidentalis,Geoffrey G.E. Scudder,historical,reported,1,1986
Geoffrey G.E. Scudder,Anoscopus albiger,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Anthaxia retifer,Geoffrey G.E. Scudder,historical,confirmed,1,1978
Geoffrey G.E. Scudder,Anthocoris antevolens,Geoffrey G.E. Scudder,historical,reported,1,1982
Geoffrey G.E. Scudder,Anyphaena aperta,Geoffrey G.E. Scudder,historical,confirmed,1,1983
Geoffrey G.E. Scudder,Aporus luxus,Geoffrey G.E. Scudder,historical,confirmed,1,1974
Geoffrey G.E. Scudder,Aradus fuscomaculatus,Geoffrey G.E. Scudder,historical,reported,1,1971
Geoffrey G.E. Scudder,Aradus heidemanni,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Asciodema obsoleta,Geoffrey G.E. Scudder,historical,reported,1,1989
Geoffrey G.E. Scudder,Asemum striatum,Geoffrey G.E. Scudder,historical,reported,1,1983
Geoffrey G.E. Scudder,Atomaria subdentata,Geoffrey G.E. Scudder,historical,reported,1,1974
Geoffrey G.E. Scudder,Atractotomus cooperi,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Banasa dimidiata,Geoffrey G.E. Scudder,historical,confirmed,1,1977
Geoffrey G.E. Scudder,Banasa sordida,Geoffrey G.E. Scudder,historical,confirmed,1,1993
Geoffrey G.E. Scudder,Barce fraterna,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Bareogonalos canadensis,Geoffrey G.E. Scudder,historical,confirmed,1,1988
Geoffrey G.E. Scudder,Bembidion connivens,Geoffrey G.E. Scudder,historical,reported,1,1979
Geoffrey G.E. Scudder,Bembidion versicolor,Geoffrey G.E. Scudder,historical,reported,1,1982
Geoffrey G.E. Scudder,Bembix americana,Geoffrey G.E. Scudder,historical,confirmed,1,1986
Geoffrey G.E. Scudder,Bethylus decipiens,Geoffrey G.E. Scudder,historical,reported,1,1984
Geoffrey G.E. Scudder,Billaea sp.,Geoffrey G.E. Scudder,historical,reported,1,1979
Geoffrey G.E. Scudder,Blepharidopterus angulatus,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Blepharidopterus provancheri,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Blera nigra,Geoffrey G.E. Scudder,historical,reported,1,1979
Geoffrey G.E. Scudder,Bombus fervidus,Geoffrey G.E. Scudder,historical,reported,1,1985
Geoffrey G.E. Scudder,Bombus flavifrons,Geoffrey G.E. Scudder,historical,confirmed,1,1970
Geoffrey G.E. Scudder,Bombus insularis,Geoffrey G.E. Scudder,historical,reported,1,1975
Geoffrey G.E. Scudder,Bombus melanopygus,Geoffrey G.E. Scudder,historical,confirmed,1,1978
Geoffrey G.E. Scudder,Bombus mixtus,Geoffrey G.E. Scudder,historical,confirmed,1,1973
Geoffrey G.E. Scudder,Bombus occidentalis,Geoffrey G.E. Scudder,historical,reported,1,1974
Geoffrey G.E. Scudder,Bombus suckleyi,Geoffrey G.E. Scudder,historical,reported,1,1975
Geoffrey G.E. Scudder,Bombus vancouverensis vancouverensis,Geoffrey G.E. Scudder,historical,confirmed,1,1987
Geoffrey G.E. Scudder,Buprestis langii,Geoffrey G.E. Scudder,historical,reported,1,1976
Geoffrey G.E. Scudder,Callicorixa vulnerata,Geoffrey G.E. Scudder,historical,reported,1,1972
Geoffrey G.E. Scudder,Calliphora terraenovae,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Calliphora vomitoria,Geoffrey G.E. Scudder,historical,confirmed,1,1986
Geoffrey G.E. Scudder,Callobius severus,Geoffrey G.E. Scudder,historical,confirmed,1,1984
Geoffrey G.E. Scudder,Camponotus vicinus,Geoffrey G.E. Scudder,historical,confirmed,1,1973
Geoffrey G.E. Scudder,Campyloneura virgula,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Centrodera spurca,Geoffrey G.E. Scudder,historical,confirmed,1,1986
Geoffrey G.E. Scudder,Ceraleptus pacificus,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Ceratagallia californica,Geoffrey G.E. Scudder,historical,reported,1,1989
Geoffrey G.E. Scudder,Ceratocapsus apicatus,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Ceratocapsus cunealis,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Ceratocapsus denticulatus,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Ceruchus striatus,Geoffrey G.E. Scudder,historical,reported,1,1983
Geoffrey G.E. Scudder,Chlorochroa ligata,Geoffrey G.E. Scudder,historical,confirmed,1,1975
Geoffrey G.E. Scudder,Chlorochroa rossiana,Geoffrey G.E. Scudder,historical,confirmed,1,1970
Geoffrey G.E. Scudder,Chrysis nitidula,Geoffrey G.E. Scudder,historical,confirmed,1,1986
Geoffrey G.E. Scudder,Chrysopa nigricornis,Geoffrey G.E. Scudder,historical,reported,1,1987
Geoffrey G.E. Scudder,Chrysopa oculata,Geoffrey G.E. Scudder,historical,confirmed,1,1989
Geoffrey G.E. Scudder,Chrysoperla carnea complex,Geoffrey G.E. Scudder,historical,confirmed,1,1987
Geoffrey G.E. Scudder,Chrysops proclivis,Geoffrey G.E. Scudder,historical,reported,1,1979
Geoffrey G.E. Scudder,Clinidium calcaratum,Geoffrey G.E. Scudder,historical,confirmed,1,1976
Geoffrey G.E. Scudder,Clytus planifrons,Geoffrey G.E. Scudder,historical,reported,1,1984
Geoffrey G.E. Scudder,Coccinella trifasciata,Geoffrey G.E. Scudder,historical,reported,1,1990
Geoffrey G.E. Scudder,Colladonus arctostaphyli,Geoffrey G.E. Scudder,historical,reported,1,1980
Geoffrey G.E. Scudder,Colladonus montanus reductus,Geoffrey G.E. Scudder,historical,reported,1,1990
Geoffrey G.E. Scudder,Colymbetes densus,Geoffrey G.E. Scudder,historical,reported,1,NA
Geoffrey G.E. Scudder,Compsidolon salicellum,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Conocephalus fasciatus,Geoffrey G.E. Scudder,historical,confirmed,1,1986
Geoffrey G.E. Scudder,Corimelaena pulicaria,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Coriomeris insularis,Geoffrey G.E. Scudder,historical,reported,1,1970
Geoffrey G.E. Scudder,Corisella inscripta,Geoffrey G.E. Scudder,historical,reported,1,1982
Geoffrey G.E. Scudder,Cosmopepla intergressa,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Criorhina nigripes,Geoffrey G.E. Scudder,historical,reported,1,1986
Geoffrey G.E. Scudder,Culex tarsalis,Geoffrey G.E. Scudder,historical,reported,1,1971
Geoffrey G.E. Scudder,Culiseta incidens,Geoffrey G.E. Scudder,historical,reported,1,1983
Geoffrey G.E. Scudder,Cybaeus morosus,Geoffrey G.E. Scudder,historical,reported,1,1991
Geoffrey G.E. Scudder,Cymus luridus,Geoffrey G.E. Scudder,historical,reported,1,1974
Geoffrey G.E. Scudder,Delphacodes lutulentella,Geoffrey G.E. Scudder,historical,reported,1,1989
Geoffrey G.E. Scudder,Deltocephalus fuscinervosus,Geoffrey G.E. Scudder,historical,reported,1,1986
Geoffrey G.E. Scudder,Deltocephalus vanduzei,Geoffrey G.E. Scudder,historical,reported,1,1986
Geoffrey G.E. Scudder,Deltocephalus vanfus,Geoffrey G.E. Scudder,historical,reported,1,1990
Geoffrey G.E. Scudder,Dendroctonus pseudotsugae,Geoffrey G.E. Scudder,historical,reported,1,1971
Geoffrey G.E. Scudder,Deraeocoris brevis,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Deraeocoris incertus,Geoffrey G.E. Scudder,historical,reported,1,1973
Geoffrey G.E. Scudder,Deraeocoris rubroclarus,Geoffrey G.E. Scudder,historical,reported,1,2019
Geoffrey G.E. Scudder,Desmopachria convexa,Geoffrey G.E. Scudder,historical,reported,1,1984
Geoffrey G.E. Scudder,Dicentrus bluthneri,Geoffrey G.E. Scudder,historical,confirmed,1,1971
Geoffrey G.E. Scudder,Dicyphus discrepans,Geoffrey G.E. Scudder,historical,confirmed,1,2019
Geoffrey G.E. Scudder,Dikraneura absenta,Geoffrey G.E. Scudder,historical,reported,1,1989
Geoffrey G.E. Scudder,Dikraneura rufula,Geoffrey G.E. Scudder,historical,reported,1,1990
Geoffrey G.E. Scudder,Dinomus laetus,Geoffrey G.E. Scudder,historical,confirmed,1,1977
Geoffrey G.E. Scudder,Dolerus nauticus,Geoffrey G.E. Scudder,historical,reported,1,1976
Geoffrey G.E. Scudder,Dolichovespula arenaria,Geoffrey G.E. Scudder,historical,confirmed,1,1987
Geoffrey G.E. Scudder,Dolichovespula maculata,Geoffrey G.E. Scudder,historical,confirmed,1,1990
Geoffrey G.E. Scudder,Dolichovespula norvegicoides,Geoffrey G.E. Scudder,historical,confirmed,1,1975
Geoffrey G.E. Scudder,Elaphropus parvulus,Geoffrey G.E. Scudder,historical,reported,1,1981
Geoffrey G.E. Scudder,Elasmostethus cruciatus,Geoffrey G.E. Scudder,historical,confirmed,1,1983
Geoffrey G.E. Scudder,Elasmucha lateralis,Geoffrey G.E. Scudder,historical,confirmed,1,1990
Geoffrey G.E. Scudder,Emblethis vicarius,Geoffrey G.E. Scudder,historical,reported,1,2019
