name,node_class,taxon_status,taxon_year,color,size,label
C.-K. Chan,historical,NA,NA,#CC79A7,2.036734693877551,C.-K. Chan
Chris G. Ratzlaff,historical,NA,NA,#CC79A7,2,Chris G. Ratzlaff
Geoffrey G.E. Scudder,historical,NA,NA,#CC79A7,3,Geoffrey G.E. Scudder
Gerald Straley,historical,NA,NA,#CC79A7,2.0040816326530613,Gerald Straley
Gord Hutchings,historical,NA,NA,#CC79A7,2.061224489795918,Gord Hutchings
J. Scudder,historical,NA,NA,#CC79A7,2.020408163265306,J. Scudder
Joel Gibson,historical,NA,NA,#CC79A7,2.0081632653061225,Joel Gibson
Jon Shepard,historical,NA,NA,#CC79A7,2.0285714285714285,Jon Shepard
Jon Shepard & Sigrid Shepard,historical,NA,NA,#CC79A7,2.061224489795918,Jon Shepard & Sigrid Shepard
N.C. Scudder,historical,NA,NA,#CC79A7,2.0285714285714285,N.C. Scudder
RA Cannings,historical,NA,NA,#CC79A7,2.0040816326530613,RA Cannings
RBCM BC Spider Database,historical,NA,NA,#CC79A7,2.016326530612245,RBCM BC Spider Database
Richard Cannings,historical,NA,NA,#CC79A7,2,Richard Cannings
Rob Cannings,historical,NA,NA,#CC79A7,2.0040816326530613,Rob Cannings
Robb Bennett,historical,NA,NA,#CC79A7,2.016326530612245,Robb Bennett
Robert Cannings,historical,NA,NA,#CC79A7,2,Robert Cannings
Syd G. Cannings,historical,NA,NA,#CC79A7,2.057142857142857,Syd G. Cannings
Sydney G. Cannings,historical,NA,NA,#CC79A7,2.020408163265306,Sydney G. Cannings
unknown,historical,NA,NA,#CC79A7,2,unknown
Adam Huggins,contemporary,NA,NA,#E69F00,2.016326530612245,Adam Huggins
Aislyn King,contemporary,NA,NA,#E69F00,2,Aislyn King
Alexander J. Wright,contemporary,NA,NA,#E69F00,2,Alexander J. Wright
"Alison, Laura and Malcolm Colwell",contemporary,NA,NA,#E69F00,2,"Alison, Laura and Malcolm Colwell"
"Alison, Laura, and Malcolm Colwell",contemporary,NA,NA,#E69F00,2,"Alison, Laura, and Malcolm Colwell"
Andrew Simon,contemporary,NA,NA,#E69F00,2.6,Andrew Simon
Andrew Simon & Kevin Toomer,contemporary,NA,NA,#E69F00,2.0040816326530613,Andrew Simon & Kevin Toomer
Andy Taggart Smith,contemporary,NA,NA,#E69F00,2,Andy Taggart Smith
Austin Baines & Andrew Simon,contemporary,NA,NA,#E69F00,2,Austin Baines & Andrew Simon
"Austin Baines, Rhys Hutton, and Andrew Simon",contemporary,NA,NA,#E69F00,2,"Austin Baines, Rhys Hutton, and Andrew Simon"
Ayla Malcolm,contemporary,NA,NA,#E69F00,2.0040816326530613,Ayla Malcolm
Cameron Deckert,contemporary,NA,NA,#E69F00,2.0081632653061225,Cameron Deckert
Carolyn Jungsuh Rhee,contemporary,NA,NA,#E69F00,2,Carolyn Jungsuh Rhee
Charlene Wood,contemporary,NA,NA,#E69F00,2.0326530612244897,Charlene Wood
