Taxon,TaxonID
Carex kelloggii,290553
Castilleja parviflora,117498
Circaea alpina,76342
Kalmia microphylla,67810
Luzula comosa,57111
Penstemon procerus,78414
Petasites frigidus,55780
Platanthera dilatata,78623
Prunella vulgaris,52764
Pyrola asarifolia,78793
Sagina maxima,78922
Saxifraga bronchialis,128874
Sorbus sitchensis,48583
Tiarella trifoliata,51643
Ceanothus velutinus,64043
