"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"harvestmen (Opiliones)","Dendrolasma mirabile","","SU (2024)","Unknown","",""
"harvestmen (Opiliones)","Leptobunus parvulus","","S4S5 (2024)","Yellow","",""
"harvestmen (Opiliones)","Nelima paessleri","Aggregating Harvestman","S5? (2024)","Yellow","",""
"harvestmen (Opiliones)","Paroligolophus agrestis","","SNA (2024)","Exotic","",""
"harvestmen (Opiliones)","Phalangium opilio","European Harvestman","SNA (2024)","Exotic","",""
"harvestmen (Opiliones)","Rilaena triangularis","Spring Harvestman","SNA (2024)","Exotic","",""
"mesostigmatid mites (Mesostigmata)","Poecilochirus sp.","Carrion Beetle Mites","","","",""
"oribatid and astigmatid mites (Sarcoptiformes)","Aceria genistae","Broom Gall Mite","","","",""
"oribatid and astigmatid mites (Sarcoptiformes)","Eriophyes emarginatae","Plum Finger Gall Mite","","","",""
"oribatid and astigmatid mites (Sarcoptiformes)","Eriophyes laevis","Alder Leaf Gall Mite","","","",""
"oribatid and astigmatid mites (Sarcoptiformes)","Eriophyes sorbi","Rowan blister mite","","","",""
"prostigmatid mites (Trombidiformes)","Neomolgus littoralis","","","","",""
"prostigmatid mites (Trombidiformes)","Trombidium sp.","","","","",""
"spiders (Araneae)","Aculepeira packardi","Northern Orbweaver","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Alopecosa kochi","Koch's Wolf Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Antrodiaetus pacificus","Pacific Foldingdoor Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Araneus diadematus","Cross Orbweaver","SNA","Exotic","",""
"spiders (Araneae)","Araneus nordmanni","Nordmann's Orbweaver","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Araneus saevus","Fierce Orbweaver","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Araniella displicata","Six-spotted Orbweaver","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Bassaniana utahensis","Utah Crab Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Callobius severus","West Coast Laceweaver","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Castianeira sp.","Ant-mimic Sac Spiders","","","",""
"spiders (Araneae)","Cheiracanthium mildei","Northern Yellow Sac Spider","SNA","Exotic","",""
"spiders (Araneae)","Coreorgonal monoceros","","S4 (2018)","Not Reviewed","",""
"spiders (Araneae)","Cyclosa conica","Conical Trashline Orbweaver","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Dysdera crocata","Woodlouse Spider","SNA","Exotic","",""
"spiders (Araneae)","Enoplognatha ovata","Common candy-striped spider","SNA","Exotic","",""
"spiders (Araneae)","Eratigena agrestis","Hobo Spider","SNA","Exotic","",""
"spiders (Araneae)","Eratigena duellica","Giant House Spider","","","",""
