"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Charina bottae","Rubber Boa","S4 (2025)","Yellow","Special Concern (2016)","S1: Special Concern (2005)"
"Coluber constrictor","North American Racer","S2S3 (2018)","Blue","Threatened (2015)","S1: Threatened (2023)"
"Contia tenuis","Common Sharp-tailed Snake","S1S2 (2018)","Red","Endangered / Threatened (2021)","S1: Endangered (2003)"
"Crotalus oreganus","Western Rattlesnake","S2S3 (2018)","Blue","Threatened (2015)","S1: Threatened (2005)"
"Elgaria coerulea","Northern Alligator Lizard","S5 (2025)","Yellow","",""
"Plestiodon skiltonianus","Western Skink","S3S4 (2025)","Blue","Special Concern (2014)","S1: Special Concern (2005)"
"Podarcis muralis","Common Wall Lizard","SNA (2025)","Exotic","",""
"Thamnophis elegans vagrans","Terrestrial Gartersnake","S5 (2025)","Yellow","",""
"Thamnophis ordinoides","Northwestern Gartersnake","S5 (2025)","Yellow","",""
"Thamnophis sirtalis fitchi","Valley Garter Snake","S5 (2025)","Yellow","",""
"Thamnophis sirtalis pickeringii","Puget Sound garter snake","S5 (2025)","Yellow","",""
"Actinemys marmorata","Northwestern Pond Turtle","SX (2025)","Red","Extirpated (2023)","S1: Extirpated (2005)"
"Chrysemys picta","Painted Turtle","S3 (2018)","No Status","Threatened / Special Concern (2016)",""
"Lepidochelys olivacea","Olive Ridley Sea Turtle","SNA (2025)","Accidental","",""
"Trachemys scripta","Pond Slider","SNA (2025)","Exotic","",""
