"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Agaricus augustus","Fr.","The Prince","S5 (2021)","Yellow","",""
"Agaricus hondensis","Murrill","Felt-ringed Agaricus","S5 (2021)","Yellow","",""
"Chlorophyllum brunneum","(Farl. & Burt) Vellinga","Shaggy Parasol","SU (2021)","Unknown","",""
"Chlorophyllum olivieri","(Barla) Vellinga","Olive Shaggy Parasol","SU (2021)","Unknown","",""
"Chlorophyllum rhacodes","(Vittad.) Vellinga","Shaggy Parasol","SU (2021)","Unknown","",""
"Lepiota atrodisca","Zeller","Dark Dapperling","S3S4 (2021)","Yellow","",""
"Leucocoprinus brebissonii","(Godey) Locq.","Skullcap Dapperling","SU (2021)","Unknown","",""
"Leucocoprinus leucothites","(Vittad.) Wasser","White Dapperling","S4 (2021)","Yellow","",""
"Neoalbatrellus caeruleoporus","(Peck) Audet","blue polypore","SU (2025)","Unknown","",""
"Polyporoletus sublividus","Snell","","","","",""
"Scutiger ellisii","(Berk.) Bondartsev & Singer","Greening Goatsfoot","S2S3 (2021)","Blue","",""
"Amanita aprica","J. Lindgr. & Tulloss","Sunshine Amanita","S5 (2021)","Yellow","",""
"Amanita augusta","Bojantchev & R.M. Davis","Western Yellow-veiled Amanita","S2S3 (2021)","Blue","",""
"Amanita constricta","Thiers & Ammirati","Constricted Grisette","S5 (2021)","Yellow","",""
"Amanita junquillea","Quél.","jewelled amanita","","","",""
"Amanita muscaria","(L.) Pers.","Fly Agaric","S5 (2021)","Yellow","",""
"Amanita muscaria flavivolvata","Singer","American Fly Agaric","","","",""
"Amanita pachycolea","D.E. Stuntz","Western Grisette","S5 (2021)","Yellow","",""
"Amanita pantherina","(DC.) Krombholz","Panthercap","S5 (2021)","Yellow","",""
"Amanita pantherinoides","(Murrill) Murrill","Western Panther","SU (2021)","Unknown","",""
"Amanita phalloides","(Vaill ex Fr.) Link","Deathcap","SNA (2021)","Exotic","",""
"Amanita porphyria","Alb. & Schwein : Fr.","Grey-veiled Amanita","S3S4 (2021)","Yellow","",""
"Amanita silvicola","A.H. Sm.","Western Woodland Lepidella","S3S4 (2021)","Yellow","",""
"Amanita smithiana","Bas","Smith's Amanita","S2S4 (2021)","Blue","",""
"Zhuliangomyces illinitus","(Berk.) Redhead","Dripping Slimecap","S4 (2021)","Yellow","",""
"Plicatura crispa","(Pers.) D. A. Reid","crimped gill","S4 (2021)","Yellow","",""
"Plicatura nivea","(Sommerf.) P. Karst.","Snow-White Crust","S4 (2021)","Yellow","",""
"Amylostereum chailletii","(Pers.) Boidin","powdered duster","SU (2021)","Unknown","",""
"Anthracoidea caricis","(Pers.) Bref.","","","","",""
"Orbilia sp.","","","","","",""
"Lasiobolus ciliatus","(Schmidt) Sacc.","","SU (2025)","Unknown","",""
"Elmerina caryae","(Schwein.) D.A. Reid","","S3S4 (2021)","Yellow","",""
"Exidia candida","Lloyd","","SU (2021)","Unknown","",""
"Exidia recisa","(Ditmar) Fr.","amber jelly fungus","SU (2021)","Unknown","",""
"Exidiopsis effusa","Bref.","Hair Ice","","","",""
"Auriscalpium vulgare","Gray","Earpick Fungus","S3S4 (2021)","Yellow","",""
"Phellodon melaleucus","(Sw.) P. Karst.","Grey Tooth","S3 (2021)","Blue","",""
"Phellodon tomentosus","(L.) Banker","Woolly Tooth","S3 (2021)","Blue","",""
"Bertia moriformis","(Tode) De Not.","Wood Mulberry","","","",""
"Bolbitius reticulatus","(Pers.) Ricken","Netted Fieldcap","SU (2021)","Unknown","",""
"Bolbitius titubans","(Bull.) Fr.","yellow fieldcap","S4S5 (2021)","Yellow","",""
"Pholiotina rugosa","(Peck) Singer","Common Conecap","SU (2021)","Unknown","",""
"Aureoboletus mirabilis","(Murrill) Murrill","admirable bolete","S4S5 (2021)","Yellow","",""
"Boletus edulis","Bull.","King Bolete","S3S4 (2021)","Yellow","",""
"Boletus smithii","Thiers","Smith's Bolete","S3S4 (2021)","Yellow","",""
"Caloboletus conifericola","Vizzini","Dark Bitter Bolete","S2S4 (2021)","Blue","",""
"Chalciporus piperatus","(Bull.) Bataille","Peppery Bolete","S5 (2021)","Yellow","",""
"Gastroboletus ruber","(Zeller) Cázares & Trappe","","SU (2021)","Unknown","",""
"Leccinum manzanitae","Thiers","Manzanita bolete","S4 (2021)","Yellow","",""
"Phylloporus rhodoxanthus","(Schwein.) Bres.","Golden Gilled Bolete","S4 (2021)","Yellow","",""
"Porphyrellus porphyrosporus","(Fr.) E.-J. Gilbert","Dusky Bolete","S3 (2021)","Blue","",""
"Tylopilus pseudoscaber","(Secr.) Singer","","SU (2021)","Unknown","",""
"Xerocomellus atropurpureus","J.L. Frank, N. Siegel & C.F. Schwarz","Deep purple bolete","SU (2025)","Unknown","",""
"Xerocomellus zelleri","(Murrill) Klofac","Zeller's bolete","S5 (2021)","Yellow","",""
"Hydnellum aurantiacum","(Batsch) P. Karst","Orange Rough-cap Tooth","S4 (2021)","Yellow","",""
"Hydnellum caeruleum","(Hornem.) P. Karst.","Blue Tooth","S3S4 (2021)","Yellow","",""
"Hydnellum fuscoindicum","K.A. Harrison","Violet Hedgehog","S3S4 (2021)","Yellow","",""
"Hydnellum peckii","Banker","Red-juice Tooth","S4 (2021)","Yellow","",""
"Hydnellum regium","Maas Geest.","Regal Black Tooth","SU (2021)","Unknown","",""
"Sarcodon imbricatus","(L.) P. Karst","shingled hedgehog","S3S4 (2021)","Yellow","",""
"Bondarzewia occidentalis","(A.H. Sm.) Pouzar","","S2S4 (2021)","Blue","",""
"Callistosporium luteo-olivaceum","(Berk. & M.A. Curtis) Singer","Olive Lute","S3S4 (2021)","Yellow","",""
"Caloscypha fulgens","(Pers.) Boud.","Spring Orange Peel Fungus","S3S4 (2021)","Yellow","",""
"Marasmiellus candidus","(Bolton) Singer","Fairy Parachutes","S4 (2021)","Yellow","",""
"Cerrena unicolor","(Bull.) Murrill","Mossy Maze Polypore","S3S4 (2021)","Yellow","",""
"Humicola alopallonella","Subram.","","","","",""
"Stilbum vulgare","Tode","","","","",""
"Chlorociboria aeruginosa","(Oeder) Seaver ex C.S. Ramamurthi, Korf & L.R. Batra","Turquoise Elfcup","S3 (2021)","Blue","",""
"Clavaria fragilis","Holmsk.","Fairy Fingers","SU (2021)","Unknown","",""
"Clavicorona taxophila","(Thom) Doty","yew club","S3S4 (2021)","Yellow","",""
"Clavulinopsis laeticolor","(Berk. & M.A. Curtis) R.H. Petersen","Handsome Club","S4? (2021)","Yellow","",""
"Mucronella fusiformis","(Stalpers) Stalpers","","S3S4 (2021)","Yellow","",""
"Mucronella pendula","(Massee) R.H. Petersen","icicle spine","SU (2021)","Unknown","",""
"Ramariopsis kunzei","(Fr.) Corner","white coral fungus","SU (2021)","Unknown","",""
"Collybia cirrhata","(Schumach.) Quél.","Piggyback Shanklet","S3S4 (2021)","Yellow","",""
"Collybia nuda","(Bull.) Z.M. He & Zhu L. Yang","Blewit","S4S5 (2021)","Yellow","",""
"Collybia phyllophila","(Pers.) Z.M. He & Zhu L. Yang","Frosty Funnel","S3S4 (2021)","Yellow","",""
"Dendrocollybia racemosa","(Pers.) R.H. Petersen & Redhead","branched shanklet","S3S4 (2021)","Yellow","",""
"Colacogloea peniophorae","(Bourdot & Galzin) Oberw. & Bandoni","","S2S4 (2021)","Blue","",""
"Cronartium coleosporioides","J.C. Arthur","Stalactiform Blister Rust","","","",""
"Cronartium harknessii","(J.P.Moore) Y.Hiratsuka","Western Gall Rust","","","",""
"Cronartium ribicola","J.C. Fisch","white pine blister rust","","","",""
"Rossmanomyces pyrolae","(G.W. Martin) T. Lumbsch & D. Hawksw.","wintergreen rust","","","",""
"Coltricia perennis","(L.) Murrill","Brown Funnel Polypore","SU (2021)","Unknown","",""
"Coniophora arida","(Fr.) P. Karst.","dry duster","SU (2021)","Unknown","",""
"Coniophora puteana","(Schum. ex Fr.) P. Karst.","wet rot","SU (2021)","Unknown","",""
"Coprinus comatus","(O. F. Müller) Pers.","Shaggy Mane","S4S5 (2021)","Yellow","",""
"Cordyceps militaris","(L.) Fr.","Scarlet Caterpillar Club","S3S4 (2021)","Yellow","",""
"Cortinarius acutus","(Pers.) Fr.","peaked webcap","S5 (2021)","Yellow","",""
"Cortinarius alboviolaceus","(Pers.) Zawadzki","Silvery-violet Cort","S5 (2021)","Yellow","",""
"Cortinarius caperatus","(Pers.) Fr.","Wrinkled Cortinarius","SU (2021)","Unknown","",""
"Cortinarius cinnamomeus","(L.) Fr.","cinnamon webcap","SU (2021)","Unknown","",""
"Cortinarius clandestinus","Kauffman","","S3S5 (2021)","Yellow","",""
"Cortinarius croceus","(Schaeff.) Gray","saffron webcap","S3S4 (2021)","Yellow","",""
"Cortinarius pinguis","A.H. Sm.","","S3S4 (2021)","Yellow","",""
"Cortinarius praestigiosus","A.H. Sm.","","SU (2021)","Unknown","",""
"Cortinarius rubellus","Cooke","deadly webcap","S2S4 (2021)","Blue","",""
"Cortinarius seidliae","Ammirati, Niskanen & Liimat.","","S3S5 (2021)","Yellow","",""
"Cortinarius semisanguineus","(Fr.) Gillet","Surprise Webcap","S3S5 (2021)","Yellow","",""
"Cortinarius smithii","Ammirati, Niskanen & Liimat.","","SU (2021)","Unknown","",""
"Cortinarius traganus","(Fr.) Fr.","gassy webcap","S4 (2021)","Yellow","",""
"Cortinarius vanduzerensis","A.H. Sm. & Trappe","","SU (2021)","Unknown","",""
"Cortinarius violaceus","(L.) Gray","violet webcap","S3S4 (2021)","Yellow","",""
"Phlegmacium pansa","(Fr.) Wünsche & Tamm","","","","",""
"Thaxterogaster causticus","(Fr.) Singer","","SU (2021)","Unknown","",""
"Thaxterogaster vibratilis","(Fr.) Fr.","","S3S4 (2021)","Yellow","",""
