"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Scheuchzeria palustris","L.","rannoch-rush","S5 (2019)","Yellow","",""
"Hypericum anagalloides","Cham. & Schltdl.","Bog St. John's-wort","S5 (2019)","Yellow","",""
"Hypericum androsaemum","L.","Tutsan","SNA (2019)","Exotic","",""
"Hypericum calycinum","L.","Rose-of-sharon","SNA (2019)","Exotic","",""
"Hypericum maculatum ssp. obtusiusculum","(Tourlet) Hayek","Dotted St. John's-wort","SNA (2019)","Exotic","",""
"Hypericum perforatum ssp. perforatum","L.","St. John's wort","SNA (2019)","Exotic","",""
"Hypericum scouleri","Hook.","Scouler's St. John's wort","S5 (2019)","Yellow","",""
"Botrychium lanceolatum","(S.G.Gmel.) Ångstr.","lanceleaf moonwort","S4S5 (2019)","Yellow","",""
"Botrychium neolunaria","Stensvold & Farrar","American moonwort","S5 (2019)","Yellow","",""
"Botrychium simplex var. compositum","E.Hitchc.","least moonwort","S4? (2019)","Yellow","",""
"Botrychium spathulatum","W.H. Wagner","spathulate moonwort","S3S4 (2019)","Yellow","",""
"Botrypus virginianus","(L.) Michx.","rattlesnake fern","S5 (2019)","Yellow","",""
"Sceptridium multifidum","(S.G.Gmel.) Tagawa","leathery grapefern","S5 (2019)","Yellow","",""
"Amaranthus retroflexus","L.","Redroot Amaranth","SNA (2019)","Exotic","",""
"Atriplex patula","L.","Common Orache","SNA (2019)","Exotic","",""
"Atriplex prostrata","Moq.","Creeping Saltbush","SNA (2019)","Exotic","",""
"Chenopodium album ssp. pedunculare","L.","lamb's quarters","SNA (2024)","Exotic","",""
"Dysphania botrys","(L.) Mosyakin & Clemants","Jerusalem oak","SNA (2019)","Exotic","",""
"Oxybasis rubra","(Linnaeus) S. Fuentes, Uotila & Borsch","red pigweed","S4 (2000)","Yellow","",""
"Salicornia depressa","Standl.","Common Glasswort","S5 (2019)","Yellow","",""
"Salicornia pacifica","Standl.","Pacific Glasswort","S5 (2019)","Yellow","",""
"Allium amplectens","Torr.","narrowleaf onion","S3 (2019)","Blue","",""
"Allium cernuum","Roth","nodding onion","S5 (2019)","Yellow","",""
"Allium schoenoprasum","L.","Chives","S5 (2019)","Yellow","",""
