"Scientific name","Authority","Common name"
"Alaria marginata","Postels & Ruprecht","winged kelp"
"Costaria costata","(Turner) Saunders","seersucker kelp"
"Dactylosiphon bullosus","(D.A.Saunders) Yamada",""
"Desmarestia ligulata","(Stackhouse) J.V. Lamouroux","flattened acid kelp"
"Desmarestia viridis","(O.F. Müller) J.V. Lamouroux","stringy acid kelp"
"Fucus distichus","L.","Rockweed"
"Heterosigma akashiwo","(Hada) Hada ex Y.Hara & Chihara",""
"Neoagarum fimbriatum","(Harvey) H.Kawai & T.Hanyuda",""
"Nereocystis luetkeana","(K. Mertens) Postels & Ruprecht","Bull Kelp"
"Pylaiella littoralis","(Linnaeus) Kjellman",""
"Saccharina latissima","(Linnaeus) C.E. Lane, C. Mayes, Druehl, et G.W. Saunders","Sugar Kelp"
"Sargassum muticum","(Yendo) Fensholt","Japanese Wireweed"
"Scytosiphon lomentaria","(Lyngbye) J. Agardh","Beanweed"
"Sundstroemia setigera","(Brightwell) Medlin",""
"Acrosiphonia coalita","(Ruprecht) Scagel & al.","green rope"
"Blidingia spp.","",""
"Blidingia subsalsa","(Kjellman) Kornmann & Sahling ex Scagel et al.",""
"Bryopsis sp.","Setchell",""
"Chlamydomonas nivalis","(F.A.Bauer) Wille","watermelon snow"
"Cladophora sp.","Kützing",""
"Codium setchellii","N.L. Gardner","green spongy cushion"
"Prasiola meridionalis","Setchell & N.L.Gardner",""
"Ulva californica","Wille","Californian Sea Lettuce"
"Ulva fenestrata","Postels & Ruprecht",""
"Ulva intestinalis","L.","Gutweed"
"Ulva lactuca","L.","Broadleaf Sea Lettuce"
"Urospora penicilliformis","(Roth) Areschoug",""
"Ahnfeltia fastigiata","(Endlicher) Makienko",""
"Amplisiphonia pacifica","Hollenberg",""
"Antithamnion defectum","Kylin",""
"Bangia spp.","Lyngbye",""
"Besa leptophylla","(J.Agardh) M.S.Calderon & K.A.Miller",""
"Bossiella frondifera","(Manza) P.W.Gabrielson, K.A.Miller, Martone & K.R.Hind",""
"Bossiella spp.","",""
"Botryocladia hawkesii","Filloramo & G.W.Saunders",""
"Botryocladia pseudodichotoma","(Farlow) Kylin","Red Sea Grapes"
"Bryocladia scopulorum","(Harvey) Díaz-Tapia",""
"Bryocladia villum","(J.Agardh) Hollenberg,",""
"Callithamnion acutum","Kylin",""
"Callophyllis flabellulata","Harvey","red sea fan"
"Callophyllis sp.","Kützing",""
"Callophyllis variforma","Filloramo, Selivanova & G.W.Saunders",""
"Ceramothamnion coulteri","Harvey","Delicate Sea Lace"
"Ceramothamnion pacificum","(Collins) Kylin",""
"Chondracanthus exasperatus","(Harvey & Bailey) Hughey in Hughey, R.Dudash & C.K.Kjeldsen","Turkish Towel"
"Clathromorphum sp.","Foslie",""
"Constantinea simplex","Setchell","Cup and Saucer"
"Corallina chilensis","(Decaisne) Kutzing",""
"Cryptonemia borealis","Kylin",""
"Cryptopleura ruprechtiana","(J.Agardh) Kylin","Grape Tongue"
"Cryptopleura sp.","J. Agardh",""
"Cryptosiphonia woodii","(J.Agardh) J.Agardh","Bleached brunette"
"Cumathamnion decipiens","J.Agardh","winged rib"
"Dasya plumosa","Harvey & Bailey",""
"Euthora cristata","(C.Agardh) J.Agardh",""
"Eutrichosiphonia paniculata","Montagne",""
"Farlowia mollis","Harvey & Baillie",""
"Fryeella gardneri","(Setchell) Kylin",""
"Gelidium purpurascens","N.L.Gardner",""
"Gloiocladia fryeana","(Setchell) N.Sánchez & Rodríguez-Prieto",""
"Gloiocladia laciniata","J.Agardh",""
"Gracilaria pacifica","I.A.Abbott",""
"Gracilariopsis andersonii","(Grunow) E.Y.Dawson","red sea spaghetti"
"Grateloupia californica","Kylin",""
"Griffithsia pacifica","Kylin",""
"Halymenia schizymenioides","Hollenberg & I.A.Abbott",""
"Harveyella mirabilis","(Reinsch) Schmitz & Reinke",""
"Herpochondria borealis","Ruprecht","coarse sea lace"
"Heterosiphonia densiuscula","Kylin",""
"Hildenbrandia sp.","Nardo","encrusting red algae"
"Hollenbergia subulata","(Harvey) E.M.Wollaston",""
"Leptosiphonia brodiei","(Dillwyn) Sprengel) English",""
"Lithothamnion sp.","Heydrich","Crustose coralline algae"
"Mastocarpus alaskensis","S.C.Lindstrom, Hughey & Martone",""
"Mastocarpus latissimus","(Harvey) S.C.Lindstrom, Hughey & Martone",""
"Mastocarpus papillatus","(C.Agardh) Kützing","Turkish washcloth"
"Mazzaella minima","(Hollenberg) P.W.Gabrielson",""
"Mazzaella oregona","(Doty) Hughey, P.C.Silva & Hommersand",""
"Mazzaella splendens","(Setchell & N.L.Gardner) Fredericq in Hommersand, Guiry, Fredericq & Leister","splendid iridescent seaweed"
"Membranoptera platyphylla","(Setchell & N.L.Gardner) Kylin",""
"Myriogramme spectabilis","(Eaton) Kylin",""
"Neodilsea borealis","(I.A.Abbott) S.C.Lindstrom",""
"Odonthalia floccosa","(Esper) Falkenberg","sea brush"
"Opuntiella californica","(Farlow) Kylin","Red opuntia"
"Pikea californica","Harvey",""
"Pleonosporium vancouverianum","(J.Agardh) Setchell & N.L.Gardner","alternate skein"
"Polyneura latissima","(Harvey) Kylin","crisscross network"
"Polysiphonia morrowii","Harvey",""
"Polysiphonia stricta","(Mertens ex Dillwyn) Greville",""
"Prionitis sternbergii","(C.Agardh) J.Agardh","Bleach Weed"
"Pterothamnion pectinatum","(Kylin) Athanasiadis & Kraft",""
"Pyropia abbottiae","(V.Krishnamurthy) S.C.Lindstrom",""
"Pyropia fallax","(S.C.Lindstrom & K.M.Cole) S.C.Lindstrom",""
"Pyropia kurogii","(S.C.Lindstrom) S.C.Lindstrom",""
"Pyropia nereocystis","C.Agardh","Bull Kelp Nori"
"Pyropia perforata","(J.Agardh) S.C.Lindstrom",""
"Rhodochorton purpureum","(Lightfoot) Rosenvinge",""
"Rhodymenia californica","Kylin",""
"Sarcodiotheca furcata","(Setchell & N.L.Gardner) Kylin",""
"Sarcodiotheca gaudichaudii","(Montagne) P.W. Gabrielson","succulent seaweed"
"Savoiea robusta","(N.L.Gardner) M.J.Wynne",""
"Scagelia pylaisaei","(Montagne) M.J.Wynne",""
"Schizymenia pacifica","(Kylin) Kylin",""
"Smithora naiadum","(Anderson) Hollenberg","seagrass laver"
"Sparlingia pertusa","(Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft","red eyelet silk"
"Stenogramma interruptum","(C.Agardh) Montagne",""
"Symphyocladiella dendroidea","(Montagne) D.Bustamante, B.Y.Won, S.C.Lindstrom & T.O.Cho",""
"Symphyocladiella rosea","(Savoie & G.W.Saunders) D.Bustamante, B.Y.Won, S.C.Lindstrom & T.O.Cho",""
"Vertebrata hendryi","(N.L.Gardner) Savoie & G.W.Saunders",""
"Weeksia coccinea","(Harvey) S.C.Lindstrom",""
"Wildemania amplissima","(Kjellman) Foslie",""
