"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Acarospora fuscata","(Schrader) Arnold","brown cobblestone lichen","S5 (2020)","Yellow","",""
"Arthonia phaeobaea","(Nyl.) Zahlbr.","","SU (2020)","Unknown","",""
"Arthonia radiata","(Pers.) Ach.","Asterisk Lichen","S5 (2020)","Yellow","",""
"Arthrorhaphis citrinella","(Ach.) Poelt","Golden Dot-Lichen","S5 (2020)","Yellow","",""
"Baeomyces rufus","(Hudson) Rebent.","Brown Beret Lichen","S5 (2018)","Yellow","",""
"Amandinea punctata","(Hoffm.) Coppins & Scheid.","Tiny Button Lichen","S5 (2020)","Yellow","",""
"Buellia erubescens","Arnold","Common Button Lichen","S4S5 (2020)","Yellow","",""
"Buellia griseovirens","(Turner & Borrer ex Sm.) Almb.","","S5 (2020)","Yellow","",""
"Buellia muriformis","(Ach.) Tuck.","","S5 (2020)","Yellow","",""
"Tholurna dissimilis","(Norman) Norman","Arboreal Urn Lichen","S3S4 (2010)","Yellow","",""
"Candelariella sp.","","Goldspeck Lichens","","","",""
"Cladonia albonigra","Brodo & Ahti","Black-footed Pixie Cup","S4 (2019)","Yellow","",""
"Cladonia arbuscula ssp. beringiana","(Wallr.) Hale & Culb.","Bering Reindeer Lichen","S5 (2018)","Yellow","",""
"Cladonia arbuscula ssp. mitis","Sandst.","Green Reindeer Lichen","S5 (2018)","Yellow","",""
"Cladonia asahinae","J.W. Thomson","Western Pixie-cup","S4 (2019)","Yellow","",""
"Cladonia bellidiflora","(Ach.) Schaer.","Toy Soldiers","S5 (2018)","Yellow","",""
"Cladonia borealis","S. Stenroos","Boreal Cup Lichen","S5 (2018)","Yellow","",""
"Cladonia cariosa","(Ach.) Sprengel","Split-peg Lichen","S5 (2018)","Yellow","",""
"Cladonia carneola","(Fr.) .Fr.","Crowned Pixie-cup","S5 (2018)","Yellow","",""
"Cladonia cenotea","(Ach.) Schaer.","Powdered Funnel Lichen","S5 (2018)","Yellow","",""
"Cladonia cervicornis","(Ach.) Flot.","Browned Pixie-cup Lichen","S5 (2019)","Yellow","",""
"Cladonia chlorophaea","(Flörke ex Sommerf.) Sprengel.","Mealy Pixie Cup","S5 (2018)","Yellow","",""
"Cladonia ciliata","Stirt.","least reindeer","S3S4 (2018)","Yellow","",""
"Cladonia coccifera","(L.) Willd.","madame's cup lichen","S4 (2018)","Yellow","",""
"Cladonia coniocraea","(Flörke) Spreng","Common Powderhorn","S5 (2018)","Yellow","",""
"Cladonia cornuta","(L.) Hoffm.","Bighorn Lichen","S5 (2018)","Yellow","",""
"Cladonia crispata var. crispata","(Ach.)Fflot.","Greater Organ-pipe Lichen","S5 (2025)","Yellow","",""
"Cladonia cristatella","Tuck.","British soldier lichen","","","",""
"Cladonia deformis","(l.) Hoffm.","Lesser Sulphur-cup Lichen","S4 (2019)","Yellow","",""
"Cladonia ecmocyna","(Robbins) Ahti","frosted cup lichen","","","",""
"Cladonia fimbriata","(L.) Fr.","Trumpet Lichen","S5 (2018)","Yellow","",""
"Cladonia furcata","(Tuck.) Brodo & D. Hawksw.","many-forked cladonia","S5 (2018)","Yellow","",""
"Cladonia gracilis","(L.) Willd.","Smooth Horn Lichen","","","",""
"Cladonia gracilis ssp. turbinata","(L.) Willd. (Ach.) Ahti","bronzed pixie","S5 (2018)","Yellow","",""
"Cladonia macilenta","Hoffm.","Lipstick Powderhorn","S4 (2019)","Yellow","",""
"Cladonia macilenta var. bacillaris","(Ach.) Schaer.","Brown Pin Lichen","S4 (2019)","Yellow","",""
"Cladonia macrophyllodes","Nyl.","Large-leaved Cladonia","S5 (2019)","Yellow","",""
"Cladonia merochlorophaea","Asahina, J.","Gritty Pixie-cup Lichen","S4 (2019)","Yellow","",""
"Cladonia multiformis","G. Merr.","Sieve Lichen","S5 (2018)","Yellow","",""
"Cladonia nitens","Ahti","","","","",""
"Cladonia norvegica","Tønsberg & Holien","baby littlehorn pixie","S4S5 (2018)","Yellow","",""
"Cladonia ochrochlora","Flörke","Smooth-footed Powderhorn","S5 (2018)","Yellow","",""
"Cladonia phyllophora","Ehrh. ex Hoffm","Felt Horn Lichen","S5 (2018)","Yellow","",""
"Cladonia pleurota","(Flörke) Schaer.","Red-fruited Pixie Cup","S5 (2018)","Yellow","",""
"Cladonia polydactyla","(Flörke) Spreng.","","","","",""
"Cladonia portentosa ssp. pacifica","(Dufour) Coem.","Maritime Reindeer Lichen","S5 (2018)","Yellow","",""
"Cladonia prolifica","Ahti & S. Hammer.","phantom pixie-cup","S3S4 (2018)","Yellow","",""
"Cladonia pyxidata","(l.) hoffm.","Pebbled Pixie Cup","S5 (2018)","Yellow","",""
"Cladonia rangiferina","(L.) Nyl.","gray reindeer lichen","S5 (2018)","Yellow","",""
"Cladonia rei","Schaer.","Wand Lichen","S3S4 (2019)","Yellow","",""
"Cladonia scabriuscula","(Delise) Nyl.","Mealy Forked Cladonia","S5 (2018)","Yellow","",""
"Cladonia squamosa","Hoffm.","Dragon Horn","S5 (2018)","Yellow","",""
"Cladonia stricta","(nyl.) nyl.","Lesser Pied Pixie Lichen","S5 (2018)","Yellow","",""
