"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Anaxyrus boreas","Western Toad","S4 (2022)","Yellow","Special Concern (2012)","S1: Special Concern (2018)"
"Ascaphus truei","Coastal Tailed Frog","S4 (2022)","Yellow","Special Concern (2011)","S1: Special Concern (2003)"
"Lithobates catesbeianus","American Bullfrog","SNA (2021)","Exotic","",""
"Lithobates clamitans","Green Frog","SNA (2021)","Exotic","",""
"Lithobates pipiens","Northern Leopard Frog","S1 (2021)","Red","Endangered (2021)","S1: Endangered (2003)"
"Lithobates sylvaticus","Wood Frog","S5 (2023)","Yellow","",""
"Pseudacris maculata","Boreal Chorus Frog","S5? (2023)","Yellow","",""
"Pseudacris regilla","Pacific Treefrog","S5 (2023)","Yellow","",""
"Rana aurora","Northern Red-legged Frog","S3 (2022)","Blue","Special Concern (2015)","S1: Special Concern (2005)"
"Rana luteiventris","Columbia Spotted Frog","S4S5 (2022)","Yellow","",""
"Rana pretiosa","Oregon Spotted Frog","S1 (2022)","Red","Endangered (2011)","S1: Endangered (2003)"
"Ambystoma gracile","Northwestern Salamander","S4 (2022)","Yellow","",""
"Ambystoma macrodactylum","Long-toed Salamander","S5 (2023)","Yellow","",""
"Aneides vagrans","Wandering Salamander","S3 (2022)","Blue","Special Concern (2014)","S1: Special Concern (2018)"
"Dicamptodon tenebrosus","Coastal Giant Salamander","S2S3 (2022)","Blue","Threatened (2014)","S1: Threatened (2003)"
"Ensatina eschscholtzii","Ensatina","S5 (2023)","Yellow","",""
"Plethodon vehiculum","Western Red-backed Salamander","S4 (2022)","Yellow","",""
"Taricha granulosa","Rough-skinned Newt","S4 (2022)","Yellow","",""
