"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Corynorhinus townsendii","Townsend's Big-eared Bat","S3 (2022)","Blue","",""
"Eptesicus fuscus","Big Brown Bat","S5 (2021)","Yellow","",""
"Euderma maculatum","Spotted Bat","S3S4 (2022)","Blue","Special Concern (2014)","S1: Special Concern (2005)"
"Lasionycteris noctivagans","Silver-haired Bat","S4S5 (2022)","Yellow","Endangered (2023)",""
"Lasiurus cinereus","Hoary Bat","S3S4 (2022)","Blue","Endangered (2023)",""
"Myotis californicus","Californian Myotis","S4S5 (2022)","Yellow","",""
"Myotis keenii","Keen's myotis","S4? (2022)","","",""
"Myotis lucifugus","Little Brown Myotis","S3S4 (2022)","Blue","Endangered (2013)","S1: Endangered (2014)"
"Myotis thysanodes","Fringed Myotis","S2S3 (2022)","Blue","Data Deficient (2004)","S3 (2005)"
"Myotis volans","Long-legged Myotis","S4? (2022)","Yellow","",""
"Myotis yumanensis","Yuma Myotis","S3 (2022)","Blue","",""
"Canis latrans","Coyote","S5 (2024)","Yellow","",""
"Canis lupus","Grey Wolf","S4S5 (2025)","Yellow","",""
"Gulo gulo luscus","Wolverine","S3 (2025)","Blue","Special Concern (2014)","S1: Special Concern (2018)"
"Lynx canadensis","Canada Lynx","S5 (2025)","Yellow","",""
"Lynx rufus","Bobcat","S4 (2025)","Yellow","",""
"Martes caurina","Pacific Marten","S5? (2024)","Yellow","",""
"Mephitis mephitis","Striped Skunk","S5 (2024)","Yellow","",""
"Mustela erminea","Stoat","S5 (2024)","","",""
"Mustela richardsonii","Ermine","S5 (2024)","Yellow","",""
"Neogale frenata","Long-tailed Weasel","S5 (2023)","Yellow","",""
"Neogale frenata altifrontalis","Long-tailed weasel, altifrontalis subspecies","SH (2024)","Red","",""
"Pekania pennanti","Fisher","S2S3 (2025)","No Status","",""
"Procyon lotor","Raccoon","S5 (2025)","Yellow","",""
"Puma concolor","Cougar","S4? (2025)","Yellow","",""
"Spilogale gracilis","Western Spotted Skunk","S2S3 (2023)","Blue","",""
"Ursus americanus","American Black Bear","S5 (2025)","Yellow","",""
"Ursus arctos","Grizzly Bear","S3? (2015)","Blue","Special Concern (2012)","S1: Special Concern (2018)"
"Vulpes vulpes","Red Fox","S5 (2024)","Yellow","",""
"Alces alces","Moose","S5 (2024)","Yellow","",""
"Cervus canadensis canadensis","Elk","S5 (2024)","Yellow","",""
"Cervus canadensis roosevelti","Roosevelt Elk","S3S4 (2017)","Blue","",""
