scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Marsupella condensata,(Ångstr.) Schiffn.,Compact Rustwort,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,,Gymnomitriaceae,,,Marsupella,condensata,,,,accepted,165171,Marsupella condensata,Marsupella condensata,NA,
Calypogeia suecica,(Arnell & J. Perss.) K. Müller,Swedish Pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,,Calypogeiaceae,,,Calypogeia,suecica,,,,accepted,159719,Calypogeia suecica,Calypogeia suecica,NA,
Frullania californica,(Aust. ex Underw.) A. Evans ?,,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Porellales,,,,Frullaniaceae,,,Frullania,californica,,,,accepted,56520,Frullania californica,Frullania californica,NA,
Ptilidium californicum,(Aust.) Underw.,Pacific Fuzzwort,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Ptilidiales,,,,Ptilidiaceae,,,Ptilidium,californicum,,,,accepted,129002,Ptilidium californicum,Ptilidium californicum,NA,
Dicranum pallidisetum,(Bail. in Holz.) Irel.,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,pallidisetum,,,,accepted,161867,Dicranum pallidisetum,Dicranum pallidisetum,NA,
Racomitrium aquaticum,(Brid. ex Schrad.) rbid.,Narrow-leaved Fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Racomitrium,aquaticum,,,,accepted,167676,Racomitrium aquaticum,Racomitrium aquaticum,NA,
Sphagnum tenellum,(Brid.) Bory,Delicate Peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,tenellum,,,,accepted,132798,Sphagnum tenellum,Sphagnum tenellum,NA,
Dicranodontium denudatum,(Brid.) Britt.,Denuded Dicranodontium Moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Leucobryaceae,,,Dicranodontium,denudatum,,,,accepted,161845,Dicranodontium denudatum,Dicranodontium denudatum,NA,
Platydictya jungermannioides,(Brid.) H.A. Crum.,Spruce's Leskea,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Plagiotheciaceae,,,Platydictya,jungermannioides,,,,accepted,167038,Platydictya jungermannioides,Platydictya jungermannioides,NA,
Nyholmiella obtusifolia,(Brid.) Holmen & Warncke,Blunt-leaved Bristle Moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,,Orthotrichaceae,,,Nyholmiella,obtusifolia,,,,accepted,1123489,Nyholmiella obtusifolia,Nyholmiella obtusifolia,NA,
