scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Aphelocoma californica,Vigors,California Scrub-Jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Corvidae,,,Aphelocoma,californica,,,,accepted,506118,Aphelocoma californica,Aphelocoma californica,accidental,
Aquila chrysaetos,L.,Golden Eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Aquilinae,,Aquila,chrysaetos,,,,accepted,5074,Aquila chrysaetos,Aquila chrysaetos,permanent,
Ardea alba,L.,Great Egret,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Ardeinae,,Ardea,alba,,,,accepted,144455,Ardea alba,Ardea alba,accidental,
Ardea herodias fannini,Chapman,Northwest Coast Great Blue Heron,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Ardeinae,,Ardea,herodias,,Ardea herodias fannini,,accepted,236943,Ardea herodias fannini,Ardea herodias fannini,permanent,
Ardenna grisea,,Sooty Shearwater,Animalia,Chordata,Vertebrata,,Aves,,,Procellariiformes,,,,Procellariidae,,,Ardenna,grisea,,,,accepted,502899,Ardenna grisea,Ardenna grisea,passage migrant,
Arenaria interpres,L.,Ruddy Turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Arenaria,interpres,,,,accepted,3938,Arenaria interpres,Arenaria interpres,accidental,
Arenaria melanocephala,Vigors,Black Turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Arenaria,melanocephala,,,,accepted,3941,Arenaria melanocephala,Arenaria melanocephala,winter,
Asio flammeus,Pontoppidan,Short-eared Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Asio,flammeus,,,,accepted,20315,Asio flammeus,Asio flammeus,"breeding?, winter",
Asio otus,L.,Long-eared Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Asio,otus,,,,accepted,20307,Asio otus,Asio otus,"breeding?, winter",
Athene cunicularia,,Burrowing Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Athene,cunicularia,,,,accepted,19975,Athene cunicularia,Athene cunicularia,accidental,
