scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,linkName,linkTaxonID,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Ambystoma gracile,Baird,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,NA,,NA,26747,26747,Ambystoma gracile,,Ambystoma,gracile,,accepted
Ambystoma macrodactylum,Baird,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,NA,,NA,26754,26754,Ambystoma macrodactylum,,Ambystoma,macrodactylum,,accepted
Anaxyrus boreas,Baird & Girard,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,NA,,NA,64970,64970,Anaxyrus boreas,,Anaxyrus,boreas,,accepted
Aneides vagrans,Wake & Jackman,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Plethodontinae,,NA,,NA,248672,27423,Aneides vagrans,,Aneides,vagrans,,accepted
Ascaphus truei,Stejneger,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ascaphidae,,,NA,,NA,24543,24543,Ascaphus truei,,Ascaphus,truei,,accepted
Dicamptodon tenebrosus,Baird & Girard,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,NA,,NA,26822,26822,Dicamptodon tenebrosus,,Dicamptodon,tenebrosus,,accepted
Ensatina eschscholtzii,Gray,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Plethodontinae,,NA,,NA,27250,27250,Ensatina eschscholtzii,,Ensatina,eschscholtzii,,accepted
Lithobates clamitans,Latreille,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,65982,65982,Lithobates clamitans,,Lithobates,clamitans,,accepted
Plethodon vehiculum,Cooper,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Plethodontinae,,NA,,NA,27194,27194,Plethodon vehiculum,,Plethodon,vehiculum,,accepted
Pseudacris maculata,Agassiz,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,,,NA,,NA,24255,24255,Pseudacris maculata,,Pseudacris,maculata,,accepted
Pseudacris regilla,Baird & Girard,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,,,NA,,NA,24259,24259,Pseudacris regilla,,Pseudacris,regilla,,accepted
Rana aurora,Baird & Girard,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,25545,25545,Rana aurora,,Rana,aurora,,accepted
Rana luteiventris,Thompson,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,25588,25588,Rana luteiventris,,Rana,luteiventris,,accepted
Rana pretiosa,Baird & Girard,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,25542,25542,Rana pretiosa,,Rana,pretiosa,,accepted
Taricha granulosa,Skilton,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae,,NA,,NA,27826,27826,Taricha granulosa,,Taricha,granulosa,,accepted
Charina bottae,Blainville,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Boidae,Charinainae,,NA,,NA,243962,243962,Charina bottae,,Charina,bottae,,accepted
Contia tenuis,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Dipsadinae,,NA,,NA,26916,26916,Contia tenuis,,Contia,tenuis,,accepted
Elgaria coerulea,Wiegmann,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Gerrhonotinae,,NA,,NA,32064,32064,Elgaria coerulea,Anguimorpha,Elgaria,coerulea,,accepted
Elgaria coerulea principis,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Gerrhonotinae,,NA,,NA,32065,32065,Elgaria coerulea principis,Anguimorpha,Elgaria,coerulea,Elgaria coerulea principis,accepted
Nerodia sipedon,L.,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,29305,29305,Nerodia sipedon,,Nerodia,sipedon,,accepted
Pituophis catenifer catenifer,Blainville,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,NA,,NA,29044,51440,Pituophis catenifer catenifer,,Pituophis,catenifer,Pituophis catenifer catenifer,accepted
Plestiodon skiltonianus,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Scincinae,,NA,,NA,37769,37769,Plestiodon skiltonianus,Scincomorpha,Plestiodon,skiltonianus,,accepted
Thamnophis elegans,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28398,28398,Thamnophis elegans,,Thamnophis,elegans,,accepted
Thamnophis elegans vagrans,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28403,28403,Thamnophis elegans vagrans,,Thamnophis,elegans,Thamnophis elegans vagrans,accepted
Thamnophis ordinoides,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28389,28389,Thamnophis ordinoides,,Thamnophis,ordinoides,,accepted
Thamnophis sirtalis,Linnaeus,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28362,28362,Thamnophis sirtalis,,Thamnophis,sirtalis,,accepted
Thamnophis sirtalis fitchi,Fox,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28371,28371,Thamnophis sirtalis fitchi,,Thamnophis,sirtalis,Thamnophis sirtalis fitchi,accepted
Thamnophis sirtalis pickeringii,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28363,28363,Thamnophis sirtalis pickeringii,,Thamnophis,sirtalis,Thamnophis sirtalis pickeringii,accepted
Actinemys marmorata,Baird & Girard,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Emydinae,,NA,,NA,73592,73592,Actinemys marmorata,,Actinemys,marmorata,,accepted
Chrysemys picta,NA,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,NA,,NA,39773,39771,Chrysemys picta,,Chrysemys,picta,,accepted
Pseudemys concinna,Le Conte,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,NA,,NA,39830,39830,Pseudemys concinna,,Pseudemys,concinna,,accepted
Trachemys scripta,Thunberg in Schoepff,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,NA,,NA,39782,39782,Trachemys scripta,,Trachemys,scripta,,accepted
Trachemys scripta elegans,Wied-Neuwied,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,NA,,NA,51271,51271,Trachemys scripta elegans,,Trachemys,scripta,Trachemys scripta elegans,accepted
Ascaphus truei,"(Stejneger, 1899)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ascaphidae,,,NA,,NA,24543,24543,Ascaphus truei,,Ascaphus,truei,,accepted
Anaxyrus boreas,"(Baird and Girard, 1852)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,NA,,NA,64970,64970,Anaxyrus boreas,,Anaxyrus,boreas,,accepted
Pseudacris regilla,"(Baird & Girard, 1852)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,,,NA,,NA,24259,24259,Pseudacris regilla,,Pseudacris,regilla,,accepted
Lithobates catesbeianus,"(Shaw, 1802)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,65979,65979,Lithobates catesbeianus,,Lithobates,catesbeianus,,accepted
Lithobates clamitans,"(Latreille, 1801)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,65982,65982,Lithobates clamitans,,Lithobates,clamitans,,accepted
