scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Acarospora fuscata,(Schrader) Arnold,brown cobblestone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Acarosporomycetidae,,Acarosporales,,,,Acarosporaceae,,,Acarospora,fuscata,,,,accepted,182542,Acarospora fuscata,Acarospora fuscata,NA,
Alectoria imshaugii,Brodo & D. Hawksw.,Spiny Witch's Hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Alectoria,imshaugii,,,,accepted,179862,Alectoria imshaugii,Alectoria imshaugii,NA,
Alectoria sarmentosa ssp. sarmentosa,(Ach.) Ach.,Common Witch's Hair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Alectoria,sarmentosa,,sarmentosa,,accepted,126624,Alectoria sarmentosa sarmentosa,Alectoria sarmentosa,NA,
Alectoria vancouverensis,(Gyelnik) Gyelnik ex Brodo & D. Hawksw,Vancouver Witch's Hair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Alectoria,vancouverensis,,,,accepted,205455,Alectoria vancouverensis,Alectoria vancouverensis,NA,
Amandinea punctata,(Hoffm.) Coppins & Scheid.,Tiny Button Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,,Caliciaceae,,,Amandinea,punctata,,,,accepted,155082,Amandinea punctata,Amandinea punctata,NA,
Arctoparmelia centrifuga,(L.) Hale,Concentric Ring Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Arctoparmelia,centrifuga,,,,accepted,175232,Arctoparmelia centrifuga,Arctoparmelia centrifuga,NA,
Arthonia phaeobaea,(Nyl.) Zahlbr.,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,,Arthoniaceae,,,Arthonia,phaeobaea,,,,accepted,205488,Arthonia phaeobaea,Arthonia phaeobaea,NA,
Arthonia radiata,(Pers.) Ach.,Asterisk Lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,,Arthoniaceae,,,Arthonia,radiata,,,,accepted,205492,Arthonia radiata,Arthonia radiata,NA,
Arthrorhaphis citrinella,(Ach.) Poelt,Golden Dot-Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,,,,,Arthrorhaphidaceae,,,Arthrorhaphis,citrinella,,,,accepted,205500,Arthrorhaphis citrinella,Arthrorhaphis citrinella,NA,
Aspicilia cinerea,(L.) Körb.,cinder lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,,Megasporaceae,,,Aspicilia,cinerea,,,,accepted,182439,Aspicilia cinerea,Aspicilia cinerea,NA,
Aspicilia sp.,A. Massal.,Sunken Disk Lichens,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,,Megasporaceae,,,Aspicilia,,,,,accepted,175944,Aspicilia,Aspicilia,NA,
Aspicilia verrucigera,Hue,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,,Megasporaceae,,,Aspicilia,verrucigera,,,,accepted,205524,Aspicilia verrucigera,Aspicilia verrucigera,NA,
Baeomyces rufus,(Hudson) Rebent.,Brown Beret Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Baeomycetales,,,,Baeomycetaceae,,,Baeomyces,rufus,,,,accepted,180422,Baeomyces rufus,Baeomyces rufus,NA,
Blastenia ammiospila,(Wahlenb.) H. Olivier,Cinnamon Firedot Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,,Teloschistaceae,Caloplacoideae,,Blastenia,ammiospila,,,,accepted,508845,Blastenia ammiospila,Blastenia ammiospila,NA,
Bryoria americana,(Motyka) Holien,Elegant Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Bryoria,americana,,,,accepted,532067,Bryoria americana,Bryoria americana,NA,
Bryoria fuscescens,(Gyel.) Brodo & D. Hawksw.,Pale-footed Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Bryoria,fuscescens,,,,accepted,117927,Bryoria fuscescens,Bryoria fuscescens,NA,
Bryoria glabra,(Motyka) Brodo & D. Hawksw.,Shiny Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Bryoria,glabra,,,,accepted,205668,Bryoria glabra,Bryoria glabra,NA,
Bryoria pseudofuscescens,(Gyelnik) Brodo & D. Hawksw.,Mountain Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Bryoria,pseudofuscescens,,,,accepted,205673,Bryoria pseudofuscescens,Bryoria pseudofuscescens,NA,
Bryoria trichodes,(Michx.) Brodo & D. Hawksw.,Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Bryoria,trichodes,,,,accepted,182663,Bryoria trichodes,Bryoria trichodes,NA,
Buellia erubescens,Arnold,Common Button Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,,Caliciaceae,,,Buellia,erubescens,,,,accepted,205689,Buellia erubescens,Buellia erubescens,NA,
Buellia griseovirens,(Turner & Borrer ex Sm.) Almb.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,,Caliciaceae,,,Buellia,griseovirens,,,,accepted,215538,Buellia griseovirens,Buellia griseovirens,NA,
Buellia muriformis,(Ach.) Tuck.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,,Caliciaceae,,,Buellia,muriformis,,,,accepted,215555,Buellia muriformis,Buellia muriformis,NA,
Calicium viride,Pers.,Green Stubble Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,,Caliciaceae,,,Calicium,viride,,,,accepted,207863,Calicium viride,Calicium viride,NA,
