scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
× Elyhordeum stebbinsianum,(Bowden) Barkworth & D.R.Dewey,Stebbins' elyhordeum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,,,,,× Elyhordeum stebbinsianum,invalid,1455785,× Elyhordeum stebbinsianum,× Elyhordeum stebbinsianum,NA,
Abies amabilis,Douglas ex J. Forbes,Pacific silver fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Abietoideae,,Abies,amabilis,,,,accepted,75240,Abies amabilis,Abies amabilis,NA,
Abies grandis,(Douglas ex D. Don) Lindl.,grand fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Abietoideae,,Abies,grandis,,,,accepted,63690,Abies grandis,Abies grandis,NA,
Abies lasiocarpa,(Hooker) Nuttall,subalpine fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Abietoideae,,Abies,lasiocarpa,,,,accepted,75241,Abies lasiocarpa,Abies lasiocarpa,NA,
Acer campestre,L.,field maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,campestre,,,,accepted,56193,Acer campestre,Acer campestre,NA,
Acer circinatum,Pursh,Vine Maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,circinatum,,,,accepted,48258,Acer circinatum,Acer circinatum,NA,
Acer glabrum var. douglasii,Torr.,Douglas maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,glabrum,douglasii,,,accepted,181694,Acer glabrum douglasii,Acer glabrum douglasii,NA,
Acer macrophyllum,Pursh,bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,macrophyllum,,,,accepted,48227,Acer macrophyllum,Acer macrophyllum,NA,
Acer palmatum,Thunberg,Japanese maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,palmatum,,,,accepted,63512,Acer palmatum,Acer palmatum,NA,
Acer platanoides,L.,Norway maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,platanoides,,,,accepted,54763,Acer platanoides,Acer platanoides,NA,
Acer pseudoplatanus,L.,sycamore maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,pseudoplatanus,,,,accepted,119791,Acer pseudoplatanus,Acer pseudoplatanus,NA,
Achillea filipendulina,Lam.,Fern-leaf Yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Achillea,filipendulina,,,,accepted,157924,Achillea filipendulina,Achillea filipendulina,NA,
Achillea millefolium,L.,common yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Achillea,millefolium,,,,accepted,52821,Achillea millefolium,Achillea millefolium,NA,
Achlys triphylla,(Sm.) DC.,vanilla leaf,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Podophylloideae,Achlydeae,Achlys,triphylla,,,,accepted,75263,Achlys triphylla,Achlys triphylla,NA,
Acmispon parviflorus,(Benth.) D.D. Sokoloff,Short-flower Deervetch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Acmispon,parviflorus,,,,accepted,57048,Acmispon parviflorus,Acmispon parviflorus,NA,
Actaea rubra,(Alton) Willd.,red baneberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Actaeeae,Actaea,rubra,,,,accepted,49870,Actaea rubra,Actaea rubra,NA,
Adenocaulon bicolor,Hook.,American trailplant,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Mutisioideae,Mutisieae,Adenocaulon,bicolor,,,,accepted,56854,Adenocaulon bicolor,Adenocaulon bicolor,NA,
