scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,linkName,linkTaxonID,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Microtus longicaudus,Merriam,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44307,44307,Microtus longicaudus,,Microtus,longicaudus,,accepted
Microtus oregoni,Bachman,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44318,44318,Microtus oregoni,,Microtus,oregoni,,accepted
Microtus richardsonii,De Kay,Animalia,Chordata,Vertebrata,NA,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,NA,NA,NA,NA,44323,0,,,,,,unknown
Microtus townsendii,Bachman,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44298,44298,Microtus townsendii,,Microtus,townsendii,,accepted
Myodes gapperi,Vigors,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,NA,,NA,74677,1431274,Clethrionomys gapperi,,Clethrionomys,gapperi,,unaccepted
Myodes gapperi occidentalis,Merriam,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,NA,,NA,237346,1431805,Clethrionomys gapperi occidentalis,,Clethrionomys,gapperi,Clethrionomys gapperi occidentalis,unaccepted
Ondatra zibethicus,L.,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatrini,NA,,NA,45763,45763,Ondatra zibethicus,,Ondatra,zibethicus,,accepted
Peromyscus keeni,Rhoads,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscini,NA,,NA,44387,44387,Peromyscus keeni,,Peromyscus,keeni,,accepted
Peromyscus maniculatus,Wagner,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscini,NA,,NA,44396,44396,Peromyscus maniculatus,,Peromyscus,maniculatus,,accepted
Phenacomys intermedius,Merriam,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Pliophenacomyini,NA,,NA,45714,45714,Phenacomys intermedius,,Phenacomys,intermedius,,accepted
Synaptomys borealis,Richardson,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Lemmini,NA,,NA,45760,1596227,Mictomys borealis,,Mictomys,borealis,,unaccepted
