Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Protopannaria pezizoides,(Weber) P. M J�rg. & S. Ekman,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Pannariaceae,,,Protopannaria,pezizoides,,,,,,,reported,unobserved,1961-06-07,W.B. Schofield,WIS,14479,,,,,,463879,LIC
Pseudephebe pubescens,(L.) Choisy,,finer rockwool,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Pseudephebe,pubescens,,,,native,S5 (2018),,reported,unobserved,1961-07-26,R.C. Brooks; A.C. Archer,WIS,8028,,,,,,229078,LIC
Psoroma hypnorum,(Vahl) Gray,,moss tarts,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Psoroma,hypnorum,,,,native,S5 (2019),,reported,unobserved,1969-07-11,"Ohlsson, Karl E",MSC,576,,,,,,229263,LIC
Psoroma tenue,Henssen,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Pannariaceae,,,Psoroma,tenue,,,,,,,reported,unobserved,2011-10-13,"Curtis R Bjork, Bob Brett",UBC,25210,,,,,,229264,LIC
Punctelia stictica,(Duby) Krog,,blue-shift speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Punctelia,stictica,,,,native,S4 (2018),,reported,unobserved,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,,,,,,,117879,LIC
Ramalina farinacea,(L.) Ach.,,farinose cartilage lichen/hyphenated ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,farinacea,,,,native,S5 (2018),,confirmed,observed,1963-01-06,George Otto,UBC,107 a,,2018-11-10,benkeen,https://www.inaturalist.org/observations/18315455,,54758,LIC
Rhizocarpon geographicum,(L.) DC.,,yellow map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,Rhizocarpaceae,,,Rhizocarpon,geographicum,,,,native,S5 (2020),,confirmed,observed,1969-07-11,"Ohlsson, Karl E",MSC,603,,2018-09-03,rainerotte,https://www.inaturalist.org/observations/16183981,,119888,LIC
Rhizocarpon lecanorinum,Anders,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Rhizocarpales,,,Rhizocarpaceae,,,Rhizocarpon,lecanorinum,,,,,,,reported,unobserved,1962-07-01,"W.B. Schofield, R. Ireland",UBC,18423,,,,,,229961,LIC
Rhizocarpon riparium,R�s�nen,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Rhizocarpales,,,Rhizocarpaceae,,,Rhizocarpon,riparium,,,,,,,reported,unobserved,2009-05-11,W. R. Buck,NY,54795,,,,,,229977,LIC
Rimularia actinostoma,Coppins & Fryday,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Trapeliales,,,Trapeliaceae,,,Rimularia,actinostoma,,,,,,,reported,unobserved,1969-07-17,"Ohlsson, Karl E",MSC,898,,,,,,532211,LIC
Rinodina disjuncta,Sheard & T�nsberg,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Physciaceae,,,Rinodina,disjuncta,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12918,,,,,,230226,LIC
