Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Phylum_std,status_std,historical_year,observed_year,new_year_std,contribution_year,Observer_std,Collector_std,iNat_link,iNat_ID,Historical_metadata,Phylum_label
Styela clava,,,stalked sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,Styela,clava,NA,,NA,,,,new 2024,observed,NA,NA,NA,NA,NA,2024-08-09,"Dave ""Zeuss"" Cochrane",iNat:234869692,,81615,TUN,2024,new,Styela clava,Chordata,new,NA,2024,2024,2024,"Dave ""Zeuss"" Cochrane",NA,https://www.inaturalist.org/observations/234869692,234869692,,Chordates (Chordata)
Styela gibbsii,"Stimpson, 1864",,brown tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,Styela,gibbsii,NA,,NA,native,unlisted,,reported,unobserved,1985-07-29,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,521988,TUN,NA,reported,Styela gibbsii,Chordata,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Evasterias troschelii,"(Stimpson, 1862)",,mottled star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Evasterias,troschelii,NA,,NA,native,unlisted,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2007-07-11,Karolle Wall,iNat:97172663,,84265,ECH,NA,confirmed,Evasterias troschelii,Echinodermata,confirmed,1968,2007,NA,2007,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/97172663,97172663, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Leptasterias hexactis,"(Stimpson, 1862)",,colourful six-armed star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Leptasterias,hexactis,NA,,NA,native,unlisted,,confirmed,observed,1993-08-16,Andy Lamb,PMLS,NA,NA,2023-05-27,alyanalalani,iNat:164179348,,117691,ECH,NA,confirmed,Leptasterias hexactis,Echinodermata,confirmed,1993,2023,NA,2023,alyanalalani,Andy Lamb,https://www.inaturalist.org/observations/164179348,164179348, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Orthasterias koehleri,"(de Loriol, 1897)",,rainbow star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Orthasterias,koehleri,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2013-07-24,Karolle Wall,iNat:3706322,,47669,ECH,NA,confirmed,Orthasterias koehleri,Echinodermata,confirmed,1969,2013,NA,2013,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/3706322,3706322, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Pisaster brevispinus,"(Stimpson, 1857)",,giant pink star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Pisaster,brevispinus,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2006-05-28,Karolle Wall,iNat:97205559,,49539,ECH,NA,confirmed,Pisaster brevispinus,Echinodermata,confirmed,1969,2006,NA,2006,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/97205559,97205559, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Pisaster ochraceus,"(Brandt, 1835)",,ochre star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Pisaster,ochraceus,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2009-07-08,Shera Street,iNat:2635155,,49699,ECH,NA,confirmed,Pisaster ochraceus,Echinodermata,confirmed,1969,2009,NA,2009,Shera Street,Andy Lamb,https://www.inaturalist.org/observations/2635155,2635155, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Pycnopodia helianthoides,"(Brandt, 1835)",,sunflower star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,Pycnopodiinae,,Pycnopodia,helianthoides,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976203,,47673,ECH,NA,confirmed,Pycnopodia helianthoides,Echinodermata,confirmed,1969,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976203,2976203, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Stylasterias forreri,"(de Loriol, 1887)",,velcro star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Stylasterias,forreri,NA,,NA,native,unlisted,,reported,unobserved,1973-09-20,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,255883,ECH,NA,reported,Stylasterias forreri,Echinodermata,reported,1973,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Luidia foliolata,"Grube, 1866",,sand star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,Luidiidae,,,Luidia,foliolata,NA,,NA,native,unlisted,,confirmed,observed,1959-12-11,Dan Quayle,RBCM,977-00454-001,1898300918,2023-07-30,"Dave ""Zeuss"" Cochrane",iNat:175875913,,195859,ECH,NA,confirmed,Luidia foliolata,Echinodermata,confirmed,1959,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Dan Quayle,https://www.inaturalist.org/observations/175875913,175875913," (RBCM, 977-00454-001)","Sea stars, urchins & kin (Echinodermata)"
Henricia aspera aspera,"Fisher, 1906",,ridged blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,aspera,NA,aspera,NA,native,unlisted,,reported,unobserved,1969-02-21,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,293168,ECH,NA,reported,Henricia aspera aspera,Echinodermata,reported,1969,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Henricia leviuscula complex,,,Pacific blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,leviuscula,NA,,NA,,,,confirmed,observed,1973-09-21,Andy Lamb,PMLS,NA,NA,2013-07-23,Karolle Wall,iNat:3706337,,47664,ECH,NA,confirmed,Henricia leviuscula complex,Echinodermata,confirmed,1973,2013,NA,2013,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/3706337,3706337, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Henricia pumila,"Eernisse, Strathmann & Strathmann, 2010",,dwarf mottled henricia,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,pumila,NA,,NA,,,,new 2023,observed,NA,NA,NA,NA,NA,2023-06-14,"Dave ""Zeuss"" Cochrane",iNat:167489237,,130864,ECH,2023,new,Henricia pumila,Echinodermata,new,NA,2023,2023,2023,"Dave ""Zeuss"" Cochrane",NA,https://www.inaturalist.org/observations/167489237,167489237,,"Sea stars, urchins & kin (Echinodermata)"
Henricia sanguinolenta,"(O.F. Müller, 1776)",,fat blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,sanguinolenta,NA,,NA,native,unlisted,,confirmed,observed,2009-10-10,Andy Lamb,PMLS,NA,NA,2023-06-24,"Dave ""Zeuss"" Cochrane",iNat:169325477,,62364,ECH,NA,confirmed,Henricia sanguinolenta,Echinodermata,confirmed,2009,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/169325477,169325477, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Pteraster tesselatus,"Ives, 1888",,slime star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Pterasteridae,,,Pteraster,tesselatus,NA,,NA,native,unlisted,,confirmed,observed,1971-08-21,Andy Lamb,PMLS,NA,NA,2009-10-03,Jackson W.F. Chu,iNat:61341024,,194701,ECH,NA,confirmed,Pteraster tesselatus,Echinodermata,confirmed,1971,2009,NA,2009,Jackson W.F. Chu,Andy Lamb,https://www.inaturalist.org/observations/61341024,61341024, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Dermasterias imbricata,"(Grube, 1857)",,leather star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,,Dermasterias,imbricata,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2975990,,63382,ECH,NA,confirmed,Dermasterias imbricata,Echinodermata,confirmed,1969,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2975990,2975990, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Hippasteria phrygiana,"(Parelius, 1768)",,spiny red star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,,Hippasteria,phrygiana,NA,,NA,native,unlisted,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,464048,ECH,NA,reported,Hippasteria phrygiana,Echinodermata,reported,1971,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Mediaster aequalis,"Stimpson, 1857",,vermilion star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Mediasterinae,,Mediaster,aequalis,NA,,NA,native,unlisted,,confirmed,observed,1971-08-21,Andy Lamb,PMLS,NA,NA,2008-05-21,Jackson W.F. Chu,iNat:116733054,,293174,ECH,NA,confirmed,Mediaster aequalis,Echinodermata,confirmed,1971,2008,NA,2008,Jackson W.F. Chu,Andy Lamb,https://www.inaturalist.org/observations/116733054,116733054, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Crossaster papposus,"(Linnaeus, 1767)",,rose star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,Crossaster,papposus,NA,,NA,native,unlisted,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-010,1898297964,NA,NA,NA,,192687,ECH,NA,reported,Crossaster papposus,Echinodermata,reported,1973,NA,NA,NA,NA,Philip Lambert,NA,NA," (RBCM, 973-00137-010)","Sea stars, urchins & kin (Echinodermata)"
Solaster dawsoni,"Verrill, 1880",,morning sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,Solaster,dawsoni,NA,,NA,native,unlisted,,reported,unobserved,NA,NA,RBCM,976-01146-012,1898264650,NA,NA,NA,,117692,ECH,NA,reported,Solaster dawsoni,Echinodermata,reported,NA,NA,NA,NA,NA,NA,NA,NA," (RBCM, 976-01146-012)","Sea stars, urchins & kin (Echinodermata)"
Solaster endeca,"(Linnaeus, 1771)",,northern sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,Solaster,endeca,NA,,NA,native,unlisted,,reported,unobserved,2006-06-23,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,371725,ECH,NA,reported,Solaster endeca,Echinodermata,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Solaster stimpsoni,"Verrill, 1880",,striped sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,Solaster,stimpsoni,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2013-07-23,Karolle Wall,iNat:4015173,,208013,ECH,NA,confirmed,Solaster stimpsoni,Echinodermata,confirmed,1969,2013,NA,2013,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/4015173,4015173, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Hiatella arctica,"(Linnaeus, 1767)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,,Hiatella,arctica,NA,,NA,,,,new 2023,observed,NA,NA,NA,NA,NA,2023-06-04,Kendall McLaughlin,iNat:165845820,,117617,MOL,2023,new,Hiatella arctica,Mollusca,new,NA,2023,2023,2023,Kendall McLaughlin,NA,https://www.inaturalist.org/observations/165845820,165845820,,Molluscs (Mollusca)
Panomya ampla,"Dall, 1898",,ample roughmya,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,,Panomya,ampla,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00316,1898318849,NA,NA,NA,,865774,MOL,NA,reported,Panomya ampla,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00316)",Molluscs (Mollusca)
Panopea generosa,"(Gould, 1850)",,Pacific geoduck,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,,Panopea,generosa,NA,,NA,native,unlisted,,confirmed,observed,1994-10-23,Andy Lamb,PMLS,NA,NA,2019-05-04,Isabelle M. Côté,iNat:24792030,,117618,MOL,NA,confirmed,Panopea generosa,Mollusca,confirmed,1994,2019,NA,2019,Isabelle M. Côté,Andy Lamb,https://www.inaturalist.org/observations/24792030,24792030, (PMLS),Molluscs (Mollusca)
Solen sicarius,"Gould, 1850",,sickle jackknife-clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Solenoidea,Solenidae,,,Solen,sicarius,NA,,NA,native,unlisted,,reported,unobserved,2007-12-09,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,54529,MOL,NA,reported,Solen sicarius,Mollusca,reported,2007,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Glycymeris septentrionalis,"(Middendorff, 1849)",,western bittersweet,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Arcida,,Arcoidea,Glycymerididae,,,Glycymeris,septentrionalis,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00294,1898292826,NA,NA,NA,,479438,MOL,NA,reported,Glycymeris septentrionalis,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00294)",Molluscs (Mollusca)
Ciliatocardium ciliatum,"(Fabricius, 1780)",,hairy cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,,Ciliatocardium,ciliatum,NA,,NA,native,unlisted,,reported,unobserved,2008-10-10,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,940646,MOL,NA,reported,Ciliatocardium ciliatum,Mollusca,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Clinocardium nuttallii,"(Conrad, 1837)",,Nuttall's cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,,Clinocardium,nuttallii,NA,,NA,native,unlisted,,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,NA,NA,2009-07-08,Shera Street,iNat:2635143,,69925,MOL,NA,confirmed,Clinocardium nuttallii,Mollusca,confirmed,1995,2009,NA,2009,Shera Street,Charlie Gibbs,https://www.inaturalist.org/observations/2635143,2635143, (PMLS),Molluscs (Mollusca)
Keenaea centifilosa,"(Carpenter, 1864)",,cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,,,Keenaea,centifilosa,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00327,1898273217,NA,NA,NA,reported as Nemocardium centifilosum (RBCM 979-00327),962184,MOL,NA,reported,Keenaea centifilosa,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00327)",Molluscs (Mollusca)
Keenocardium blandum,"(Gould, 1850)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,,Keenocardium,blandum,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-017,1898304642,NA,NA,NA,,940598,MOL,NA,reported,Keenocardium blandum,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-017)",Molluscs (Mollusca)
Gari californica,"(Conrad, 1849)",,California sunsetclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Psammobiidae,,,Gari,californica,NA,,NA,native,unlisted,,reported,unobserved,2005-12-10,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,354323,MOL,NA,reported,Gari californica,Mollusca,reported,2005,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Nuttallia obscurata,"(Reeve, 1857)",,purple mahogany clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Psammobiidae,,,Nuttallia,obscurata,NA,,NA,non-native,unlisted,,new 2016,observed,NA,NA,NA,NA,NA,2016-08-21,Tyrel Froese,iNat:4005286,,430211,MOL,2016,new,Nuttallia obscurata,Mollusca,new,NA,2016,2016,2016,Tyrel Froese,NA,https://www.inaturalist.org/observations/4005286,4005286,,Molluscs (Mollusca)
Semele rubropicta,"Dall, 1871",,rose-painted clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Semelidae,,,Semele,rubropicta,NA,,NA,native,unlisted,,reported,unobserved,1999-05-05,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,371110,MOL,NA,reported,Semele rubropicta,Mollusca,reported,1999,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Macoma brota,"Dall, 1916",,heavy macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,Macoma,brota,NA,,NA,native,unlisted,,new 2016,observed,NA,NA,NA,NA,NA,2016-08-17,Andrew Simon,iNat:3910109,,504353,MOL,2016,new,Macoma brota,Mollusca,new,NA,2016,2016,2016,Andrew Simon,NA,https://www.inaturalist.org/observations/3910109,3910109,,Molluscs (Mollusca)
Macoma calcarea,"(Gmelin, 1791)",,chalky macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,Macoma,calcarea,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,NA,RBCM,976-01146-008,1898275200,NA,NA,NA,,861604,MOL,NA,reported,Macoma calcarea,Mollusca,reported,1961,NA,NA,NA,NA,NA,NA,NA," (RBCM, 976-01146-008)",Molluscs (Mollusca)
Macoma carlottensis,"Whiteaves, 1880",,Charlotte macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,Macoma,carlottensis,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,NA,RBCM,976-01146-009,1898266087,NA,NA,NA,,957354,MOL,NA,reported,Macoma carlottensis,Mollusca,reported,1961,NA,NA,NA,NA,NA,NA,NA," (RBCM, 976-01146-009)",Molluscs (Mollusca)
Macoma nasuta,"(Conrad, 1857)",,bent-nose macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,Macoma,nasuta,NA,,NA,native,unlisted,,confirmed,observed,2009-11-14,Andy Lamb,PMLS,NA,NA,2016-08-21,Tyrel Froese,iNat:4005328,,117612,MOL,NA,confirmed,Macoma nasuta,Mollusca,confirmed,2009,2016,NA,2016,Tyrel Froese,Andy Lamb,https://www.inaturalist.org/observations/4005328,4005328, (PMLS),Molluscs (Mollusca)
Macoma obliqua,"(J. Sowerby, 1817)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,Macoma,obliqua,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-002,1898316814,NA,NA,NA,extinct,861605,MOL,NA,reported,Macoma obliqua,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-002)",Molluscs (Mollusca)
Coanicardita ventricosa,"(Gould, 1850)",,stout carditid,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Carditida,,Carditoidea,Carditidae,Scalaricarditinae,,Coanicardita,ventricosa,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-006,1898313988,NA,NA,NA,,492137,MOL,NA,reported,Coanicardita ventricosa,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-006)",Molluscs (Mollusca)
Kellia suborbicularis,"(Montagu, 1803)",,suborbicular kellyclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Galeommatida,,Galeommatoidea,Lasaeidae,,,Kellia,suborbicularis,NA,,NA,native,unlisted,,reported,unobserved,2006-06-30,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,253475,MOL,NA,reported,Kellia suborbicularis,Mollusca,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Parvilucina tenuisculpta,"(Carpenter, 1864)",,fine-lined lucine,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Lucinoidea,Lucinidae,Lucininae,,Parvilucina,tenuisculpta,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-005,1898273623,NA,NA,NA,,493882,MOL,NA,reported,Parvilucina tenuisculpta,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-005)",Molluscs (Mollusca)
Axinopsida serricata,"(Carpenter, 1864)",,lenticular axinopsid,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Thyasiroidea,Thyasiridae,,,Axinopsida,serricata,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03315,1898280832,NA,NA,NA,,977317,MOL,NA,reported,Axinopsida serricata,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03315)",Molluscs (Mollusca)
Mya arenaria,"Linnaeus, 1758",,soft-shelled clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,,,Mya,arenaria,NA,,NA,non-native,unlisted,,new 2016,observed,NA,NA,NA,NA,NA,2016-08-17,Andrew Simon,iNat:3910084,,81634,MOL,2016,new,Mya arenaria,Mollusca,new,NA,2016,2016,2016,Andrew Simon,NA,https://www.inaturalist.org/observations/3910084,3910084,,Molluscs (Mollusca)
Mya truncata,"Linnaeus, 1758",,truncated softshell-clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,,,Mya,truncata,NA,,NA,native,unlisted,,reported,unobserved,2008-04-27,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,447416,MOL,NA,reported,Mya truncata,Mollusca,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Zirfaea pilsbryi,"Lowe, 1931",,rough piddock,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Pholadoidea,Pholadidae,Pholadinae,,Zirfaea,pilsbryi,NA,,NA,native,unlisted,,reported,unobserved,2016-07-24,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,117472,MOL,NA,reported,Zirfaea pilsbryi,Mollusca,reported,2016,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Bankia setacea,"(Tryon, 1863)",,feathery shipworm,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Pholadoidea,Teredinidae,Bankiinae,,Bankia,setacea,NA,,NA,native,unlisted,,reported,unobserved,1999-10-02,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,347368,MOL,NA,reported,Bankia setacea,Mollusca,reported,1999,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Crenella decussata,"(Montagu, 1808)",,cross-sculpture crenella,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Crenellinae,,Crenella,decussata,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-013,1898267985,NA,NA,NA,,193939,MOL,NA,reported,Crenella decussata,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-013)",Molluscs (Mollusca)
Modiolus modiolus,"(Linnaeus, 1758)",,northern horsemussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,modiolus,NA,,NA,native,unlisted,,reported,unobserved,2005-12-10,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,123772,MOL,NA,reported,Modiolus modiolus,Mollusca,reported,2005,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Modiolus rectus,"(Conrad, 1837)",,straight horse mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,rectus,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-015,1898316253,NA,NA,NA,,196218,MOL,NA,reported,Modiolus rectus,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-015)",Molluscs (Mollusca)
Musculus discors,"(Linnaeus, 1767)",,discord mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Musculinae,,Musculus,discors,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00346,1898284913,NA,NA,NA,,482998,MOL,NA,reported,Musculus discors,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00346)",Molluscs (Mollusca)
Musculus niger,"(J.E. Gray, 1824)",,black mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Musculinae,,Musculus,niger,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00347,1898295371,NA,NA,NA,,483000,MOL,NA,reported,Musculus niger,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00347)",Molluscs (Mollusca)
