Phylum,Phylum_Latin,total_known_now,historical_baseline,historical_rediscovered,historical_still_missing,new_since_project,recent_rediscoveries,recent_new_additions,recent_total_progress,rediscovery_share_pct,still_missing_share_pct
Molluscs (Mollusca),Mollusca,208,177,82,95,31,0,0,0,46.3,53.7
Chordates (Chordata),Chordata,139,120,77,43,19,1,6,7,64.2,35.8
Arthropods (Arthropoda),Arthropoda,92,79,42,37,13,0,2,2,53.2,46.8
"Jellyfish, corals & anemones (Cnidaria)",Cnidaria,78,71,33,38,7,0,2,2,46.5,53.5
Segmented worms (Annelida),Annelida,50,44,16,28,6,0,2,2,36.4,63.6
"Sea stars, urchins & kin (Echinodermata)",Echinodermata,42,40,25,15,2,0,1,1,62.5,37.5
Sponges (Porifera),Porifera,41,40,10,30,1,0,1,1,25,75
Moss animals (Bryozoa),Bryozoa,18,17,8,9,1,0,0,0,47.1,52.9
Ribbon worms (Nemertea),Nemertea,7,5,3,2,2,0,0,0,60,40
Comb jellies (Ctenophora),Ctenophora,4,4,4,0,0,0,0,0,100,0
Flatworms (Platyhelminthes),Platyhelminthes,2,2,2,0,0,0,0,0,100,0
Arrow worms (Chaetognatha),Chaetognatha,1,1,0,1,0,0,0,0,0,100
Goblet worms (Entoprocta),Entoprocta,1,1,0,1,0,0,0,0,0,100
Horseshoe worms (Phoronida),Phoronida,1,1,1,0,0,0,0,0,100,0
Lamp shells (Brachiopoda),Brachiopoda,1,1,0,1,0,0,0,0,0,100
Peanut worms (Sipuncula),Sipuncula,1,1,0,1,0,0,0,0,0,100
