"scientificName","ID","Curator.Decision","Curator.Notes"
"Hyalidae","245525","DELETE","higher"
"Hydroidolina","551473","DELETE","higher"
"Hydrozoa","48921","DELETE","higher"
"Hyperiidae","195355","DELETE","higher"
"Ischyroceridae","64647","DELETE","higher"
"Isodictya","203512","DELETE","genus"
"Lacuna","129948","DELETE","genus"
"Lepidopsetta","89411","DELETE","genus"
"Lepidozona","117630","DELETE","genus"
"Leptasterias","117697","DELETE","genus"
"Leptothecata","48925","DELETE","higher"
"Leucilla","117719","DELETE","genus"
"Leucosolenia","186845","DELETE","genus"
"Leucosolenida","117716","DELETE","higher"
"Liparis","157721","DELETE","genus"
"Lithodinae","1530307","DELETE","higher"
"Littorina","48919","DELETE","genus"
"Littorinidae","48918","DELETE","higher"
"Littorininae","776332","DELETE","higher"
"Littorinoidea","482298","DELETE","higher"
"Lottia","48752","DELETE","genus"
"Lottiidae","48751","DELETE","higher"
"Lottioidea","551398","DELETE","higher"
"Lumbricidae","69758","DELETE","higher"
"Lymnaeinae","1006962","DELETE","higher"
"Macominae","871400","DELETE","higher"
"Magallana","605990","DELETE","genus"
"Majoidea","47715","DELETE","higher"
"Malacalcyonacea","1435134","DELETE","higher"
"Maldanidae","194016","DELETE","higher"
"Margarites","129934","DELETE","genus"
"Membranipora","48391","DELETE","genus"
"Metridiidae","49070","DELETE","higher"
"Metridium","49069","DELETE","genus"
"Microcionidae","63668","DELETE","higher"
"Mitrocoma","60669","DELETE","genus"
"Mitrocomidae","60670","DELETE","higher"
"Mollusca","47115","DELETE","higher"
"Mopalia","47630","DELETE","genus"
"Mopaliinae","1067211","DELETE","higher"
"Mopalioidea","533483","DELETE","higher"
"Mytilidae","50600","DELETE","higher"
"Mytiloidea","775840","DELETE","higher"
"Mytilus edulis","1108240","DELETE","higher"
"Myxicola","49534","DELETE","genus"
"Naidinae","501692","DELETE","higher"
"Nanomia","506581","DELETE","genus"
"Narcomedusae","152822","DELETE","higher"
"Nassarius","50763","DELETE","genus"
"Naticidae","48923","DELETE","higher"
"Nematoda","54960","DELETE","higher"
"Nemertea","51280","DELETE","higher"
"Neogastropoda","48289","DELETE","higher"
"Neotrypaea","56658","DELETE","genus"
"Neoturris","247202","DELETE","genus"
"Nereididae","49581","DELETE","higher"
"Nereidinae","373491","DELETE","higher"
"Neverita","59357","DELETE","genus"
"Nucella","69999","DELETE","genus"
"Nudibranchia","47113","DELETE","higher"
"Nudipleura","775801","DELETE","higher"
"Ocenebrinae","320904","DELETE","higher"
"Oegopsida","246134","DELETE","higher"
"Oligocottus","67630","DELETE","genus"
"Onchidoridoidea","564804","DELETE","higher"
"Onchidoris","47481","DELETE","genus"
"Oncorhynchus","47522","DELETE","genus"
"Ophiopholis","56687","DELETE","genus"
"Ophiura","195682","DELETE","genus"
"Ophiuroidea","48836","DELETE","higher"
"Ophlitaspongiinae","1067099","DELETE","higher"
"Ostreida","47583","DELETE","higher"
"Ostreidae","47582","DELETE","higher"
"Otariidae","41736","DELETE","higher"
"Oxydromus","494511","DELETE","genus"
"Pachycerianthus","47703","DELETE","genus"
"Paguridae","48174","DELETE","higher"
"Paguroidea","47398","DELETE","higher"
"Pagurus","48173","DELETE","genus"
"Pandalus","47709","DELETE","genus"
"Pandeidae","245602","DELETE","higher"
"Patellogastropoda","47679","DELETE","higher"
"Pectinida","551313","DELETE","higher"
"Pectinidae","54525","DELETE","higher"
"Pedinae","871463","DELETE","higher"
"Peracarida","144114","DELETE","higher"
"Perciformes","47233","DELETE","higher"
"Petrolisthes","47804","DELETE","genus"
"Phacellophora","52967","DELETE","genus"
"Phidoloporidae","121752","DELETE","higher"
"Phocoidea","372843","DELETE","higher"
"Pholis","62608","DELETE","genus"
"Phyllodocida","67314","DELETE","higher"
"Phyllodocidae","195011","DELETE","higher"
"Pinnotherinae","1068401","DELETE","higher"
"Pinnotheroidea","48814","DELETE","higher"
"Pisaster","48834","DELETE","genus"
"Platyhelminthes","52319","DELETE","higher"
"Pleocyemata","118451","DELETE","higher"
"Pleuronectidae","47525","DELETE","higher"
"Pleuronectinae","559182","DELETE","higher"
"Pleuronectoidei","1303751","DELETE","higher"
"Pododesmus","68653","DELETE","genus"
