"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"285","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:102741758",49.834922,-123.209703,"2021-12-05",NA,NA,"John D Reynolds","false","research",4
"286","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:102742723",49.836228,-123.209611,"2021-12-05",NA,NA,"John D Reynolds","false","research",5
"287","Ramalina farinacea",54758,"Ramalina farinacea",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Ramalinaceae","","","Ramalina","farinacea","iNat:102742725",49.836242,-123.209708,"2021-12-05",NA,NA,"John D Reynolds","false","research",5
"288","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:102743101",49.834622,-123.210106,"2021-12-05",NA,NA,"John D Reynolds","false","research",3
"289","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:102743102",49.834831,-123.209778,"2021-12-05",NA,NA,"John D Reynolds","false","research",3
"290","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:104833456",49.716149,-123.046446,"2020-07-04",NA,NA,"","false","research",101
"291","Peltigera aphthosa",119675,"Peltigera aphthosa",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","aphthosa","iNat:104946028",49.5515,-123.238445,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"292","Parmelia sulcata",54734,"Parmelia sulcata",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Parmelia","sulcata","iNat:104951135",49.559006,-123.235214,"2022-01-14",NA,NA,"John D Reynolds","false","research",4
"293","Evernia prunastri",123175,"Evernia prunastri",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Evernia","prunastri","iNat:104951136",49.558928,-123.235083,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"294","Platismatia glauca",117874,"Platismatia glauca",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Platismatia","glauca","iNat:104951150",49.558422,-123.235275,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"295","Parmelia sulcata",54734,"Parmelia sulcata",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Parmelia","sulcata","iNat:104951151",49.558422,-123.235275,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"296","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:104951162",49.557761,-123.235533,"2022-01-14",NA,NA,"John D Reynolds","false","research",4
"297","Peltigera collina",194736,"Peltigera collina",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","collina","iNat:104951164",49.557822,-123.235825,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"298","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:104951178",49.555533,-123.23635,"2022-01-14",NA,NA,"John D Reynolds","false","research",4
"299","Hypogymnia physodes",117971,"Hypogymnia physodes",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Hypogymnia","physodes","iNat:104953531",49.551756,-123.238153,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"300","Graphis scripta",117987,"Graphis scripta",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Ostropales",NA,NA,NA,"Graphidaceae","","","Graphis","scripta","iNat:104953582",49.552397,-123.236192,"2022-01-14",NA,NA,"John D Reynolds","false","research",NA
"301","Evernia prunastri",123175,"Evernia prunastri",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Evernia","prunastri","iNat:104953585",49.553169,-123.235633,"2022-01-14",NA,NA,"John D Reynolds","false","research",4
"302","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:104953586",49.554008,-123.235764,"2022-01-14",NA,NA,"John D Reynolds","false","research",4
"303","Platismatia herrei",117876,"Platismatia herrei",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Platismatia","herrei","iNat:105865524",49.388755,-123.484397,"2021-08-29",NA,NA,"Else Mikkelsen","false","research",5
"304","Platismatia glauca",117874,"Platismatia glauca",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Platismatia","glauca","iNat:106345044",49.354224,-123.239219,"2022-02-06",NA,NA,"John Martin","false","research",NA
"305","Peltigera membranacea",117858,"Peltigera membranacea",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","membranacea","iNat:106522060",49.366012,-123.255515,"2022-02-09",NA,NA,"John Martin","false","research",NA
"306","Icmadophila ericetorum",119695,"Icmadophila ericetorum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Pertusariales",NA,NA,NA,"Icmadophilaceae","","","Icmadophila","ericetorum","iNat:107460625",49.749833,-123.050434,"2022-02-12",NA,NA,"Todd","false","research",15
"307","Platismatia glauca",117874,"Platismatia glauca",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Platismatia","glauca","iNat:107608674",49.352042,-123.240538,"2022-02-26",NA,NA,"John Martin","false","research",NA
"308","Cladonia bellidiflora",123391,"Cladonia bellidiflora",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Cladoniaceae","","","Cladonia","bellidiflora","iNat:107612066",49.355346,-123.238536,"2022-02-26",NA,NA,"John Martin","false","research",NA
"309","Cladonia squamosa",117963,"Cladonia squamosa",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Cladoniaceae","","","Cladonia","squamosa","iNat:107646243",49.365505,-123.26577,"2022-02-27",NA,NA,"","false","research",4
"310","Peltigera venosa",194812,"Peltigera venosa",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","venosa","iNat:108269298",49.739453,-123.104719,"2022-03-07",NA,NA,"Gwen L'Hirondelle","false","research",NA
"311","Cladonia rangiferina",119778,"Cladonia rangiferina",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Cladoniaceae","","","Cladonia","rangiferina","iNat:108349406",49.336376,-123.261177,"2022-03-08",NA,NA,"John D Reynolds","false","research",NA
"312","Ramalina farinacea",54758,"Ramalina farinacea",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Ramalinaceae","","","Ramalina","farinacea","iNat:108349410",49.336487,-123.261192,"2022-03-08",NA,NA,"John D Reynolds","false","research",NA
"313","Platismatia glauca",117874,"Platismatia glauca",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Platismatia","glauca","iNat:108350115",49.336895,-123.262177,"2022-03-08",NA,NA,"John D Reynolds","false","research",NA
"314","Parmelia sulcata",54734,"Parmelia sulcata",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Parmelia","sulcata","iNat:108350141",49.336487,-123.261192,"2022-03-08",NA,NA,"John D Reynolds","false","research",NA
"315","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:108592366",49.714322,-123.159186,"2022-03-13",NA,NA,"Tiffany Brunke","false","research",4
"316","Peltigera collina",194736,"Peltigera collina",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","collina","iNat:108600931",49.746869,-123.112781,"2022-02-16",NA,NA,"Gwen L'Hirondelle","false","research",NA
"317","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:109021764",49.58497,-123.223258,"2022-03-19",NA,NA,"","false","research",4
"318","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:109096109",49.886731,-123.179778,"2022-03-20",NA,NA,"","false","research",3
"319","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:109161153",49.394493,-123.349422,"2022-03-20",NA,NA,"John Martin","false","research",NA
"320","Platismatia glauca",117874,"Platismatia glauca",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Platismatia","glauca","iNat:109260721",49.68379,-123.144885,"2022-03-14",NA,NA,"","false","research",2313
"321","Cladonia bellidiflora",123391,"Cladonia bellidiflora",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Cladoniaceae","","","Cladonia","bellidiflora","iNat:109492239",49.819877,-123.165133,"2022-03-25",NA,NA,"","false","research",14
"322","Cladonia",49490,"Cladonia",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Cladoniaceae","","","Cladonia","","iNat:109508569",49.378928,-123.333363,"2022-03-25",NA,NA,"","false","research",65
"323","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:110470737",49.39877,-123.3534,"2022-04-04",NA,NA,"Chantal","false","research",190
"324","Evernia prunastri",123175,"Evernia prunastri",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Evernia","prunastri","iNat:110710332",49.672076,-123.158284,"2022-04-06",NA,NA,"John Martin","false","research",NA
"325","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:111051549",49.364322,-123.41987,"2022-04-05",NA,NA,"Chantal","false","research",6
"326","Evernia prunastri",123175,"Evernia prunastri",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Evernia","prunastri","iNat:112852771",49.689497,-123.155794,"2022-04-25",NA,NA,"","false","research",27794
"328","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:117325629",49.583427,-123.31493,"2022-05-15",NA,NA,"Lauren Bosch","false","research",39
"329","Xanthoparmelia cumberlandia",123230,"Xanthoparmelia cumberlandia",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Xanthoparmelia","cumberlandia","iNat:118241230",49.3311,-123.266647,"2022-05-21",NA,NA,"Taylor De Zilva","false","research",179
"330","Peltigera aphthosa",119675,"Peltigera aphthosa",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","aphthosa","iNat:118888845",49.812592,-123.082,"2022-05-16",NA,NA,"Maleen Mund","false","research",NA
"331","Icmadophila ericetorum",119695,"Icmadophila ericetorum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Pertusariales",NA,NA,NA,"Icmadophilaceae","","","Icmadophila","ericetorum","iNat:120411045",49.452038,-123.22757,"2022-06-05",NA,NA,"Chloe Shore","false","research",6
"332","Sphaerophorus tuckermanii",123231,"Sphaerophorus tuckermanii",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Sphaerophoraceae","","","Sphaerophorus","tuckermanii","iNat:121288337",49.398715,-123.207315,"2022-06-11",NA,NA,"Ben Keen","false","research",228
"333","Peltigera membranacea",117858,"Peltigera membranacea",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Peltigeraceae","","","Peltigera","membranacea","iNat:121649255",49.723767,-123.132378,"2022-05-30",NA,NA,"Tiffany Brunke","false","research",9
"334","Lobaria linita",224041,"Lobaria linita",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","linita","iNat:122566718",49.745441,-122.930806,"2022-06-19",NA,NA,"Ben Keen","false","research",179
"335","Usnea longissima",122681,"Usnea longissima",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae","","Usnea","longissima","iNat:122895896",49.751208,-123.128731,"2022-06-21",NA,NA,"Emily Wharin","false","research",4
"336","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,NA,"Lobariaceae","","","Lobaria","pulmonaria","iNat:125969367",49.830898,-123.149467,"2022-07-12",NA,NA,"","false","research",26
"337","Icmadophila ericetorum",119695,"Icmadophila ericetorum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Pertusariales",NA,NA,NA,"Icmadophilaceae","","","Icmadophila","ericetorum","iNat:128199892",49.814608,-123.172645,"2022-07-27",NA,NA,"Elora Jane","false","research",65
