"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"1","Caloscypha fulgens",153035,"Caloscypha fulgens",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Caloscyphaceae","","","Caloscypha","fulgens","iNat:3184574",49.415339,-123.207201,"2016-05-15",NA,NA,"Riley Pollom","false","research",16
"2","Chlorociboria",54595,"Chlorociboria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Chlorociboriaceae","","","Chlorociboria","","iNat:5971851",49.670636,-123.130367,"2014-10-07",NA,NA,"judith holm","false","research",42
"3","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:5972207",49.708624,-123.116784,"2014-11-09",NA,NA,"judith holm","false","research",85
"4","Scutellinia scutellata",49137,"Scutellinia scutellata",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Pyronemataceae","","","Scutellinia","scutellata","iNat:6417401",49.37037,-123.255363,"2017-05-28",NA,NA,"Rita Clare","false","research",NA
"5","Hypomyces lactifluorum",48215,"Hypomyces lactifluorum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Hypocreomycetidae",NA,"Hypocreales",NA,NA,NA,"Hypocreaceae","","","Hypomyces","lactifluorum","iNat:8301711",49.6721,-123.158898,"2017-10-07",NA,NA,"","false","research",10
"6","Aleuria aurantia",48716,"Aleuria aurantia",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Pyronemataceae","","","Aleuria","aurantia","iNat:8603166",49.769478,-123.107101,"2017-10-26",NA,NA,"","false","research",4128
"7","Rhytisma punctatum",333838,"Rhytisma punctatum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Rhytismatales",NA,NA,NA,"Rhytismataceae","","","Rhytisma","punctatum","iNat:9505581",49.409236,-123.462896,"2015-09-03",NA,NA,"Else Mikkelsen","false","research",172
"8","Hypomyces lactifluorum",48215,"Hypomyces lactifluorum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Hypocreomycetidae",NA,"Hypocreales",NA,NA,NA,"Hypocreaceae","","","Hypomyces","lactifluorum","iNat:9593018",49.785975,-123.108566,"2014-10-19",NA,NA,"","false","research",85
"9","Rhytisma punctatum",333838,"Rhytisma punctatum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Rhytismatales",NA,NA,NA,"Rhytismataceae","","","Rhytisma","punctatum","iNat:10279497",49.408156,-123.461266,"2015-04-04",NA,NA,"Else Mikkelsen","false","research",691
"10","Verpa bohemica",126131,"Verpa bohemica",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Morchellaceae","","","Verpa","bohemica","iNat:10758820",49.730513,-123.134696,"2018-04-10",NA,NA,"","false","research",NA
"11","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:17086935",49.392287,-123.35835,"2018-09-30",NA,NA,"Ben Keen","false","research",5
"12","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:17166323",49.91587,-123.085815,"2018-09-20",NA,NA,"","false","research",1104
"13","Aleuria aurantia",48716,"Aleuria aurantia",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Pyronemataceae","","","Aleuria","aurantia","iNat:17732187",49.77853,-123.124642,"2018-10-21",NA,NA,"","false","research",16
"14","Aleuria aurantia",48716,"Aleuria aurantia",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Pyronemataceae","","","Aleuria","aurantia","iNat:17976043",49.76751,-123.160902,"2018-10-30",NA,NA,"","false","research",12
"15","Hypomyces lactifluorum",48215,"Hypomyces lactifluorum",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Hypocreomycetidae",NA,"Hypocreales",NA,NA,NA,"Hypocreaceae","","","Hypomyces","lactifluorum","iNat:18003093",49.917279,-123.248189,"2018-10-09",NA,NA,"judith holm","false","research",5457
"16","Helvella vespertina",423950,"Helvella vespertina",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Helvellaceae","","","Helvella","vespertina","iNat:18036135",49.704664,-123.135237,"2018-11-02",NA,NA,"judith holm","false","research",10
"17","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:18102224",49.397826,-123.355973,"2018-11-04",NA,NA,"Ben Keen","false","research",5
"18","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:18147054",49.340953,-123.267678,"2018-11-05",NA,NA,"Derek Killby","false","research",7
"19","Ascocoryne sarcoides",49075,"Ascocoryne sarcoides",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Gelatinodiscaceae","","","Ascocoryne","sarcoides","iNat:18306585",49.334267,-123.260816,"2018-11-04",NA,NA,"","false","research",542
"20","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:18315435",49.394922,-123.359871,"2018-11-10",NA,NA,"Ben Keen","false","research",5
"21","Ascocoryne sarcoides",49075,"Ascocoryne sarcoides",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Gelatinodiscaceae","","","Ascocoryne","sarcoides","iNat:18442859",49.792451,-123.128564,"2018-11-12",NA,NA,"judith holm","false","research",171
"22","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:18449736",49.792139,-123.128985,"2018-11-12",NA,NA,"judith holm","false","research",85
"23","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:18487474",49.354729,-123.239246,"2018-11-18",NA,NA,"","false","research",32
"24","Aleuria aurantia",48716,"Aleuria aurantia",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Pyronemataceae","","","Aleuria","aurantia","iNat:18726327",49.737322,-123.100746,"2018-11-29",NA,NA,"Samantha Leigh","false","research",33
"25","Chlorociboria",54595,"Chlorociboria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Chlorociboriaceae","","","Chlorociboria","","iNat:18770643",49.656836,-123.110409,"2018-12-01",NA,NA,"judith holm","false","research",172
"26","Xylaria hypoxylon",55267,"Xylaria hypoxylon",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes","Xylariomycetidae",NA,"Xylariales",NA,NA,NA,"Xylariaceae","","","Xylaria","hypoxylon","iNat:19109582",49.340662,-123.26757,"2012-12-30",NA,NA,"Derek Killby","false","research",6
"27","Chlorociboria",54595,"Chlorociboria",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Chlorociboriaceae","","","Chlorociboria","","iNat:19238761",49.380772,-123.405828,"2018-12-26",NA,NA,"Ben Keen","false","research",10
"28","Helvella vespertina",423950,"Helvella vespertina",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes","",NA,"Pezizales",NA,NA,NA,"Helvellaceae","","","Helvella","vespertina","iNat:19238782",49.379782,-123.407246,"2018-12-26",NA,NA,"Ben Keen","false","research",10
"29","Ascocoryne sarcoides",49075,"Ascocoryne sarcoides",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Gelatinodiscaceae","","","Ascocoryne","sarcoides","iNat:19297799",49.389046,-123.366812,"2018-12-29",NA,NA,"Ben Keen","false","research",10
"30","Calycina citrina",955949,"Calycina citrina",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes","",NA,"Helotiales",NA,NA,NA,"Pezizellaceae","","","Calycina","citrina","iNat:19322182",49.715554,-123.107028,"2018-11-07",NA,NA,"judith holm","false","research",343
