"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Ambystoma gracile","(Baird, 1859)","","northwestern salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Ambystomatidae","",,"Ambystoma","gracile",,"",,"native","S4S5 (2016)","","1818-06-20","","MVZ","MVZ:Herp:16949",5147098009,"2025-07-23","Travis Kurtz","iNaturalist","301331743",5238231294,732,"confirmed","observed","",26747,"HER"
"Ambystoma macrodactylum","Baird, 1950","","long-toed salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Ambystomatidae","",,"Ambystoma","macrodactylum",,"",,"native","S5 (2016)","","1818-06-20","","MVZ","MVZ:Herp:16956",5147222009,"2025-07-21","Guy L. Monty","iNaturalist","299984128",5231821338,403,"confirmed","observed","",26754,"HER"
"Anaxyrus boreas","(Baird and Girard, 1852)","","western toad","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Anura","","","Bufonidae","",,"Anaxyrus","boreas",,"",,"native","S4 (2022)","1-SC (2018)","1907-07-30","Prince, Edward E.","CMN","CMNAR 1171",1804124863,"2025-07-29","Clearey Hewitt","iNaturalist","302152003",5238256877,1313,"confirmed","observed","",64970,"HER"
"Aneides vagrans","Wake & Jackman, 1998","","wandering salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Plethodontidae","Plethodontinae",,"Aneides","vagrans",,"",,"native","S3 (2022)","1-SC (2018)","1904-06-01","J. Keen","RBCM","144",1986821557,"2025-07-23","Thomas Barbin","iNaturalist","300848542",5238021037,198,"confirmed","observed","",248672,"HER"
"Ascaphus truei","(Stejneger, 1899)","","coastal tailed frog","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Anura","","","Ascaphidae","",,"Ascaphus","truei",,"",,"native","S4 (2022)","1-SC (2003)","1942-06-03","I.McT. Cowan/ G.C. Carl","UBCBBM","H000249",1291993752,"2025-07-26","annapunana","iNaturalist","301349898",5238397385,101,"confirmed","observed","",24543,"HER"
"Charina bottae","(Blainville, 1835)","","northern rubber boa","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Boidae","",,"Charina","bottae",,"",,"native","S4 (2018)","1-SC (2005)","1818-06-20","","MVZ","MVZ:Herp:16964",5146985005,"2025-06-19","liz011","iNaturalist","291105419",5206585082,52,"confirmed","observed","",243962,"HER"
"Chrysemys picta","(Schneider, 1783)","","painted turtle","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Testudines","Cryptodira","","Emydidae","Deirochelyinae",,"Chrysemys","picta",,"",,"native","S1S2 (2018)","1-T (2021)","2007-08-30","Lyrae","iNaturalist","76301381",3112540121,"2025-07-27","tortieshell","iNaturalist","301723177",5238193579,441,"confirmed","observed","",39771,"HER"
"Coluber constrictor","Linnaeus, 1758","","North American racer","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","",,"Coluber","constrictor",,"",,"native","S2S3 (2018)","1-T (2023)","1964-06-03","MacDonald, Stewart D.","CMN","CMNAR 7922",1804113342,"2023-09-04","Jonah Timms","iNaturalist","181843626",4407679554,5,"confirmed","observed","",27137,"HER"
"Contia tenuis","(Baird & Girard,1852)","","sharp-tailed snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Dipsadinae",,"Contia","tenuis",,"",,"native","S1S2 (2018)","1-E (2003)","1997-06-20","R. Henshaw","RBCM","1931",1986822164,"2025-07-23","Nathan Earley","iNaturalist","301056648",5238086202,56,"confirmed","observed","",26916,"HER"
"Crotalus oreganus","Holbrook, 1840","","western rattlesnake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Viperidae","",,"Crotalus","oreganus",,"",,"native","S2S3 (2018)","1-T (2005)","1964-09-06","Lehman, Albert","CMN","CMNAR 8214",1804110008,"2024-07-27","Ben Keen","iNaturalist","232196069",4919679738,2,"confirmed","observed","",48268,"HER"
