from,to,person_name,person_class,edge_class,weight,entry_year
Aziza Cooper,Glaucidium californicum,Aziza Cooper,historical,reported,1,1994
Galiano Naturalist,Accipiter gentilis,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Accipiter striatus,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Actitis macularius,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Aechmophorus occidentalis,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Aegolius acadicus,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Agelaius phoeniceus,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Aix sponsa,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Anas acuta,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Anas carolinensis,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Anas crecca,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Anas platyrhynchos,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Anser albifrons,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Anthus rubescens,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Aquila chrysaetos,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Ardea herodias fannini,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Arenaria interpres,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Arenaria melanocephala,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Asio flammeus,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Astur cooperii,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Aythya affinis,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Aythya collaris,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Aythya marila,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Bombycilla cedrorum,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Brachyramphus marmoratus,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Branta canadensis,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Bubo virginianus,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Bucephala albeola,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Bucephala clangula,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Bucephala islandica,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Buteo jamaicensis,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Calidris alpina,Galiano Naturalist,historical,confirmed,1,2016
Galiano Naturalist,Calidris mauri,Galiano Naturalist,historical,reported,1,2016
Galiano Naturalist,Calidris virgata,Galiano Naturalist,historical,confirmed,1,2016
