year,n_edges,n_nodes,frame_file
1800,0,0,outputs/birds/network_animation/frames/birds_network_1800.png
1810,0,0,outputs/birds/network_animation/frames/birds_network_1810.png
1820,0,0,outputs/birds/network_animation/frames/birds_network_1820.png
1830,0,0,outputs/birds/network_animation/frames/birds_network_1830.png
1840,0,0,outputs/birds/network_animation/frames/birds_network_1840.png
1850,0,0,outputs/birds/network_animation/frames/birds_network_1850.png
1860,0,0,outputs/birds/network_animation/frames/birds_network_1860.png
1870,0,0,outputs/birds/network_animation/frames/birds_network_1870.png
1880,0,0,outputs/birds/network_animation/frames/birds_network_1880.png
1890,0,0,outputs/birds/network_animation/frames/birds_network_1890.png
1900,0,0,outputs/birds/network_animation/frames/birds_network_1900.png
1910,0,0,outputs/birds/network_animation/frames/birds_network_1910.png
1920,0,0,outputs/birds/network_animation/frames/birds_network_1920.png
1930,0,0,outputs/birds/network_animation/frames/birds_network_1930.png
1940,0,0,outputs/birds/network_animation/frames/birds_network_1940.png
1950,0,0,outputs/birds/network_animation/frames/birds_network_1950.png
1960,0,0,outputs/birds/network_animation/frames/birds_network_1960.png
1970,0,0,outputs/birds/network_animation/frames/birds_network_1970.png
1980,0,0,outputs/birds/network_animation/frames/birds_network_1980.png
1990,0,0,outputs/birds/network_animation/frames/birds_network_1990.png
2000,2,4,outputs/birds/network_animation/frames/birds_network_2000.png
2010,25,35,outputs/birds/network_animation/frames/birds_network_2010.png
2011,33,43,outputs/birds/network_animation/frames/birds_network_2011.png
2012,39,51,outputs/birds/network_animation/frames/birds_network_2012.png
2013,46,59,outputs/birds/network_animation/frames/birds_network_2013.png
2014,56,70,outputs/birds/network_animation/frames/birds_network_2014.png
2015,83,103,outputs/birds/network_animation/frames/birds_network_2015.png
2016,291,209,outputs/birds/network_animation/frames/birds_network_2016.png
2017,302,216,outputs/birds/network_animation/frames/birds_network_2017.png
2018,308,219,outputs/birds/network_animation/frames/birds_network_2018.png
2019,316,223,outputs/birds/network_animation/frames/birds_network_2019.png
2020,321,229,outputs/birds/network_animation/frames/birds_network_2020.png
2021,322,230,outputs/birds/network_animation/frames/birds_network_2021.png
2022,327,234,outputs/birds/network_animation/frames/birds_network_2022.png
2023,331,237,outputs/birds/network_animation/frames/birds_network_2023.png
2024,336,243,outputs/birds/network_animation/frames/birds_network_2024.png
2025,337,244,outputs/birds/network_animation/frames/birds_network_2025.png
2026,337,244,outputs/birds/network_animation/frames/birds_network_2026.png
