name,node_class,taxon_status,taxon_year,color,size,label
Aix sponsa,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Anas acuta,taxon,reported,NA,gray60,1,NA
Anas carolinensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Anas crecca,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Anas platyrhynchos,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Anser albifrons,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Anthus rubescens,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Aquila chrysaetos,taxon,reported,NA,gray60,1,NA
Ardea herodias fannini,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Arenaria interpres,taxon,reported,NA,gray60,1,NA
Arenaria melanocephala,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Asio flammeus,taxon,reported,NA,gray60,1,NA
Astur cooperii,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Aythya affinis,taxon,reported,NA,gray60,1,NA
Aythya collaris,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Aythya marila,taxon,reported,NA,gray60,1,NA
Bombycilla cedrorum,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Brachyramphus marmoratus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Branta canadensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Bubo virginianus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Bucephala albeola,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Bucephala clangula,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Bucephala islandica,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Buteo jamaicensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Calidris alpina,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Calidris mauri,taxon,reported,NA,gray60,1,NA
Calidris virgata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Calypte anna,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cardellina pusilla,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cathartes aura,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Catharus guttatus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Catharus ustulatus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cepphus columba,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cerorhinca monocerata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Certhia americana,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Chaetura vauxi,taxon,reported,NA,gray60,1,NA
Charadrius semipalmatus,taxon,reported,NA,gray60,1,NA
Charadrius vociferus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Chen caerulescens,taxon,reported,NA,gray60,1,NA
Chordeiles minor,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Chroicocephalus philadelphia,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cinclus mexicanus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Circus hudsonius,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cistothorus palustris,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Clangula hyemalis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Colaptes auratus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Contopus cooperi,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Contopus sordidulus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Corthylio calendula,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Corvus brachyrhynchos caurinus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Corvus corax principalis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cyanocitta stelleri,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cygnus buccinator,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Cygnus olor,taxon,reported,NA,gray60,1,NA
Cypseloides niger,taxon,reported,NA,gray60,1,NA
Dendragapus fuliginosus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Dryobates pubescens,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Dryocopus pileatus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Empidonax difficilis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Empidonax hammondii,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
