ID,PLOT_ID,LATITUDE,LONGITUDE
"0",13-1,48.950,-123.488
"0",33-1,48.950,-123.490
"0",34-1,48.949,-123.489
"0",14-1,48.949,-123.488
"0",36-1,48.949,-123.490
"0",36-2,48.949,-123.491
"0",15-1,48.947,-123.488
"0",11-1,48.947,-123.488
"0",30-1,48.948,-123.489
"0",26-1,48.948,-123.489
"0",25-1,48.949,-123.491
"0",48-1,48.948,-123.491
"0",21-1,48.948,-123.492
"0",9-1,48.947,-123.491
"0",20-1,48.947,-123.492
"0",20-2,48.947,-123.492
"0",17-1,48.948,-123.493
"0",28-1,48.948,-123.494
"0",19-1,48.949,-123.493
"0",22-1,48.949,-123.493
"0",22-?,48.949,-123.494
"0",22-?,48.949,-123.496
"0",37-1,48.950,-123.493
"0",37-2,48.949,-123.495
"0",38-1,48.949,-123.497
"0",31-1,48.949,-123.496
"0",5-1,48.948,-123.496
"0",41-1,48.948,-123.495
"0",35-1,48.948,-123.494
"0",6-1,48.946,-123.494
"0",29-2,48.946,-123.493
"0",29-1,48.947,-123.494
"0",16-8,48.947,-123.490
"0",16-6,48.947,-123.493
"0",16-4,48.946,-123.493
"0",16-5,48.946,-123.492
"0",16-1,48.945,-123.491
"0",16-2,48.944,-123.491
"0",16-3,48.944,-123.492
"0",18-3,48.945,-123.490
"0",18-?,48.944,-123.490
"0",18-4,48.944,-123.489
"0",18-2,48.944,-123.490
"0",18-1,48.943,-123.490
"0",12-2,48.946,-123.489
"0",12-1,48.946,-123.488
"0",44-1,48.944,-123.488
"0",40-1,48.944,-123.488
"0",47-1,48.943,-123.488
"0",2-?,48.943,-123.493
"0",2-4,48.944,-123.494
"0",2-1,48.944,-123.495
"0",2-?,48.944,-123.496
"0",3-2,48.943,-123.495
"0",3-1,48.943,-123.496
"0",7-1,48.943,-123.498
"0",1-1,48.944,-123.498
"0",23-1,48.945,-123.497
"0",24-2,48.945,-123.496
"0",24-1,48.946,-123.498
"0",8-5,48.946,-123.496
"0",8-6,48.946,-123.495
"0",8-1,48.947,-123.495
"0",8-3,48.947,-123.496
"0",8-7,48.948,-123.495
"0",8-4,48.947,-123.497
"0",8-2,48.948,-123.498
"0",4-1,48.948,-123.496
