"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"4454",3512111607,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1091540438","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps grisegena","","SPECIES","Podiceps grisegena (Boddaert, 1783)","Podiceps grisegena","","CA","Gibsons","British Columbia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.40257,-123.50585,NA,NA,NA,NA,NA,NA,"2021-03-09T00:00:00",9,3,2021,2482051,2482051,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1091540438","","","","CC_BY_4_0","","obsr23008","","","2022-11-24T21:09:05.537Z","",""
"4455",3692130719,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1294528869","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Gibsons--Gower Point","British Columbia","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.387173,-123.528015,NA,NA,NA,NA,NA,NA,"2021-12-11T00:00:00",11,12,2021,2482059,2482059,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1294528869","","","","CC_BY_4_0","","obsr842097","","","2022-11-24T21:01:24.570Z","",""
"4456",815786671,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS137909852","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","","SPECIES","Aechmophorus occidentalis (Lawrence, 1858)","Aechmophorus occidentalis","","CA","West Vancouver--Kloochman Park","British Columbia","PRESENT",120,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.34037,-123.26826,NA,NA,NA,NA,NA,NA,"1991-02-23T00:00:00",23,2,1991,2482033,2482033,"HUMAN_OBSERVATION","CLO","EBIRD","OBS137909852","","","","CC_BY_4_0","","obsr197748","","","2022-11-24T21:02:50.088Z","",""
"4457",840152605,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAN:OBS144983083","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps","","SPECIES","Podilymbus podiceps (Linnaeus, 1758)","Podilymbus podiceps","","CA","Bowen Island--Snug Cove, Deep Bay & Cates Hill","British Columbia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.380424,-123.3349,NA,NA,NA,NA,NA,NA,"2012-03-18T00:00:00",18,3,2012,2482077,2482077,"HUMAN_OBSERVATION","CLO","EBIRD_CAN","OBS144983083","","","","CC_BY_4_0","","obsr52199","","","2022-11-24T20:40:26.750Z","",""
"4458",2799723408,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS843688756","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps grisegena","","SPECIES","Podiceps grisegena (Boddaert, 1783)","Podiceps grisegena","","CA","Bowen Island--Tunstall Bay","British Columbia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.353706,-123.423134,NA,NA,NA,NA,NA,NA,"2019-12-29T00:00:00",29,12,2019,2482051,2482051,"HUMAN_OBSERVATION","CLO","EBIRD","OBS843688756","","","","CC_BY_4_0","","obsr481454","","","2022-11-24T21:09:31.858Z","",""
"4459",2033652500,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAN:OBS458190929","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Squamish River Estuary","British Columbia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.70507,-123.17841,NA,NA,NA,NA,NA,NA,"2017-01-15T00:00:00",15,1,2017,2482059,2482059,"HUMAN_OBSERVATION","CLO","EBIRD_CAN","OBS458190929","","","","CC_BY_4_0","","obsr104795","","","2022-11-24T21:11:43.070Z","",""
"4460",1772904377,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS442377832","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps","","SPECIES","Podilymbus podiceps (Linnaeus, 1758)","Podilymbus podiceps","","CA","Bowen Island--Killarney Lake","British Columbia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.392048,-123.35464,NA,NA,NA,NA,NA,NA,"2016-11-12T00:00:00",12,11,2016,2482077,2482077,"HUMAN_OBSERVATION","CLO","EBIRD","OBS442377832","","","","CC_BY_4_0","","obsr339616","","","2022-11-24T20:56:54.603Z","",""
"4461",137815802,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS33951796","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Squamish River Estuary","British Columbia","PRESENT",7,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.70507,-123.17841,NA,NA,NA,NA,NA,NA,"2003-04-13T00:00:00",13,4,2003,2482059,2482059,"HUMAN_OBSERVATION","CLO","EBIRD","OBS33951796","","","","CC_BY_4_0","","obsr107745","","","2022-11-24T21:04:07.866Z","",""
"4462",2033916887,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS458656833","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","","SPECIES","Aechmophorus occidentalis (Lawrence, 1858)","Aechmophorus occidentalis","","CA","West Vancouver--Kloochman Park","British Columbia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.34037,-123.26826,NA,NA,NA,NA,NA,NA,"2017-01-19T00:00:00",19,1,2017,2482033,2482033,"HUMAN_OBSERVATION","CLO","EBIRD","OBS458656833","","","","CC_BY_4_0","","obsr253044","","","2022-11-24T21:06:13.224Z","",""
"4463",2119027605,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS567344952","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps","","SPECIES","Podilymbus podiceps (Linnaeus, 1758)","Podilymbus podiceps","","CA","Bowen Island--Bowen Bay","British Columbia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.36449,-123.424194,NA,NA,NA,NA,NA,NA,"2018-01-14T00:00:00",14,1,2018,2482077,2482077,"HUMAN_OBSERVATION","CLO","EBIRD","OBS567344952","","","","CC_BY_4_0","","obsr339616","","","2022-11-24T20:49:55.186Z","",""
