Area,Confirmed?,Kingdom,Phyllum. or Group,Subphyllum or Group,Class or Group,Order or Group,Family,Subfamily or Group,locality,eventDate,scientificName,Ssp. or Var.,?,Synonym,Common Name,Original Record,recordedBy,Conf. By,Compiler/Editor,datasetName,1st Record,Entered,CDC-sent,Photo,Easting,Northing,Acc.,Elev.,Intro?,CDC/Rareness,COSEWIC,SARA,IDWildlife,No.,Gender,Life Stage,Method,Coll.?,Habitat,Notes/Comments,Signifance,Rareness,Questions,Acc. No.,Cat./Ref. No.,Authority,Site Code,Water Temp,System,Detected?,In System?,Breeding in Whistler?,Does SAR apply? (Breeding only?),BC Rank,Global Rank,Does IDW apply? (Breeding only?),"Common Name, alpha sort",Code,Sibley pg# sort,Sibley + alph sort,WBL sort,Last Record,Mar- May ,Jun- Aug ,Sep- Nov ,Dec- Feb ,Subfamily or Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Cantharidae (soldier beetles),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Dichelotarsus sp.,,,,soldier beetle,Dichelotarsus sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2015,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Cantharidae (soldier beetles),,Sea-to-Sky Gondola (Wonderland L.),2016-05-28,Podabrus sp.,,,,soldier beetle,Podabrus sp.,UBC/SEC - K. Needham & team,UBC/SEC - K. Needham & team,Bob Brett (WBP),BioBlitz/WBP,2007,2016,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantharinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Carabidae (ground beetles),,Sea-to-Sky Gondola (Wonderland L.),2016-05-28,Carabidae sp.,,,,ground beetle,Carabidae sp.,UBC/SEC - K. Needham & team,UBC/SEC - K. Needham & team,Bob Brett (WBP),BioBlitz/WBP,2007,2016,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Carabidae (ground beetles),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Pterostichus herculaneus,,,,black ground beetle,Pterostichus herculeanus,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2007,2017,,,,,,,,,,,,1,,,,,,to  Jeff Jarrett,,,,,,,,,,,,,,,,,,,,,,,,,,,Pterostichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Chrysomelidae (leaf beetles),,Sea-to-Sky Gondola (Wonderland L.),2016-05-28,Galerucini sp.,,,,leaf beetle,Galerucini sp.,UBC/SEC - K. Needham & team,UBC/SEC - K. Needham & team,Bob Brett (WBP),BioBlitz/WBP,2016,2016,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Coccinellidae (ladybugs),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Myzia interrupta,,,,Broken-Dashed Ladybeetle,Myzia interrupta,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Dytiscidae (predaceous diving beetles),,Sea-to-Sky Gondola (Wonderland L.),2016-05-28,Acilius abbreviatus,,,,predaceous diving beetle,Acilius abbreviatus,UBC/SEC - K. Needham & team,UBC/SEC - K. Needham & team,Bob Brett (WBP),BioBlitz/WBP,2015,2016,,,,,,,,,,,,2,,adult females,,,,,,,,,,Aube,,,,,,,,,,,,,,,,,,,,,Dytiscinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Dytiscidae (predaceous diving beetles),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Colymbetes sculptilis,,,,predaceous diving beetle,Colymbetes sculptilis,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Dytiscidae (predaceous diving beetles),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Colymbetes sculptilis,,,,predaceous diving beetle,Colymbetes sculptilis,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Dytiscidae (predaceous diving beetles),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Rhantus suturellus,,,,predaceous diving beetle,Rhantus suturellus,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
