Notes,GalFloraConfidence,GalFloraStatus,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,scientificName,infraspecificEpithet,taxonRank,Scientific Name,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,BOLDBin,,,,,,,,,,,,,,,,,,,
Barcoded,5,1,2248495354,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=ABMMC15121-11,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis crenulata,,SPECIES,Callophyllis crenulata Setchell,BOLD:AAA7776,,CA,Boscowitz Rock,British Columbia,,,b3bf3a83-1f68-4541-a03f-330d30d567f5,49.011,-123.587,,,,,,,2011-05-04T00:00:00Z,4,5,2011,10080099,2666606,MATERIAL_SAMPLE,,,GWS027457,,Gary Saunders,,CC_BY_4_0,Barcode of Life Datasystems,"G.W. Saunders, K. Hind & B. Clarkston",,,2019-10-29T10:11:23.541Z,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
Barcoded,5,1,2248499197,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=ABMMC15141-11,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis pinnata,,SPECIES,Callophyllis pinnata Setchell & Swezy in Setchell,BOLD:AAB6161,,CA,Boscowitz Rock,British Columbia,,,b3bf3a83-1f68-4541-a03f-330d30d567f5,49.011,-123.587,,,,,,,2011-05-04T00:00:00Z,4,5,2011,10324253,2666643,MATERIAL_SAMPLE,,,GWS027453,,Gary Saunders,,CC_BY_4_0,Barcode of Life Datasystems,"G.W. Saunders, K. Hind & B. Clarkston",,,2019-10-29T10:11:23.581Z,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
in Bioblitz; Barcoded,5,1,2248494308,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=ABMMC15024-11,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Membranoptera,Membranoptera platyphylla,,SPECIES,Membranoptera platyphylla (Setchell & N.L.Gardner) Kylin,BOLD:AAC8846,,CA,Boscowitz Rock,British Columbia,,,b3bf3a83-1f68-4541-a03f-330d30d567f5,49.011,-123.587,,,,,,,2011-05-04T00:00:00Z,4,5,2011,10343567,2661473,MATERIAL_SAMPLE,,,GWS027460,,Gary Saunders,,CC_BY_4_0,Barcode of Life Datasystems,"G.W. Saunders, K. Hind & B. Clarkston",,,2019-10-29T10:11:23.449Z,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
"Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",1,1,2306202281,ad43e954-dd79-4986-ae34-9ccdbd8bf568,KU564427,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Amplisiphonia,Amplisiphonia pacifica,,SPECIES,"""Amplisiphonia pacifica""",Amplisiphonia pacifica,,CA,"Canada:British Columbia, Panther Pt., Wallace I.",,,,ada9d123-ddb4-467d-8891-806ea8d94230,48.93,-123.53,,,,,,,2011-05-03T00:00:00Z,3,5,2011,2660952,2660952,PRESERVED_SPECIMEN,,,GWS027404,,Gary Saunders,,CC_BY_4_0,,G.W. Saunders & K. Hind,,,2019-09-20T15:35:59.243Z,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
"COI Sequenced; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuing taxonomy uncertain, putting name in quotes.",1,1,2308121722,ad43e954-dd79-4986-ae34-9ccdbd8bf568,MF120830,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Herposiphonia,Herposiphonia plumula,,SPECIES,"""Herposiphonia plumula""",Herposiphonia plumula,,CA,"Canada:British Columbia, Panther Pt., Wallace I.",,,,ada9d123-ddb4-467d-8891-806ea8d94230,48.93,-123.53,,,,,,,2011-05-03T00:00:00Z,3,5,2011,2659366,2659366,PRESERVED_SPECIMEN,,,GWS027411,,Gary Saunders,,CC_BY_4_0,,G.W. Saunders & K. Hind,,,2019-09-20T19:11:41.743Z,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
"Barcoded; name updated from Pterosiphonia gracilis; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",3,1,2305825209,ad43e954-dd79-4986-ae34-9ccdbd8bf568,KU564386,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,Pterosiphonia gracilis,,SPECIES,"""Symphyocladiella gracilis""",Pterosiphonia gracilis,,CA,"Canada:British Columbia, Panther Pt., Wallace I.",,,,ada9d123-ddb4-467d-8891-806ea8d94230,48.93,-123.53,,,,,,,2011-05-03T00:00:00Z,3,5,2011,2660303,2660303,PRESERVED_SPECIMEN,,,GWS027410,,Gary Saunders,,CC_BY_4_0,,G.W. Saunders & K. Hind,,,2019-09-21T02:30:11.226Z,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
"Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site",5,1,2309214819,ad43e954-dd79-4986-ae34-9ccdbd8bf568,KJ637753,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,Bossiella orbigniana,,SPECIES,Bossiella orbigniana (Decaisne) P.C.Silva,Bossiella orbigniana,,CA,"Canada:British Columbia, Panther Pt., Wallace I.",,,,ada9d123-ddb4-467d-8891-806ea8d94230,48.93,-123.53,,,,,,,2011-05-03T00:00:00Z,3,5,2011,4278503,4278503,PRESERVED_SPECIMEN,,,GWS027413,,Gary Saunders,,CC_BY_4_0,,G.W. Saunders & K. Hind,,,2019-09-20T16:22:07.903Z,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
"COI Sequenced; found DNA sequence in genbank, for some reason isn't on BOLD site, but confident in this ID",5,1,2307448907,ad43e954-dd79-4986-ae34-9ccdbd8bf568,JX034290,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis flabellulata,,SPECIES,Callophyllis flabellulata Harvey,Callophyllis flabellulata,,CA,"Canada:British Columbia, Panther Pt., Wallace I.",,,,ada9d123-ddb4-467d-8891-806ea8d94230,48.93,-123.53,,,,,,,2011-05-03T00:00:00Z,3,5,2011,2666609,2666609,PRESERVED_SPECIMEN,,,GWS027403,,Gary Saunders,,CC_BY_4_0,,G.W. Saunders & K. Hind,,,2019-09-20T17:17:44.418Z,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
"COI Sequenced; found DNA sequence in genbank, for some reason isn't on BOLD site. Is listed on Genbank as part of kelp conveyor hypothesis paper. Several more of this species barcoded, assuming is correct ID",5,1,2305951578,ad43e954-dd79-4986-ae34-9ccdbd8bf568,KM254391,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,Phycodrys isabelliae,,SPECIES,Phycodrys isabellae R.E.Norris & M.J.Wynne,Phycodrys isabelliae,,CA,"Canada:British Columbia, Panther Pt., Wallace I.",,,,ada9d123-ddb4-467d-8891-806ea8d94230,48.93,-123.53,,,,,,,2011-05-03T00:00:00Z,3,5,2011,8787802,8787802,PRESERVED_SPECIMEN,,,GWS027395,,Gary Saunders,,CC_BY_4_0,,G.W. Saunders & K. Hind,,,2019-09-20T23:47:08.774Z,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
Barcoded,5,1,2248494344,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=ABMMC15144-11,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis heanophylla,,SPECIES,Callophyllis heanophylla Setchell,BOLD:AAA7963,,CA,"South Galiano Wall, Galiano Is.",British Columbia,,,b3bf3a83-1f68-4541-a03f-330d30d567f5,48.994,-123.587,,,,,,,2011-05-04T00:00:00Z,4,5,2011,10452495,2666612,MATERIAL_SAMPLE,,,GWS027451,,Gary Saunders,,CC_BY_4_0,Barcode of Life Datasystems,"G.W. Saunders, K. Hind & B. Clarkston",,,2019-10-29T10:11:23.503Z,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,
