locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedBy
N end Retreat Cove,48.941391,-123.508821,100,Andrew Simon
Retreat Cove,48.940726,-123.501877,100,Andrew Simon
Spanish Hills,48.995588,-123.586078,15,Andrew Simon
