Intended disposition,institutionCode,catalogNumber,scientificName,occurrenceRemarks,habitat,locality,Lat,Long,eventDate,recordedBy,identifiedBy,Date identified,Notes,Image,Checked morphology,,,,,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result
UBC,SCL,17891,Chondracanthus exasperatus,,5.6 m @ 11:00,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bay 062,,Morphologically correct,,,,,,,,,,,,,,,,
UBC,SCL,17866,Costaria costata,,"bedrock, 4.3 m @ 1452",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,fragment; bag 006,,Okay,,,,,,,,,,,,,,,,
UBC,SCL,17894,Costaria costata,juvenile,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17883,Cryptonemia obovata,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-08-30,silica gel voucher,Scan,"Shape and colour consistent with C. obovata; also, thin cortex, abundant periclinal filaments interspersed with some highly refractive cells",,,,,,,,,,,,,,,,
,,,Desmarestia cf. ligulata,,3.0 m @ 1445,Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 010,,,,,,,,,,,,,,,,,,
,,,Desmarestia herbacea,,,Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,fragment; bag 020,,,,,,,,,,,,,,,,,,
UBC,SCL,17867,Desmarestia herbacea,,,Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,fragment; bag 015,,Keys to D. herbacea,,,,,,,,,,,,,,,,
UBC,SCL,17860,Desmarestia ligulata,,"bedrock, 4.8 m @ 1434",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 014,,Morphologically correct,,,,,,,,,,,,,,,,
UBC,SCL,17864,Desmarestia viridis,,,Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Entire plant at least 10X larger than fragment pressed,,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17874,Fryeella gardneri,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17892,Fryeella gardneri,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,Morphologically correct,,,,,,,,,,,,,,,,
,,,Herposiphonia plumula,,"11.2 m @ 10:45, epiphytic",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,,Morphologically correct,,,,,,,,,,,,,,,,
UBC,SCL,17896,Heterosiphonia densiuscula,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,Micrograph,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17895,Kallymeniopsis oblongifructa,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,Yes: cortex 1-2 cell layers; filamentous medulla; very thin,,,,,,,,,,,,,,,,
UBC,SCL,17877,Neoagarum fimbriatum,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,Scan,"Yes: fimbriae from stipe, blade rugose",,,,,,,,,,,,,,,,
UBC,SCL,17899,Neorhodomela oregona,,upper mid intertidal tidepool,N end Retreat Cove,,,2023-05-28,S.C. Lindstrom,S.C. Lindstrom,2023-05-28,silica gel voucher,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17882,Pleonosporium vancouverianum,"immature, sessile polysporangia",11.2 m @ 10:45,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,Micrograph; scan,Keys to P. vancouverianum,,,,,,,,,,,,,,,,
,,,Pleonosporium vancouverianum,,"11.2 m @ 10:45, epiphytic",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,,,,,,,,,,,,,,,,,,
