Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Nitella sp.,,,green alga,Plantae,Charophyta,,,Charophyceae,,,Charales,,,Characeae,,,Nitella,unlisted,unlisted,reported,unobserved,2000-06-12,Hans Roemer,ER 128 Inventory,,,,,,,180574,ALG
Acrosiphonia coalita,"(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",,green rope,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,Ulotrichaceae,,,Acrosiphonia,unlisted,unlisted,confirmed,observed,2009-06-12,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859551,common and has been recorded from here,429957,ALG
Blidingia minima var. vexata,(Setchell & N.L.Gardner) J.N.Norris,,tiny-tube sea lettuce,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,Blidingia,unlisted,unlisted,reported,unobserved,2007-12-15,Andy Lamb & Donna Gibbs,PMLS,,,,,,"This would be very difficult to identify. Without microscopic images, a voucher or D sequence this record is not verifiable. It is recorded from this area however. If there was collection information it may help",338996,ALG
Bryopsis corticulans,Setchell,,,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Bryopsidaceae,,,Bryopsis,unlisted,unlisted,reported,unobserved,2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,"B. corticulans is rare in this area, often found on the outer coast or north coast. Hard to confirm without photo or specimen.",,ALG
Cladophora columbiana,Collins,,green pin-cushion alga,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophoraceae,,,Cladophora,unlisted,unlisted,new 2016,observed,,,,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017201,,117775,ALG
Cladophora sp.,,,sea moss,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophoraceae,,,Cladophora,unlisted,unlisted,reported,unobserved,2013-05-17,Andy Lamb & Donna Gibbs,PMLS,,,,,,,53707,ALG
Codium fragile,Hariot,,sea staghorn,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,Codium,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57498,,,,,cf Codium fragile subsp. californicum (J.Agardh) Maggs & J.Kelly,67555,ALG
Codium setchellii,N.L.Gardner,,spongy cushion,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,Codium,unlisted,unlisted,reported,unobserved,1994-10-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,117776,ALG
Monostroma grevillei,(Thuret) Wittrock,,sea cellophane,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,Monostromataceae,,,Monostroma,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859558,,465247,ALG
Prasiola furfuracea,,,green alga,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,Prasiola,unlisted,unlisted,reported,unobserved,1981-11-15,D. Garbary,UBC,A64646,,,,,"an Atlantic species only, not in BC key",182814,ALG
Prasiola meridionalis,Setchell & N.L. Gardner,,short sea lettuce,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,Prasiola,unlisted,unlisted,reported,unobserved,1981-11-15,D. Garbary,UBC,A64665,,,,,,429864,ALG
Rosenvingiella polyrhiza,(Rosenvinge) P.C. Silva,,green alga,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,Rosenvingiella,unlisted,unlisted,reported,unobserved,1981-11-15,D. Garbary,UBC,A64664,,,,,"No update, No UBC accession photo or iNat record to check, but species distribution includes Salish Sea; authority added",410405,ALG
Trentepohlia cf abietina,(Flotow ex Kützing) Hansgirg,,Trentepohlia algae,Plantae,Chlorophyta,,,Ulvophyceae,,,Trentepohliales,,,Trentepohliaceae,,,Trentepohlia,unlisted,unlisted,new 2019,observed,,,,,,2019-12-01,Andrew Simon & Mark Webber,https://www.inaturalist.org/observations/36297442,,410585,ALG
Ulva fenestrata,Postels & Ruprecht,,sea lettuce,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,Ulva,unlisted,unlisted,confirmed,observed,1977-11-27,Michael W. Hawkes,UBC,A57503,,2015-08-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3735172,reported as Ulva lactuca L.,152972,ALG
Ulva intestinalis,L.,,gutweed,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,Ulva,unlisted,unlisted,confirmed,observed,1996-09-29,Andy Lamb & Donna Gibbs,PMLS,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3404281,,130197,ALG
Urospora sp.,,,,Plantae,Chlorophyta,,,Ulvophyceae,,,Codiolales,,,Acrosiphoniaceae,,,Urospora,unlisted,unlisted,new 2020,observed,,,,,,2020-04-24,Andrew Simon,https://www.inaturalist.org/observations/43253077,,339056,ALG
Volvox globator,L.,,green alga,Plantae,Chlorophyta,,,Chlorophyceae,,,Volvocales,,,Volvocaceae,,,Volvox,unlisted,unlisted,new 2003,observed,,,,,,2003-07-25,Mark Webber,https://www.inaturalist.org/observations/4848832,,474779,ALG
Amplisiphonia pacifica,Hollenberg 1939,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Amplisiphonia,unlisted,unlisted,reported,unobserved,2011,G.W. Saunders & K. Hind,BOLD,KU564427,,,,,"""Amplisiphonia pacifica"" Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",1292322,ALG
Antithamnionella pacifica,(Harvey) E.M.Wollaston,,red alga,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Antithamnionella,unlisted,unlisted,confirmed,observed,1977-11-27,Michael W. Hawkes,UBC,A57488,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861010,reported as Antithamnionella pacifica var. pacifica; species distribution includes Galiano,1031132,ALG
Bonnemaisonia nootkana,(Esper) P.C.Silva,,delicately-branched red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Bonnemaisoniales,,,Bonnemaisoniaceae,,,Bonnemaisonia,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,"B. nootkana is recorded from the area based on records from herbaria, however it is not included in the keys to the area. This record is difficult to confirm without a photo or specimen.",873866,ALG
Bossiella orbigniana,(Decaisne) P.C.Silva,,,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Bossiella,unlisted,unlisted,reported,unobserved,2011,G.W. Saunders & K. Hind,BOLD,KJ637753,,,,,"Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site",,ALG
Bossiella sp.,,,leaf coral seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Bossiella,unlisted,unlisted,confirmed,observed,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861026,,127155,ALG
Branchioglossum bipinnatifidum,(Montagne) M.J.Wynne,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Branchioglossum,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027448,,,,,Barcoded,,ALG
Calliarthron sp.,,,leaf coral seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Calliarthron,unlisted,unlisted,reported,unobserved,1995-02-26,Andy Lamb & Donna Gibbs,PMLS,,,,,,,127154,ALG
Calliarthron tuberculosum,(Postels & Ruprecht) E.Y.Dawson,,,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Calliarthron,unlisted,unlisted,reported,unobserved,1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,"no change (KH). Common here, most likely C. tuberculosum",,ALG
Callithamnion acutum,Kylin,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Callithamnion,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859555,,895196,ALG
Callithamnion pikeanum,Harvey,,beauty bush,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Callithamnion,unlisted,unlisted,reported,unobserved,2006-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,Common here and we observed during the Bioblitz,117770,ALG
Callophyllis crenulata,Setchell,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027457,,,,,Barcoded,345268,ALG
Callophyllis edentata,Kylin,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861012,,895191,ALG
Callophyllis flabellulata,Harvey,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25860491,,446885,ALG
Callophyllis heanophylla,Setchell,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027451,,,,,Barcoded,1292323,ALG
Callophyllis pinnata,Setchell & Swezy in Setchell,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027453,,,,,Barcoded,544812,ALG
Callophyllis schneideri,Clarkston & G.W.Saunders,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027442,,,,,Barcoded,,ALG
Callophyllis variforma,"Filloramo, Selivanova & G.W.Saunders",,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027443,,,,,Barcoded,,ALG
Ceramium gardneri,Kylin,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Ceramium,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859909,,345256,ALG
Ceramium pacificum,(Collins) Kylin,,hairy pottery seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Ceramium,unlisted,unlisted,confirmed,observed,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017037,,429948,ALG
Chondracanthus exasperatus,(Harvey & Bailey) Hughey,,Turkish towel,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Gigartinaceae,,,Chondracanthus,unlisted,unlisted,confirmed,observed,1996-04-02,E. McNeil,UBC,A82321,,2015-08-28,Lauren Magner,http://www.inaturalist.org/observations/3734901,,127153,ALG
Clathromorphum sp.,,,crustose coralline,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Clathromorphum,unlisted,unlisted,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,326286,ALG
Constantinea simplex,Setchell,,cup and saucer seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Dumontiaceae,,,Constantinea,unlisted,unlisted,confirmed,observed,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,2019-12-09,Penelope Bridge-Battle,https://www.inaturalist.org/observations/36661545,,345231,ALG
Constantinea subulifera,Setchell,,giant cup and saucer seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Dumontiaceae,,,Constantinea,unlisted,unlisted,confirmed,observed,2016-02-07,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-05,Bridgette Clarkston,https://www.inaturalist.org/observations/25927075,,473053,ALG
Corallina officinalis var. chilensis,Linnaeus,(Decaisne) Kützing,pink feather coralline,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Corallina,unlisted,unlisted,reported,unobserved,2006-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,345230,ALG
Corallina vancouveriensis,Yendo,,graceful coralline,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Corallina,unlisted,unlisted,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,126448,ALG
Cryptopleura lobulifera,(J.Agardh) Kylin,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Cryptopleura,unlisted,unlisted,reported,unobserved,1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,"no change (KH). Has been found in this area, but difficult to confirm. It is noted as being rare in the local area in the key.",,ALG
Cryptopleura ruprechtiana,(J.Agardh) Kylin,,hidden rib,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Cryptopleura,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861039,,327014,ALG
Cryptopleura sp.,,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Cryptopleura,unlisted,unlisted,confirmed,observed,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4005089,,243907,ALG
Cryptosiphonia woodii,(J.Agardh) J.Agardh,,dark branching-tube seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Dumontiaceae,,,Cryptosiphonia,unlisted,unlisted,confirmed,observed,2009-03-20,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,John D. Reynolds,https://www.inaturalist.org/observations/24708735,,117777,ALG
Cumathamnion decipiens,(J.Agardh) M.J.Wynne & G.W.Saunders,,winged rib,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Cumathamnion,unlisted,unlisted,confirmed,observed,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,2021-03-13,Dave “Zeuss” Cochrane,https://inaturalist.ca/observations/71178850,reported as Delesseria decipiens,496909,ALG
Devaleraea callophylloides,"(M.W.Hawkes & Scagel) G.W.Saunders, Jackson & Salomaki",,,Plantae,Rhodophyta,,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Devaleraea,unlisted,unlisted,reported,unobserved,2005,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No update, No UBC or iNat record for species ID; authority added",747468,ALG
Devaleraea mollis,"(Setchell & N.L.Gardner) G.W.Saunders, C.J.Jackson & Salomaki",,thin dulse,Plantae,Rhodophyta,,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Devaleraea,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Palmaria mollis,747472,ALG
Endocladia muricata,(Endlicher) J.Agardh,,nail brush seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Endocladiaceae,,,Endocladia,unlisted,unlisted,confirmed,observed,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-05,Bridgette Clarkston,https://www.inaturalist.org/observations/25927063,,117781,ALG
Farlowia mollis,(Harvey & Bailey) Farlow & Setchell,,tattered red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Dumontiaceae,,,Farlowia,unlisted,unlisted,confirmed,observed,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861009,,117783,ALG
Fredericqia chiton,"(M.Howe) Maggs, L.Le Gall, Mineur, Provan & G.W. Saunders",,thin forked seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,unlisted,unlisted,reported,unobserved,2016-03-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Gymnogongrus chiton,957351,ALG
Fredericqia deveauniensis,"Maggs, L.Le Gall, Mineur, Provan & G.W.Saunders",,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,unlisted,unlisted,new 2019,observed,,,,,,2019-05-05,Bridgette Clarkston,https://www.inaturalist.org/observations/25927077,,564944,ALG
Fryeella gardneri,(Setchell) Kylin,,arched red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Fryeellaceae,,,Fryeella,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57499,,,,,"no change, but no photos to confirm",500286,ALG
Gloiocladia fryeana,(Setchell) N.Sánchez & Rodríguez-Prieto,,margined blue branching seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,unlisted,unlisted,reported,unobserved,2006-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Fauchea fryeana,865801,ALG
Gloiocladia laciniata,(J.Agardh) Sánchez & Rodríguez-Prieto,,blue branching seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,unlisted,unlisted,confirmed,observed,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,2021-03-08,Andrew Simon,https://www.inaturalist.org/observations/70864455,,429862,ALG
Gracilaria pacifica,Abbott,,California limu,Plantae,Rhodophyta,,,Florideophyceae,,,Gracilariales,,,Gracilariaceae,,,Gracilaria,unlisted,unlisted,reported,unobserved,1996-04-02,E. McNeil,UBC,A82320,,,,,"no change, but no photos to confirm",497324,ALG
Gracilariophila oryzoides,,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gracilariales,,,Gracilariaceae,,,Gracilariophila,unlisted,unlisted,new 2021,observed,,,,,,2021-04-10,Kevin Toomer,https://www.inaturalist.org/observations/73655263,,339047,ALG
Gracilariopsis andersonii,(Grunow) E.Y.Dawson,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gracilariales,,,Gracilariaceae,,,Gracilariopsis,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861429,Can't identify for certain without reproduction or D,360321,ALG
Griffithsia pacifica,Kylin,,orange-coloured red alga,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Griffithsia,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57492,,,,,"no change, but no photos to confirm",326993,ALG
Halosaccion glandiforme,(S.G. Gmelin) Ruprecht,,sea sacs,Plantae,Rhodophyta,,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Halosaccion,unlisted,unlisted,confirmed,observed,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910080,,123649,ALG
Herposiphonia plumula,(J.Agardh) Falkenberg 1901,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Herposiphonia,unlisted,unlisted,reported,unobserved,2011,G.W. Saunders & K. Hind,BOLD,MF120830,,,,,"""Herposiphonia plumula"" COI Sequenced; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",1238397,ALG
Hildenbrandia rubra,(Sommerfelt) Meneghini,,rusty rock,Plantae,Rhodophyta,,,Florideophyceae,,,Hildenbrandiales,,,Hildenbrandiaceae,,,Hildenbrandia,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859343,,183033,ALG
Hymenena sp.,,,black-lined red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Hymenena,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,339066,ALG
Lithothamnion sp.,,,,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Lithothamnion,unlisted,unlisted,new 2015,observed,,,,,,2015-01-01,Peter Luckham,https://www.inaturalist.org/observations/2797300,,,ALG
Lomentaria hakodatensis,Yendo,,,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Lomentariaceae,,,Lomentaria,unlisted,unlisted,new 2019,observed,,,,,,2019-05-24,Bridgette Clarkston,https://www.inaturalist.org/observations/25861437,,345348,ALG
Loranthophycus californicus,E.Y.Dawson,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Loranthophycus,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027463,,,,,"""Loranthophycus californicus” COI Sequenced; name updated from Holmesia californica (E.Y.Dawson) E.Y.Dawson (from algaebase, but doesn't appear to be a new update yet G&L key still lists Holmesia with no comment); for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuing taxonomy uncertain, putting name in quotes.",,ALG
Mastocarpus papillatus,(C.Agardh) Kützing,,Turkish washcloth,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Phyllophoraceae,,,Mastocarpus,unlisted,unlisted,new 2015,observed,,,,,,2015-08-05,Andrew Simon,http://www.inaturalist.org/observations/2599389,Need an expert or D to confirm,117807,ALG
Mazzaella oregona,"(Doty) Hughey, P.C.Silva & Hommersand, 2001",,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Gigartinaceae,,,Mazzaella,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861031,,362211,ALG
Mazzaella parksii,,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Gigartinaceae,,,Mazzaella,unlisted,unlisted,new 2017,observed,,,,,,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/6425240,,429950,ALG
Mazzaella splendens,(Setchell & N.L. Gardner) Fredericq,,iridescent seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Gigartinaceae,,,Mazzaella,unlisted,unlisted,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-11,Adam Huggins & Tyrel Froese,http://www.inaturalist.org/observations/3684445,,71118,ALG
Membranoptera platyphylla,(Setchell & N.L.Gardner) Kylin,,feather-veined red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Membranoptera,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57497,,,,,reported as Membranoptera multiramosa,873897,ALG
Microcladia borealis,Ruprecht,,coarse sea lace,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Microcladia,unlisted,unlisted,confirmed,observed,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25860480,,339006,ALG
Microcladia coulteri,Harvey,,delicate sea lace,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Microcladia,unlisted,unlisted,confirmed,observed,2006-11-18,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-11,Adam Huggins & Tyrel Froese,http://www.inaturalist.org/observations/3684449,,71116,ALG
Neogastroclonium subarticulatum,"(Turner) L.Le Gall, Dalen & G.W.Saunders",,,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Champiaceae,,,Neogastroclonium,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861014,,339052,ALG
Neorhodomela larix,(Turner) Masuda,,black pine seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Neorhodomela,unlisted,unlisted,confirmed,observed,2008-02-17,Andy Lamb & Donna Gibbs,PMLS,,,2017-01-27,Tyrel Froese,https://www.inaturalist.org/observations/5020868,,67413,ALG
Odonthalia floccosa,(Esper) Falkenberg,,sea brush,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Odonthalia,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859912,,322180,ALG
Opuntiella californica,(Farlow) Kylin,,prickly pear seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Areschougiaceae,,,Opuntiella,unlisted,unlisted,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,species distribution includes Galiano; authority added,349218,ALG
Osmundea spectabilis,(Postels & Ruprecht) K.W. Nam,,sea laurel,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Osmundea,unlisted,unlisted,confirmed,observed,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-07,Tyrel Froese,http://www.inaturalist.org/observations/3925818,,339015,ALG
Palmaria callophylloides,M.W.Hawkes & Scagel,,Callophyllis-like dulse,Plantae,Rhodophyta,,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Palmaria,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,341794,ALG
Phycodrys isabellae,R.E.Norris & M.J.Wynne,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Phycodrys,unlisted,unlisted,reported,unobserved,2011,G.W. Saunders & K. Hind,BOLD,KM254391,,,,,"COI Sequenced; found D sequence in genbank, for some reason isn't on BOLD site. Is listed on Genbank as part of kelp conveyor hypothesis paper. Several more of this species barcoded, assuming is correct ID",,ALG
Pleonosporium vancouverianum,(J. Agardh) Setchell,,red alga,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Pleonosporium,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57491,,,,,"No update, UBC accession has no photo to check, but species distribution includes Galiano",500288,ALG
Plocamium cartilagineum ssp. pacificum,,,sea braid,Plantae,Rhodophyta,,,Florideophyceae,,,Plocamiales,,,Plocamiaceae,,,Plocamium,unlisted,unlisted,confirmed,observed,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861013,=P. pacificum,339051,ALG
