Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Anthoceros fusiformis,Austin,,dotted hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,,Anthoceros,fusiformis,,,,native,S3S4 (2020),,confirmed,observed,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-010848,,2018-04-01,Andrew Simon,iNat:13879380,Reported as Anthoceros punctatus; Check: Schofield’s report of Anthoceros punctatus is likely in error,56326,BRY
Aulacomnium androgynum,(Hedw.) Schwägr.,,lover’s moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,,Aulacomnium,androgynum,,,,native,S5 (2015),,confirmed,observed,2017-05-13,"Olivia Lee, Steve Joya, Andrew Simon & Scott Gilmore",UBC,B213486,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2608820,,124384,BRY
Aulacomnium palustre,(Hedw.) Schwägr.,,bog groove-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,,Aulacomnium,palustre,,,,native,S5 (2015),,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2020-05-07,Andrew Simon,iNat:45205086,,154189,BRY
Anacolia menziesii,(Turner) Paris,,Menzies’ Anacolia moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Anacolia,menziesii,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-30,Andrew Simon,iNat:5537829,,128572,BRY
Philonotis capillaris,Lindb.,,apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Philonotis,capillaris,,,,native,S4 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-12-31,Andrew Simon,iNat:9328978,,123642,BRY
Philonotis fontana,(Hedw.) Brid.,,fountain apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Philonotis,fontana,,,,native,S5,,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-30,Andrew Simon,iNat:5922794,,133809,BRY
Bryum argenteum,Hedw.,,silvergreen threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,argenteum,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-04,Andrew Simon,iNat:5227998,,123390,BRY
Bryum canariense,Brid.,,robust threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,canariense,,,,native,S4S5 (2015),,new 2017,observed,,,,,,2017-02-11,Andrew Simon,iNat:5095101,,481178,BRY
Bryum dichotomum,Hedw.,,gemmate threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Gemmabryum,dichotomum,,,,native,S4? (2015),,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B111043,,,,,"Reported as Bryum bicolor; McClure Road, base of Quadra Hill; near Sturdies Bay",159528,BRY
Bryum erythroloma,(Kindb.) Syed,,threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,erythroloma,,,,native,S2S3 (2011),,new 2020,observed,,,,,,2020-04-30,Andrew Simon,iNat:44442516,,520737,BRY
