Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Accipiter cooperii,"Bonaparte, 1828",NA,Cooper's hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Accipiter,cooperii,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-09-01,Karolle Wall,iNat:4014861,,5112,BIR,accepted,5112,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii
Accipiter gentilis,"Linnaeus, 1758",NA,northern goshawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Accipiter,gentilis,NA,,NA,native,"S4B,S4N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,5108,Accipiter gentilis,,
Accipiter striatus,"Vieillot, 1808",NA,sharp-shinned hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Accipiter,striatus,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-04-12,Sarah Tweedale,iNat:2929563,,5097,BIR,accepted,5097,Accipiter striatus,Accipiter striatus,Accipiter striatus
Actitis macularius,"(Linnaeus, 1766)",NA,spotted sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Actitis,macularius,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-05-19,Andrew Simon,iNat:6425128,,72458,BIR,accepted,72458,Actitis macularius,Actitis macularius,Actitis macularius
Aechmophorus occidentalis,"(Lawrence, 1858)",NA,western grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,Aechmophorus,occidentalis,NA,,NA,native,"S1B,S2N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,4235,Aechmophorus occidentalis,,
Aegolius acadicus,"(Gmelin, 1788)",NA,northern saw-whet owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,Aegolius,acadicus,NA,,NA,native,"S5B,S5N (2009)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2020-02-03,Tanya Inglis,iNat:38263361,,20356,BIR,accepted,20356,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus
Agelaius phoeniceus,"(Linnaeus, 1766)",NA,red-winged blackbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,Agelaius,phoeniceus,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-02-20,Michael Hoebel,iNat:4046914,,9744,BIR,accepted,9744,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus
Aix sponsa,"(Linnaeus, 1758)",NA,wood duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aix,sponsa,NA,,NA,native,"S4B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-06-03,cmac79’,iNat:13198092,,7107,BIR,accepted,7107,Aix sponsa,Aix sponsa,Aix sponsa
Anas acuta,"Linnaeus, 1758",NA,northern pintail,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,acuta,NA,,NA,native,"S4B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,6933,Anas acuta,,
Anas carolinensis,"Gmelin, 1789",NA,green-winged teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,crecca,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-12-29,Andrew Simon,iNat:37084654,,NA,BIR,unaccepted,123676,Anas crecca carolinensis,,Anas crecca
