Date,Source,Species,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily
20100417,,Lycogala epidendrum,(J.C. Buxb. ex L.) Fr.,Wolf's-milk slime,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Liceales,,,Reticulariaceae,
20120512,VMS,Lycogala epidendrum,(J.C. Buxb. ex L.) Fr.,Wolf's-milk slime,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Liceales,,,Reticulariaceae,
20170506,,Lycogala epidendrum,(J.C. Buxb. ex L.) Fr.,Wolf's-milk slime,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Liceales,,,Reticulariaceae,
20120512,VMS,Fuligo septica,(L.) F.H. Wigg.,Dog vomit slime,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Physarales,,,Physaraceae,
20110514,,Stemonitis sp,,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Stemonitiales,,,Stemonitidaceae,
20120512,VMS,Stemonitis sp,,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Stemonitiales,,,Stemonitidaceae,
20160521,,Stemonitis sp,,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Stemonitiales,,,Stemonitidaceae,
20100417,,Arcyria sp,,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Trichiales,,,Trichiaceae,
20130504,,Arcyria sp,,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Trichiales,,,Trichiaceae,
20110514,,Metatrichia floriformis,(Schwein.) Nann.-Bremek.,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Trichiales,,,Trichiaceae,
20120512,VMS,Metatrichia floriformis,(Schwein.) Nann.-Bremek.,,Amoebozoa,Mycetozoa,,,Myxogastrea,,,Trichiales,,,Trichiaceae,
20120512,L.Gallon,Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,Coral slime,Amoebozoa,Mycetozoa,,,Protostelea,,,Protosteliales,,,Ceratiomyxaceae,
20150502,,Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,Coral slime,Amoebozoa,Mycetozoa,,,Protostelea,,,Protosteliales,,,Ceratiomyxaceae,
20170506,,Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,Coral slime,Amoebozoa,Mycetozoa,,,Protostelea,,,Protosteliales,,,Ceratiomyxaceae,
20130504,,Balanus glandula,,Acorn barnacle,Animalia,Arthropoda,Crustacea,,Cirripedia,,,Thoracica,Balanomorpha,,Balanidae,
20130504,,Chthalamus cf dalli,,Little brown barnacle,Animalia,Arthropoda,Crustacea,,Cirripedia,,,Thoracica,Balanomorpha,,Chthamalidae,
20130504,J.Pendray,Pentidotea cf wosnesenskii,Brandt,Vosnesensky's isopod,Animalia,Arthropoda,Crustacea,,Malacostraca,,Peracarida,Isopoda,Valvifera,,Idoteidae,
20120512,E.Harrower,Chalcophora angulicollis,LeConte,Western sculptured pine borer,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae
20130504,,Chalcophora angulicollis,LeConte,Western sculptured pine borer,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae
20120512,VMS,Bombus cf occidentalis,,Western bumble bee,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Hymenoptera,,Apoidea,Apidae,Apinae
20130504,,Camponotus modoc,,Western black carpenter ant,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Hymenoptera,,Formicoidea,Formicidae,
20120512,VMS,Malacosoma cf sp,,Tent catepillar,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Lepidoptera,Glossata,Bombycoidea,Lasiocampidea,
20130504,,Papilio sp,,Swallowtail butterfly,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Lepidoptera,Glossata,Papilionoidea,Papilionidae,
20130504,,Anthocharis sara ssp. flora,,Sara's orangtip butterfly,Animalia,Arthropoda,Hexapoda,,Insecta,Endopterygota,,Lepidoptera,Glossata,Papilionoidea,Pieridae,
20100417,,Harpaphe haydeniana,,Yellow spotted millipede,Animalia,Arthropoda,Myriapoda,,Diplopoda,,,Polydesmida,,,Xystodesmidae,
20120512,VMS,Harpaphe haydeniana,,Yellow spotted millipede,Animalia,Arthropoda,Myriapoda,,Diplopoda,,,Polydesmida,,,Xystodesmidae,
20160521,,Harpaphe haydeniana,,Yellow spotted millipede,Animalia,Arthropoda,Myriapoda,,Diplopoda,,,Polydesmida,,,Xystodesmidae,
20170506,,Harpaphe haydeniana,,Yellow spotted millipede,Animalia,Arthropoda,Myriapoda,,Diplopoda,,,Polydesmida,,,Xystodesmidae,
20110514,,Hyliola regilla,,Pacific tree frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,Neobatrachia,,Hylidae,Hylinae
20120512,VMS,Hyliola regilla,,Pacific tree frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,Neobatrachia,,Hylidae,Hylinae
20170506,,Hyliola regilla,,Pacific tree frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,Neobatrachia,,Hylidae,Hylinae
20100417,,Rana aurora,,Red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,Neobatrachia,,Ranidae,
20160521,,Rana aurora,,Red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,Neobatrachia,,Ranidae,
20100417,,Taricha granulosa,,Rough-skinned newt,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae
20110514,,Taricha granulosa,,Rough-skinned newt,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae
20110514,,Haliaeetus leucocephalus,,Bald eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae
20130504,,Haliaeetus leucocephalus,,Bald eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae
20150502,,Haliaeetus leucocephalus,,Bald eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae
20160521,,Haliaeetus leucocephalus,,Bald eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae
20130504,VMS,Ardea herodias ssp. fannini,,Pacific great blue heron,Animalia,Chordata,Vertebrata,,Aves,,,Ardeiformes,,,Ardeidae,
20150502,,Ardea herodias ssp. fannini,,Pacific great blue heron,Animalia,Chordata,Vertebrata,,Aves,,,Ardeiformes,,,Ardeidae,
20100417,,Cathartes aura,,Turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,
20110514,,Cathartes aura,,Turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,
20120512,VMS,Cathartes aura,,Turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,
20130504,,Cathartes aura,,Turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,
20120512,VMS,Larus glaucescens,Naumann,Glaucous-winged gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae
20130504,,Larus glaucescens,Naumann,Glaucous-winged gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae
20120512,VMS,Columba livia,Gmelin,Rock dove,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,
20110514,,Corvus caurinus,,Northwestern crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Corvidae,
20120512,VMS,Corvus caurinus,,Northwestern crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Corvidae,
20110514,,Corvus corax,,Common raven,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Corvidae,
20160521,,Corvus corax,,Common raven,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Corvidae,
20110514,,Junco hyemalis ssp. oreganus,,Oregon junco,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Emberizidae,
20120512,VMS,Junco hyemalis ssp. oreganus,,Oregon junco,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Emberizidae,
20120512,VMS,Melospiza melodia,Wilson,Song sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Emberizidae,
20120512,E.Harrower,Spizella passerina,Bechstein,Chipping sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Emberizidae,
20110514,,Carduelis pinus,,Pine siskin,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Fringillidae,
20120512,D.Thompson,Carduelis tristis,L.,American goldfinch,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Fringillidae,
20120512,D.Thompson,Carpodacus purpureus,Gmelin,Purple finch,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Fringillidae,
20110514,,Pipilo maculatus,,Spotted towhee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Fringillidae,
20120512,L.Gallon,Hirundo rustica,,Barn swallow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Hirundinidae,
20110514,,Dendroica coronata,,Yellow-rumped warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Parulidae,
20110514,,Dendroica townsendi,,Townsend's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Parulidae,
20120512,VMS,Tachycineta thalassina,Swainson,Violet-green swallow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Parulidae,
20110514,,Wilsonia pusilla,,Wilson's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Parulidae,
20110514,,Troglodytes pacificus,,Pacific wren,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Troglodytidae,
20120512,VMS,Troglodytes pacificus,,Pacific wren,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Troglodytidae,
20110514,,Ixoreus naevius,,Varied thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Turdidae,
20120512,VMS,Turdus migratorius,,Robin,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Turdidae,
20130504,,Turdus migratorius,,Robin,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,Passeri,,Turdidae,
20110514,,Dryocopus pileatus,,Pileated woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,
20110514,,Sphyrapicus ruber,,Red-breasted sapsucker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,
20110514,,Canis familiaris,,Domestic dog,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Canidae,
20130504,,Canis familiaris,,Domestic dog,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Canidae,
20160521,,Canis familiaris,,Domestic dog,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Canidae,
20110514,,Lontra canadensis,,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Mustelidae,
20110514,,Neovison vison,,American mink,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Mustelidae,
20120512,VMS,Phoca vitulina,,Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Phocidae,
20130504,,Phoca vitulina,,Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Phocidae,
20150502,,Phoca vitulina,,Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Phocidae,
20160521,,Phoca vitulina,,Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Carnivora,Caniformia,,Phocidae,
20120512,VMS,Capra aegagrus ssp. hircus,,Domestic goat,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Cetartiodactyla,Ruminantia,,Bovidae,
20120512,VMS,Odocoileus hemionus ssp. columbianus,,Coast deer,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Cetartiodactyla,Ruminantia,,Cervidae,
20110514,,Homo sapiens,,Human,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Primates,Haplorhini,,Hominidae,
20120512,,Homo sapiens,,Human,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Primates,Haplorhini,,Hominidae,
20130504,,Homo sapiens,,Human,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Primates,Haplorhini,,Hominidae,
20150502,,Homo sapiens,,Human,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Primates,Haplorhini,,Hominidae,
20160521,,Homo sapiens,,Human,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Primates,Haplorhini,,Hominidae,
20130504,,Tamiasciurus hudsonicus,,Red squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Rodentia,Sciuromorpha,,Sciuridae,
20110514,,Mus cf musculus,,House mouse,Animalia,Chordata,Vertebrata,,Mammalia,Eutheria,,Rodentia,Myomorpha,,Muridae,Murinae
20100417,,Thamnophis sirtalis,,Common garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,Colubroidea,Colubridae,
