"","cell","mean_turnover","mean_nestedness","mean_beta"
"1","1",0.638272843965508,0.151888839100766,0.790161683066274
"2","2",0.726634634576935,0.118604282739266,0.845238917316201
"3","3",0.701388453231274,0.117273274814739,0.818661728046014
"4","4",0.909090909090909,0.0860885876767188,0.995179496767628
"5","19",0.437575886479512,0.316948796175182,0.754524682654694
"6","20",0.640689090327644,0.136476894789061,0.777165985116705
"7","21",0.663102744565685,0.131701908691136,0.794804653256822
"8","22",0.695838824129616,0.0993670854295413,0.795205909559157
"9","23",0.800474858890006,0.103517934165069,0.903992793055075
"10","38",0.673062874625375,0.182147741823806,0.855210616449181
"11","39",0.637724003665126,0.145746363149178,0.783470366814305
"12","40",0.602748848469096,0.203297012754303,0.806045861223399
"13","41",0.625927761024688,0.155087430584352,0.78101519160904
"14","42",0.634346891538207,0.147090730012982,0.781437621551189
"15","57",0.859375,0.12952342193089,0.98889842193089
"16","58",0.656196766646034,0.158379607159728,0.814576373805762
"17","59",0.812654601191273,0.0774081300673306,0.890062731258603
"18","60",0.766435185185185,0.159066182207057,0.925501367392242
"19","61",0.620045768097845,0.167874640611978,0.787920408709823
"20","77",0.817708333333333,0.146651219469629,0.964359552802963
"21","78",0.691369047619048,0.242372216881623,0.93374126450067
"22","79",0.53147000719282,0.233136141780231,0.764606148973052
"23","80",0.958333333333333,0.0406492397004246,0.998982573033758
"24","96",0.570993605713871,0.164032533696388,0.73502613941026
"25","97",0.676974478831364,0.128179961308337,0.805154440139701
"26","98",0.739466920173839,0.102854163158862,0.8423210833327
"27","99",0.7,0.24922353064511,0.94922353064511
"28","115",0.630919312169312,0.27016787531864,0.901087187487952
"29","116",0.590316970227222,0.179186690401923,0.769503660629145
"30","117",0.529293463208916,0.218300355445295,0.747593818654211
"31","134",0.653760941597834,0.137350784000676,0.79111172559851
"32","135",0.706616463149276,0.106509754083064,0.813126217232339
"33","136",0.524091128386267,0.215630484630813,0.73972161301708
"34","152",0.687951516076516,0.213251738989701,0.901203255066217
"35","153",0.658183635299202,0.140974348342337,0.799157983641539
"36","154",0.231599535545199,0.543124185558712,0.774723721103911
"37","170",0.817708333333333,0.168390915490566,0.9860992488239
"38","171",0.53125,0.449513317144815,0.980763317144815
"39","172",0.626269171613116,0.141859115177029,0.768128286790145
"40","173",0.795573292448292,0.113776358858388,0.909349651306681
"41","189",0.737847222222222,0.23000315619519,0.967850378417412
"42","190",0.712977460891598,0.0989159336362889,0.811893394527887
"43","191",0.712017033892034,0.162017808058784,0.874034841950817
"44","208",0.78125,0.202018069980013,0.983268069980013
"45","209",0.666930801569746,0.142778229220339,0.809709030790085
"46","210",0.680649512613531,0.119184730989424,0.799834243602955
"47","226",0.46875,0.507024466745568,0.975774466745568
"48","227",0.678886638342945,0.147978707898959,0.826865346241904
"49","228",0.671186778597628,0.122972379598307,0.794159158195935
