"Taxon","Curator.Decision","Curator.Notes"
"Ambystoma macrodactylum macrodactylum","SYNONYM","Syn. Ambystoma macrodactylum"
"Thamnophis elegans","SYNONYM","Syn. Thamnophis elegans vagrans"
"Thamnophis sirtalis","SYNONYM","Syn. Thamnophis sirtalis pickeringii"
